"","X","word","type","condition","recog_rating","recog_RT","target_angle","response_angle","response_error","response_RT","participant"
"1",1,"RISK"," STIM"," LOW","6",4.6597,-2.027,-0.5333,-1.4937,2.5519,1
"2",2,"PARE"," STIM"," LOW","6",1.381,0.2241,2.235,-2.011,0.6672,1
"4",4,"ACHE"," STIM"," LOW","1",2.2199,0.1479,-0.354,0.5019,0.6171,1
"5",5,"WATT"," STIM"," LOW","6",1.4665,2.6769,-2.2569,-1.3494,0.4337,1
"8",8,"GRAFT"," STIM"," LOW","6",1.2147,-0.39,2.1436,-2.5336,1.2509,1
"11",11,"BLEW"," STIM"," LOW","1",1.2972,2.4062,2.6128,-0.2066,0.6171,1
"12",12,"ADVICE"," STIM"," LOW","6",1.4214,-1.0302,-0.0048,-1.0254,0.4837,1
"17",17,"SUCH"," STIM"," LOW","6",1.0568,0.4426,0.3411,0.1015,0.9507,1
"18",18,"TAPE"," STIM"," HIGH","6",1.2564,-0.0885,2.4301,-2.5187,2.0182,1
"20",20,"ANCHOR"," STIM"," HIGH","1",1.0646,-1.43,-0.5779,-0.8521,0.5171,1
"22",22,"AUNT"," STIM"," HIGH","6",1.5757,-1.0075,-0.7028,-0.3047,1.5178,1
"23",23,"CAMEL"," STIM"," HIGH","6",1.087,-0.3123,2.4834,-2.7957,0.5337,1
"24",24,"GENTRY"," STIM"," LOW","6",0.9214,-2.1289,0.6495,-2.7784,0.5337,1
"25",25,"OLIVE"," STIM"," HIGH","1",1.0972,2.6906,0.8826,1.808,1.0508,1
"27",27,"BRUT"," STIM"," LOW","1",0.5889,-0.3222,-2.4313,2.1091,0.8173,1
"30",30,"PERIOD"," STIM"," LOW","1",1.993,-2.4184,-2.2493,-0.1691,0.6839,1
"31",31,"MADE"," STIM"," LOW","1",0.7196,2.4026,2.7776,-0.3751,0.5337,1
"32",32,"MUG"," STIM"," HIGH","1",1.8029,-2.9629,-0.8105,-2.1524,1.0341,1
"35",35,"APPEAL"," STIM"," LOW","1",2.358,-2.7914,2.5184,0.9734,0.8173,1
"36",36,"BERRY"," STIM"," HIGH","6",1.367,-2.3338,-2.3387,0.0048,0.3836,1
"42",42,"MULE"," STIM"," HIGH","6",1.3532,1.4162,1.0155,0.4007,0.5504,1
"45",45,"YARD"," STIM"," HIGH","6",1.4594,-0.8105,3.121,2.3517,1.4678,1
"46",46,"CHIC"," STIM"," LOW","6",1.3343,0.5008,0.581,-0.0802,1.0174,1
"48",48,"BANK"," STIM"," HIGH","6",1.1398,2.1346,2.3634,-0.2288,0.5337,1
"50",50,"SCHOOL"," STIM"," HIGH","1",3.6359,-1.7011,-0.767,-0.9342,0.7172,1
"52",52,"HIM"," STIM"," LOW","6",1.3387,1.144,0.0196,1.1244,0.417,1
"53",53,"DUAL"," STIM"," LOW","6",1.3089,-0.8009,-0.536,-0.2649,0.5504,1
"57",57,"NO"," STIM"," LOW","1",0.6975,0.0569,-2.385,2.4419,0.467,1
"58",58,"CABIN"," STIM"," HIGH","1",0.9878,-3.0455,-1.9738,-1.0717,0.4003,1
"60",60,"POLE"," STIM"," HIGH","6",0.9685,1.2895,2.395,-1.1056,0.5671,1
"62",62,"UNREST"," STIM"," LOW","1",0.6498,1.2404,2.2102,-0.9698,0.7839,1
"65",65,"BUILD"," STIM"," LOW","6",1.3779,1.3654,-2.5249,-2.3929,2.185,1
"66",66,"SELL"," STIM"," LOW","6",0.8436,1.4394,2.0117,-0.5723,0.6005,1
"68",68,"SALAD"," STIM"," HIGH","1",0.698,-0.1035,1.2264,-1.3299,0.8006,1
"71",71,"REGRET"," STIM"," LOW","6",3.5262,1.8537,1.3145,0.5391,0.5838,1
"73",73,"SAVORY"," STIM"," LOW","6",1.215,0.2284,-0.0375,0.2659,3.486,1
"74",74,"GROUP"," STIM"," LOW","2",1.5566,0.0369,-0.698,0.735,0.6338,1
"76",76,"WOOD"," STIM"," HIGH","1",0.7367,0.195,1.2853,-1.0903,0.8506,1
"79",79,"CORN"," STIM"," HIGH","1",0.9978,1.6521,1.2181,0.434,0.9007,1
"80",80,"LION"," STIM"," HIGH","6",1.2775,0.8232,1.0393,-0.2162,1.0508,1
"81",81,"PEPPER"," STIM"," HIGH","1",1.0593,2.1516,2.1059,0.0457,0.6505,1
"82",82,"VISION"," STIM"," LOW","6",1.4111,-1.4982,0.9643,-2.4625,0.6338,1
"84",84,"CLEAR"," STIM"," LOW","1",1.5201,2.525,-2.1534,-1.6048,0.4003,1
"85",85,"SHEET"," STIM"," HIGH","6",2.6427,0.607,2.1869,-1.5799,0.417,1
"88",88,"RAT"," STIM"," HIGH","4",3.6691,0.3009,-3.1113,-2.871,0.5171,1
"91",91,"TEEM"," STIM"," LOW","6",1.0822,1.5154,-1.6332,-3.1345,0.6839,1
"96",96,"PLAIT"," STIM"," LOW","1",0.8579,2.7484,0.1061,2.6423,0.8673,1
