word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
WHY, STIM, LOW, 4, 3.4930, 2.4112, 2.6012, -0.1899, 2.3518
MONTH, STIM, LOW, 6, 2.4388, 0.6229, 0.6311, -0.0081, 1.2009
SEND, FOIL, LOW, 3, 2.6228, NA, NA, NA, NA
CAMERA, STIM, HIGH, 6, 0.9584, -2.1225, -1.2047, -0.9177, 1.2676
DOLLAR, STIM, HIGH, 2, 1.0940, -2.5691, -2.6710, 0.1019, 3.0523
RICH, FOIL, LOW, 2, 1.6846, NA, NA, NA, NA
RAT, FOIL, HIGH, 1, 1.0086, NA, NA, NA, NA
ROOF, FOIL, HIGH, 1, 1.0782, NA, NA, NA, NA
FACTOR, FOIL, LOW, 1, 0.9712, NA, NA, NA, NA
CAMEL, STIM, HIGH, 6, 0.9092, -1.1459, -2.0137, 0.8678, 0.8340
VODKA, STIM, HIGH, 6, 0.9616, 1.2866, 1.2029, 0.0837, 0.7172
POSTER, STIM, HIGH, 3, 1.4572, 3.0118, 2.5852, 0.4266, 0.8173
GREAT, FOIL, LOW, 3, 2.6770, NA, NA, NA, NA
INCISE, FOIL, LOW, 1, 0.9778, NA, NA, NA, NA
CYLIX, STIM, LOW, 6, 1.1731, -2.2275, -1.9173, -0.3102, 1.1175
PILLOW, FOIL, HIGH, 2, 1.2503, NA, NA, NA, NA
SOUTH, STIM, LOW, 6, 0.9808, -3.0726, -3.1214, 0.0488, 0.6171
TENT, FOIL, HIGH, 2, 0.9972, NA, NA, NA, NA
LEAN, STIM, LOW, 6, 1.0729, -2.0204, -2.0574, 0.0371, 0.8340
JOCKEY, FOIL, HIGH, 1, 0.8780, NA, NA, NA, NA
BOOT, FOIL, HIGH, 2, 1.2816, NA, NA, NA, NA
SAUCE, FOIL, HIGH, 1, 0.7918, NA, NA, NA, NA
HOUND, STIM, HIGH, 6, 0.9589, -0.9647, -0.7086, -0.2561, 0.8006
DAMAN, STIM, LOW, 6, 0.9532, -1.8818, -1.9338, 0.0520, 0.7005
SCARE, FOIL, LOW, 3, 1.9130, NA, NA, NA, NA
WAIVE, STIM, LOW, 6, 0.9590, 2.1902, 2.2215, -0.0313, 0.6005
SLEPT, STIM, LOW, 4, 1.4852, 1.4240, 1.5968, -0.1728, 1.2009
SYSTEM, STIM, LOW, 6, 0.9097, -1.1097, -1.0491, -0.0606, 0.8006
NEVER, FOIL, LOW, 1, 1.3834, NA, NA, NA, NA
DRYAD, FOIL, LOW, 1, 1.1165, NA, NA, NA, NA
COST, STIM, LOW, 6, 0.8332, 1.3510, 0.7780, 0.5730, 1.0008
LIVER, STIM, HIGH, 6, 0.6962, 1.2180, 1.0815, 0.1366, 0.6505
SHONE, STIM, LOW, 5, 1.2429, 1.8002, 1.8398, -0.0396, 0.6839
FISH, FOIL, HIGH, 1, 0.9034, NA, NA, NA, NA
SWORD, STIM, HIGH, 6, 0.9478, 1.9095, 2.1688, -0.2594, 0.7005
ROSE, FOIL, HIGH, 1, 0.9300, NA, NA, NA, NA
INCOME, FOIL, LOW, 1, 0.7311, NA, NA, NA, NA
CORK, FOIL, HIGH, 1, 0.8049, NA, NA, NA, NA
FAIL, FOIL, LOW, 1, 0.9896, NA, NA, NA, NA
SKUNK, STIM, HIGH, 6, 1.4532, 1.2908, -0.8622, 2.1530, 3.9196
DESPOT, FOIL, LOW, 1, 1.2175, NA, NA, NA, NA
SIMPER, STIM, LOW, 5, 1.4885, -2.0079, -2.0689, 0.0610, 0.5504
CALIX, STIM, LOW, 6, 1.0444, -2.4345, 0.6132, -3.0477, 0.4170
LIRE, STIM, LOW, 6, 0.9753, -0.8837, 0.8781, -1.7618, 0.6005
SANDAL, FOIL, HIGH, 1, 1.2418, NA, NA, NA, NA
HAZARD, FOIL, LOW, 1, 1.1453, NA, NA, NA, NA
PEDAL, STIM, HIGH, 6, 1.2890, 0.5839, 0.6456, -0.0617, 1.7847
SKILL, STIM, LOW, 6, 1.7726, -0.2389, -0.2352, -0.0037, 0.6338
FANG, STIM, HIGH, 5, 1.4128, -0.1077, -0.8721, 0.7644, 0.5004
TIMBER, FOIL, HIGH, 1, 1.1338, NA, NA, NA, NA
CASH, FOIL, HIGH, 1, 1.9060, NA, NA, NA, NA
CAR, STIM, HIGH, 6, 1.0985, -1.1262, 0.7188, -1.8450, 0.5671
SCROLL, FOIL, HIGH, 1, 1.0605, NA, NA, NA, NA
NUMB, FOIL, LOW, 1, 0.8052, NA, NA, NA, NA
CRADLE, FOIL, HIGH, 3, 1.3064, NA, NA, NA, NA
WALLET, FOIL, HIGH, 4, 3.2395, NA, NA, NA, NA
SUM, STIM, LOW, 4, 1.1067, -3.1095, 0.9701, 2.2036, 0.6338
OF, STIM, LOW, 5, 0.7532, -3.0096, -3.1212, 0.1116, 0.6672
PUMMEL, STIM, LOW, 5, 1.0907, -2.3192, 2.1391, 1.8249, 0.6171
MOHUR, FOIL, LOW, 2, 0.8285, NA, NA, NA, NA
SIDE, FOIL, LOW, 1, 1.8816, NA, NA, NA, NA
RECORD, FOIL, HIGH, 2, 1.1765, NA, NA, NA, NA
PAPER, STIM, HIGH, 6, 1.1698, -0.9565, -0.8399, -0.1166, 0.9841
