word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
BREAK, FOIL, LOW, 6, 3.3736, NA, NA, NA, NA
MENAD, FOIL, LOW, 2, 1.2516, NA, NA, NA, NA
AGILE, FOIL, LOW, 2, 0.6591, NA, NA, NA, NA
RIB, FOIL, HIGH, 3, 1.3363, NA, NA, NA, NA
YACHT, STIM, HIGH, 6, 1.0642, 2.6574, 2.6990, -0.0416, 0.8840
FREE, STIM, LOW, 4, 0.9961, -2.0259, -2.6269, 0.6010, 0.7005
ADVERB, FOIL, LOW, 3, 0.8470, NA, NA, NA, NA
TROUT, FOIL, HIGH, 5, 1.6385, NA, NA, NA, NA
CANAL, STIM, HIGH, 3, 0.7294, -2.8953, -0.0523, -2.8430, 1.2843
COAST, STIM, HIGH, 6, 3.7140, 0.2288, 2.8749, -2.6461, 0.2835
BEAST, FOIL, HIGH, 4, 2.0760, NA, NA, NA, NA
GRAVEL, STIM, HIGH, 6, 0.9108, 0.0527, -3.0159, 3.0687, 6.2214
HONOUR, STIM, LOW, 4, 0.9012, -2.3864, 2.3599, 1.5369, 1.4177
MAGIC, STIM, LOW, 3, 0.7936, -0.2964, 0.1469, -0.4433, 1.9682
CLOVER, FOIL, HIGH, 4, 0.8237, NA, NA, NA, NA
RAIN, STIM, HIGH, 6, 0.8434, -0.1382, -0.1250, -0.0132, 0.8673
CALM, STIM, LOW, 6, 0.7201, 0.5157, 1.6127, -1.0970, 0.7672
RUBBER, FOIL, HIGH, 3, 0.9996, NA, NA, NA, NA
LADY, FOIL, HIGH, 4, 0.7450, NA, NA, NA, NA
SALARY, STIM, LOW, 6, 4.5277, 0.7822, -0.3004, 1.0826, 0.7005
INN, FOIL, HIGH, 1, 1.5531, NA, NA, NA, NA
ROUTE, STIM, LOW, 6, 1.5148, 0.2474, -1.2954, 1.5428, 0.6672
FOREST, STIM, HIGH, 6, 0.6381, 2.1989, 0.5198, 1.6791, 2.8688
LAX, FOIL, LOW, 2, 0.8761, NA, NA, NA, NA
NARES, STIM, LOW, 6, 0.6759, -0.9034, 0.3960, -1.2994, 1.9348
USED, FOIL, LOW, 2, 0.6742, NA, NA, NA, NA
ARBOR, FOIL, LOW, 1, 0.8548, NA, NA, NA, NA
LIP, STIM, HIGH, 6, 0.7779, -0.7801, -0.3582, -0.4219, 0.6338
EARTH, FOIL, HIGH, 2, 0.7959, NA, NA, NA, NA
CANOE, STIM, HIGH, 6, 0.5883, -1.7023, 2.8231, 1.7577, 0.9507
LIMB, FOIL, HIGH, 2, 0.7107, NA, NA, NA, NA
RAISE, STIM, LOW, 2, 0.7027, -2.7870, 0.0836, -2.8706, 1.0508
NEED, STIM, LOW, 3, 1.3320, -1.5100, -2.2789, 0.7688, 4.2199
TENT, STIM, HIGH, 6, 0.7859, 1.7049, 2.4506, -0.7457, 0.3169
ENVY, FOIL, LOW, 5, 2.1295, NA, NA, NA, NA
BAT, FOIL, HIGH, 2, 1.1375, NA, NA, NA, NA
PARE, FOIL, LOW, 1, 0.7021, NA, NA, NA, NA
CAREER, STIM, LOW, 6, 0.9773, 0.1550, -0.0157, 0.1707, 1.2176
CHISEL, FOIL, HIGH, 4, 1.4745, NA, NA, NA, NA
ITEM, STIM, LOW, 6, 1.6455, -1.1512, 1.6488, -2.8000, 0.7673
WOUND, FOIL, HIGH, 6, 2.9151, NA, NA, NA, NA
GRAZE, STIM, LOW, 6, 0.8370, -2.3417, 0.0471, -2.3887, 2.1516
REMEX, FOIL, LOW, 1, 1.5197, NA, NA, NA, NA
CRY, STIM, LOW, 6, 0.9245, -1.8119, 2.6571, 1.8141, 0.6005
APT, FOIL, LOW, 1, 1.2123, NA, NA, NA, NA
SKULL, STIM, HIGH, 6, 1.1741, 0.0260, -0.4660, 0.4920, 1.1676
COPPER, FOIL, HIGH, 1, 1.1110, NA, NA, NA, NA
ZONE, STIM, LOW, 6, 1.3320, -1.9640, -0.2970, -1.6670, 1.8681
BIRCH, STIM, HIGH, 6, 0.7263, -1.4133, 2.0231, 2.8468, 2.4685
ELSE, FOIL, LOW, 3, 1.0229, NA, NA, NA, NA
FOUL, STIM, LOW, 6, 0.5870, -2.7054, -2.4003, -0.3051, 2.2350
LUNE, FOIL, LOW, 1, 1.2079, NA, NA, NA, NA
TUBE, STIM, HIGH, 6, 1.1884, 0.6868, -2.3306, 3.0174, 1.2009
SINK, FOIL, HIGH, 2, 1.2164, NA, NA, NA, NA
SLUSH, STIM, HIGH, 6, 0.9285, 2.2838, 2.7737, -0.4899, 1.9515
MAST, STIM, HIGH, 6, 0.7674, -0.6155, 0.6601, -1.2756, 5.9045
SCOWL, FOIL, LOW, 2, 0.8106, NA, NA, NA, NA
WHY, FOIL, LOW, 3, 1.3364, NA, NA, NA, NA
CHEESE, STIM, HIGH, 6, 0.5716, 2.0852, 0.9814, 1.1038, 0.9841
TENNIS, FOIL, HIGH, 6, 0.9814, NA, NA, NA, NA
FACE, STIM, HIGH, 5, 1.2753, -2.5898, 1.3169, 2.3764, 1.5011
AVID, FOIL, LOW, 1, 1.3987, NA, NA, NA, NA
PARRY, FOIL, LOW, 5, 1.3704, NA, NA, NA, NA
WIRE, FOIL, HIGH, 5, 0.6643, NA, NA, NA, NA
ROCKET, FOIL, HIGH, 2, 0.7968, NA, NA, NA, NA
COAT, STIM, HIGH, 5, 0.5771, -0.2687, 2.7744, -3.0431, 0.6839
ANY, STIM, LOW, 5, 0.7704, -2.8972, 1.9764, 1.4096, 0.3836
PALM, FOIL, HIGH, 5, 0.6707, NA, NA, NA, NA
ANSWER, FOIL, LOW, 3, 0.6633, NA, NA, NA, NA
PAEAN, STIM, LOW, 6, 1.2525, 0.2721, -0.8754, 1.1475, 0.5671
STEAL, STIM, LOW, 6, 0.9517, 3.0657, -0.3448, -2.8727, 0.9007
GO, STIM, LOW, 6, 0.5906, -0.1487, -2.9320, 2.7832, 0.7172
