model_name, participant, is_model, quantile_idx, rt, theta
Hybrid, 1, true, 0.1, 0.11085, -3.1416
Hybrid, 1, true, 0.1, 0.11085, -3.0159
Hybrid, 1, true, 0.1, 0.11086, -2.8903
Hybrid, 1, true, 0.1, 0.11088, -2.7646
Hybrid, 1, true, 0.1, 0.11091, -2.6389
Hybrid, 1, true, 0.1, 0.11095, -2.5133
Hybrid, 1, true, 0.1, 0.11101, -2.3876
Hybrid, 1, true, 0.1, 0.1111, -2.2619
Hybrid, 1, true, 0.1, 0.11122, -2.1363
Hybrid, 1, true, 0.1, 0.1114, -2.0106
Hybrid, 1, true, 0.1, 0.11165, -1.885
Hybrid, 1, true, 0.1, 0.112, -1.7593
Hybrid, 1, true, 0.1, 0.11249, -1.6336
Hybrid, 1, true, 0.1, 0.11316, -1.508
Hybrid, 1, true, 0.1, 0.11407, -1.3823
Hybrid, 1, true, 0.1, 0.11522, -1.2566
Hybrid, 1, true, 0.1, 0.11667, -1.131
Hybrid, 1, true, 0.1, 0.11847, -1.0053
Hybrid, 1, true, 0.1, 0.12062, -0.87965
Hybrid, 1, true, 0.1, 0.12304, -0.75398
Hybrid, 1, true, 0.1, 0.12563, -0.62832
Hybrid, 1, true, 0.1, 0.1282, -0.50265
Hybrid, 1, true, 0.1, 0.13054, -0.37699
Hybrid, 1, true, 0.1, 0.13236, -0.25133
Hybrid, 1, true, 0.1, 0.13351, -0.12566
Hybrid, 1, true, 0.1, 0.1339, 1.1102e-15
Hybrid, 1, true, 0.1, 0.13351, 0.12566
Hybrid, 1, true, 0.1, 0.13236, 0.25133
Hybrid, 1, true, 0.1, 0.13054, 0.37699
Hybrid, 1, true, 0.1, 0.1282, 0.50265
Hybrid, 1, true, 0.1, 0.12563, 0.62832
Hybrid, 1, true, 0.1, 0.12304, 0.75398
Hybrid, 1, true, 0.1, 0.12062, 0.87965
Hybrid, 1, true, 0.1, 0.11847, 1.0053
Hybrid, 1, true, 0.1, 0.11667, 1.131
Hybrid, 1, true, 0.1, 0.11522, 1.2566
Hybrid, 1, true, 0.1, 0.11407, 1.3823
Hybrid, 1, true, 0.1, 0.11316, 1.508
Hybrid, 1, true, 0.1, 0.11249, 1.6336
Hybrid, 1, true, 0.1, 0.112, 1.7593
Hybrid, 1, true, 0.1, 0.11165, 1.885
Hybrid, 1, true, 0.1, 0.1114, 2.0106
Hybrid, 1, true, 0.1, 0.11122, 2.1363
Hybrid, 1, true, 0.1, 0.1111, 2.2619
Hybrid, 1, true, 0.1, 0.11101, 2.3876
Hybrid, 1, true, 0.1, 0.11095, 2.5133
Hybrid, 1, true, 0.1, 0.11091, 2.6389
Hybrid, 1, true, 0.1, 0.11088, 2.7646
Hybrid, 1, true, 0.1, 0.11086, 2.8903
Hybrid, 1, true, 0.1, 0.11085, 3.0159
Hybrid, 1, true, 0.5, 0.35145, -3.1416
Hybrid, 1, true, 0.5, 0.35146, -3.0159
Hybrid, 1, true, 0.5, 0.3515, -2.8903
Hybrid, 1, true, 0.5, 0.35156, -2.7646
Hybrid, 1, true, 0.5, 0.35166, -2.6389
Hybrid, 1, true, 0.5, 0.35181, -2.5133
Hybrid, 1, true, 0.5, 0.35203, -2.3876
Hybrid, 1, true, 0.5, 0.35234, -2.2619
Hybrid, 1, true, 0.5, 0.35277, -2.1363
Hybrid, 1, true, 0.5, 0.35338, -2.0106
Hybrid, 1, true, 0.5, 0.35424, -1.885
Hybrid, 1, true, 0.5, 0.35544, -1.7593
Hybrid, 1, true, 0.5, 0.35708, -1.6336
Hybrid, 1, true, 0.5, 0.35931, -1.508
Hybrid, 1, true, 0.5, 0.36227, -1.3823
Hybrid, 1, true, 0.5, 0.36607, -1.2566
Hybrid, 1, true, 0.5, 0.37085, -1.131
Hybrid, 1, true, 0.5, 0.37663, -1.0053
Hybrid, 1, true, 0.5, 0.38312, -0.87965
Hybrid, 1, true, 0.5, 0.39017, -0.75398
Hybrid, 1, true, 0.5, 0.39726, -0.62832
Hybrid, 1, true, 0.5, 0.40387, -0.50265
Hybrid, 1, true, 0.5, 0.40965, -0.37699
Hybrid, 1, true, 0.5, 0.41403, -0.25133
Hybrid, 1, true, 0.5, 0.41676, -0.12566
Hybrid, 1, true, 0.5, 0.41769, 1.1102e-15
Hybrid, 1, true, 0.5, 0.41676, 0.12566
Hybrid, 1, true, 0.5, 0.41403, 0.25133
Hybrid, 1, true, 0.5, 0.40965, 0.37699
Hybrid, 1, true, 0.5, 0.40387, 0.50265
Hybrid, 1, true, 0.5, 0.39726, 0.62832
Hybrid, 1, true, 0.5, 0.39017, 0.75398
Hybrid, 1, true, 0.5, 0.38312, 0.87965
Hybrid, 1, true, 0.5, 0.37663, 1.0053
Hybrid, 1, true, 0.5, 0.37085, 1.131
Hybrid, 1, true, 0.5, 0.36607, 1.2566
Hybrid, 1, true, 0.5, 0.36227, 1.3823
Hybrid, 1, true, 0.5, 0.35931, 1.508
Hybrid, 1, true, 0.5, 0.35708, 1.6336
Hybrid, 1, true, 0.5, 0.35544, 1.7593
Hybrid, 1, true, 0.5, 0.35424, 1.885
Hybrid, 1, true, 0.5, 0.35338, 2.0106
Hybrid, 1, true, 0.5, 0.35277, 2.1363
Hybrid, 1, true, 0.5, 0.35234, 2.2619
Hybrid, 1, true, 0.5, 0.35203, 2.3876
Hybrid, 1, true, 0.5, 0.35181, 2.5133
Hybrid, 1, true, 0.5, 0.35166, 2.6389
Hybrid, 1, true, 0.5, 0.35156, 2.7646
Hybrid, 1, true, 0.5, 0.3515, 2.8903
Hybrid, 1, true, 0.5, 0.35146, 3.0159
Hybrid, 1, true, 0.9, 0.93692, -3.1416
Hybrid, 1, true, 0.9, 0.93694, -3.0159
Hybrid, 1, true, 0.9, 0.93702, -2.8903
Hybrid, 1, true, 0.9, 0.93714, -2.7646
Hybrid, 1, true, 0.9, 0.93734, -2.6389
Hybrid, 1, true, 0.9, 0.93762, -2.5133
Hybrid, 1, true, 0.9, 0.93803, -2.3876
Hybrid, 1, true, 0.9, 0.93861, -2.2619
Hybrid, 1, true, 0.9, 0.93942, -2.1363
Hybrid, 1, true, 0.9, 0.94055, -2.0106
Hybrid, 1, true, 0.9, 0.94213, -1.885
Hybrid, 1, true, 0.9, 0.94431, -1.7593
Hybrid, 1, true, 0.9, 0.94739, -1.6336
Hybrid, 1, true, 0.9, 0.95153, -1.508
Hybrid, 1, true, 0.9, 0.95689, -1.3823
Hybrid, 1, true, 0.9, 0.96368, -1.2566
Hybrid, 1, true, 0.9, 0.97208, -1.131
Hybrid, 1, true, 0.9, 0.98178, -1.0053
Hybrid, 1, true, 0.9, 0.99255, -0.87965
Hybrid, 1, true, 0.9, 1.0038, -0.75398
Hybrid, 1, true, 0.9, 1.0148, -0.62832
Hybrid, 1, true, 0.9, 1.0249, -0.50265
Hybrid, 1, true, 0.9, 1.0334, -0.37699
Hybrid, 1, true, 0.9, 1.0398, -0.25133
Hybrid, 1, true, 0.9, 1.0438, -0.12566
Hybrid, 1, true, 0.9, 1.0451, 1.1102e-15
Hybrid, 1, true, 0.9, 1.0438, 0.12566
Hybrid, 1, true, 0.9, 1.0398, 0.25133
Hybrid, 1, true, 0.9, 1.0334, 0.37699
Hybrid, 1, true, 0.9, 1.0249, 0.50265
Hybrid, 1, true, 0.9, 1.0148, 0.62832
Hybrid, 1, true, 0.9, 1.0038, 0.75398
Hybrid, 1, true, 0.9, 0.99255, 0.87965
Hybrid, 1, true, 0.9, 0.98178, 1.0053
Hybrid, 1, true, 0.9, 0.97208, 1.131
Hybrid, 1, true, 0.9, 0.96368, 1.2566
Hybrid, 1, true, 0.9, 0.95689, 1.3823
Hybrid, 1, true, 0.9, 0.95153, 1.508
Hybrid, 1, true, 0.9, 0.94739, 1.6336
Hybrid, 1, true, 0.9, 0.94431, 1.7593
Hybrid, 1, true, 0.9, 0.94213, 1.885
Hybrid, 1, true, 0.9, 0.94055, 2.0106
Hybrid, 1, true, 0.9, 0.93942, 2.1363
Hybrid, 1, true, 0.9, 0.93861, 2.2619
Hybrid, 1, true, 0.9, 0.93803, 2.3876
Hybrid, 1, true, 0.9, 0.93762, 2.5133
Hybrid, 1, true, 0.9, 0.93734, 2.6389
Hybrid, 1, true, 0.9, 0.93714, 2.7646
Hybrid, 1, true, 0.9, 0.93702, 2.8903
Hybrid, 1, true, 0.9, 0.93694, 3.0159
Hybrid, 2, true, 0.1, 0.47628, -3.1416
Hybrid, 2, true, 0.1, 0.47628, -3.0159
Hybrid, 2, true, 0.1, 0.47628, -2.8903
Hybrid, 2, true, 0.1, 0.47628, -2.7646
Hybrid, 2, true, 0.1, 0.47628, -2.6389
Hybrid, 2, true, 0.1, 0.47628, -2.5133
Hybrid, 2, true, 0.1, 0.47628, -2.3876
Hybrid, 2, true, 0.1, 0.47628, -2.2619
Hybrid, 2, true, 0.1, 0.47628, -2.1363
Hybrid, 2, true, 0.1, 0.47628, -2.0106
Hybrid, 2, true, 0.1, 0.47628, -1.885
Hybrid, 2, true, 0.1, 0.47628, -1.7593
Hybrid, 2, true, 0.1, 0.47628, -1.6336
Hybrid, 2, true, 0.1, 0.47631, -1.508
Hybrid, 2, true, 0.1, 0.47644, -1.3823
Hybrid, 2, true, 0.1, 0.47701, -1.2566
Hybrid, 2, true, 0.1, 0.47941, -1.131
Hybrid, 2, true, 0.1, 0.48848, -1.0053
Hybrid, 2, true, 0.1, 0.5173, -0.87965
Hybrid, 2, true, 0.1, 0.58213, -0.75398
Hybrid, 2, true, 0.1, 0.65381, -0.62832
Hybrid, 2, true, 0.1, 0.69159, -0.50265
Hybrid, 2, true, 0.1, 0.70571, -0.37699
Hybrid, 2, true, 0.1, 0.71036, -0.25133
Hybrid, 2, true, 0.1, 0.71166, -0.12566
Hybrid, 2, true, 0.1, 0.7119, 1.1102e-15
Hybrid, 2, true, 0.1, 0.71166, 0.12566
Hybrid, 2, true, 0.1, 0.71036, 0.25133
Hybrid, 2, true, 0.1, 0.70571, 0.37699
Hybrid, 2, true, 0.1, 0.69159, 0.50265
Hybrid, 2, true, 0.1, 0.65381, 0.62832
Hybrid, 2, true, 0.1, 0.58213, 0.75398
Hybrid, 2, true, 0.1, 0.5173, 0.87965
Hybrid, 2, true, 0.1, 0.48848, 1.0053
Hybrid, 2, true, 0.1, 0.47941, 1.131
Hybrid, 2, true, 0.1, 0.47701, 1.2566
Hybrid, 2, true, 0.1, 0.47644, 1.3823
