model_name, participant, is_model, quantile_idx, rt, theta
Cont, 1, true, 0.1, 0.11587, -3.1416
Cont, 1, true, 0.1, 0.11586, -3.0159
Cont, 1, true, 0.1, 0.11586, -2.8903
Cont, 1, true, 0.1, 0.11584, -2.7646
Cont, 1, true, 0.1, 0.11583, -2.6389
Cont, 1, true, 0.1, 0.1158, -2.5133
Cont, 1, true, 0.1, 0.11578, -2.3876
Cont, 1, true, 0.1, 0.11575, -2.2619
Cont, 1, true, 0.1, 0.11571, -2.1363
Cont, 1, true, 0.1, 0.11568, -2.0106
Cont, 1, true, 0.1, 0.11564, -1.885
Cont, 1, true, 0.1, 0.1156, -1.7593
Cont, 1, true, 0.1, 0.11555, -1.6336
Cont, 1, true, 0.1, 0.11551, -1.508
Cont, 1, true, 0.1, 0.11547, -1.3823
Cont, 1, true, 0.1, 0.11543, -1.2566
Cont, 1, true, 0.1, 0.11539, -1.131
Cont, 1, true, 0.1, 0.11536, -1.0053
Cont, 1, true, 0.1, 0.11532, -0.87965
Cont, 1, true, 0.1, 0.11529, -0.75398
Cont, 1, true, 0.1, 0.11527, -0.62832
Cont, 1, true, 0.1, 0.11524, -0.50265
Cont, 1, true, 0.1, 0.11523, -0.37699
Cont, 1, true, 0.1, 0.11521, -0.25133
Cont, 1, true, 0.1, 0.11521, -0.12566
Cont, 1, true, 0.1, 0.1152, 1.1102e-15
Cont, 1, true, 0.1, 0.11521, 0.12566
Cont, 1, true, 0.1, 0.11521, 0.25133
Cont, 1, true, 0.1, 0.11523, 0.37699
Cont, 1, true, 0.1, 0.11524, 0.50265
Cont, 1, true, 0.1, 0.11527, 0.62832
Cont, 1, true, 0.1, 0.11529, 0.75398
Cont, 1, true, 0.1, 0.11532, 0.87965
Cont, 1, true, 0.1, 0.11536, 1.0053
Cont, 1, true, 0.1, 0.11539, 1.131
Cont, 1, true, 0.1, 0.11543, 1.2566
Cont, 1, true, 0.1, 0.11547, 1.3823
Cont, 1, true, 0.1, 0.11551, 1.508
Cont, 1, true, 0.1, 0.11555, 1.6336
Cont, 1, true, 0.1, 0.1156, 1.7593
Cont, 1, true, 0.1, 0.11564, 1.885
Cont, 1, true, 0.1, 0.11568, 2.0106
Cont, 1, true, 0.1, 0.11571, 2.1363
Cont, 1, true, 0.1, 0.11575, 2.2619
Cont, 1, true, 0.1, 0.11578, 2.3876
Cont, 1, true, 0.1, 0.1158, 2.5133
Cont, 1, true, 0.1, 0.11583, 2.6389
Cont, 1, true, 0.1, 0.11584, 2.7646
Cont, 1, true, 0.1, 0.11586, 2.8903
Cont, 1, true, 0.1, 0.11586, 3.0159
Cont, 1, true, 0.5, 0.37012, -3.1416
Cont, 1, true, 0.5, 0.37012, -3.0159
Cont, 1, true, 0.5, 0.37009, -2.8903
Cont, 1, true, 0.5, 0.37004, -2.7646
Cont, 1, true, 0.5, 0.36997, -2.6389
Cont, 1, true, 0.5, 0.36989, -2.5133
Cont, 1, true, 0.5, 0.36979, -2.3876
Cont, 1, true, 0.5, 0.36967, -2.2619
Cont, 1, true, 0.5, 0.36955, -2.1363
Cont, 1, true, 0.5, 0.36941, -2.0106
Cont, 1, true, 0.5, 0.36926, -1.885
Cont, 1, true, 0.5, 0.36911, -1.7593
Cont, 1, true, 0.5, 0.36896, -1.6336
Cont, 1, true, 0.5, 0.3688, -1.508
Cont, 1, true, 0.5, 0.36865, -1.3823
Cont, 1, true, 0.5, 0.3685, -1.2566
Cont, 1, true, 0.5, 0.36835, -1.131
Cont, 1, true, 0.5, 0.36821, -1.0053
Cont, 1, true, 0.5, 0.36809, -0.87965
Cont, 1, true, 0.5, 0.36798, -0.75398
Cont, 1, true, 0.5, 0.36788, -0.62832
Cont, 1, true, 0.5, 0.36779, -0.50265
Cont, 1, true, 0.5, 0.36773, -0.37699
Cont, 1, true, 0.5, 0.36768, -0.25133
Cont, 1, true, 0.5, 0.36765, -0.12566
Cont, 1, true, 0.5, 0.36764, 1.1102e-15
Cont, 1, true, 0.5, 0.36765, 0.12566
Cont, 1, true, 0.5, 0.36768, 0.25133
Cont, 1, true, 0.5, 0.36773, 0.37699
Cont, 1, true, 0.5, 0.36779, 0.50265
Cont, 1, true, 0.5, 0.36788, 0.62832
Cont, 1, true, 0.5, 0.36798, 0.75398
Cont, 1, true, 0.5, 0.36809, 0.87965
Cont, 1, true, 0.5, 0.36821, 1.0053
Cont, 1, true, 0.5, 0.36835, 1.131
Cont, 1, true, 0.5, 0.3685, 1.2566
Cont, 1, true, 0.5, 0.36865, 1.3823
Cont, 1, true, 0.5, 0.3688, 1.508
Cont, 1, true, 0.5, 0.36896, 1.6336
Cont, 1, true, 0.5, 0.36911, 1.7593
Cont, 1, true, 0.5, 0.36926, 1.885
Cont, 1, true, 0.5, 0.36941, 2.0106
Cont, 1, true, 0.5, 0.36955, 2.1363
Cont, 1, true, 0.5, 0.36967, 2.2619
Cont, 1, true, 0.5, 0.36979, 2.3876
Cont, 1, true, 0.5, 0.36989, 2.5133
Cont, 1, true, 0.5, 0.36997, 2.6389
Cont, 1, true, 0.5, 0.37004, 2.7646
Cont, 1, true, 0.5, 0.37009, 2.8903
Cont, 1, true, 0.5, 0.37012, 3.0159
Cont, 1, true, 0.9, 0.9828, -3.1416
Cont, 1, true, 0.9, 0.98277, -3.0159
Cont, 1, true, 0.9, 0.98269, -2.8903
Cont, 1, true, 0.9, 0.98254, -2.7646
Cont, 1, true, 0.9, 0.98234, -2.6389
Cont, 1, true, 0.9, 0.98209, -2.5133
