participant, model_name, BIC, v1, v2, eta, a1, a2, pi, Ter, st, sa
1, Cont, 886.7115, 0.12694, 0, 0.48926, 1.0996, 0, 0, -0.07844, 0.028027, 0
1, Thresh, 888.5382, 4.0103, 0, 0, 5.4578, 1.0521, 0.026054, -0.076677, 0.0054485, 0
1, Hybrid, 893.8942, 4.0367, 0, 0.095166, 5.5006, 1.0521, 0.026345, -0.076554, 0.003643, 0
2, Cont, 2211.8985, 1.1696, 0, 0.31237, 1.9745, 0, 0, 0.088569, 0.093442, 0
2, Thresh, 1974.0227, 3.1185, 0, 0, 4.4634, 2.0431, 0.65267, -0.21852, 0.0079395, 0
2, Hybrid, 1964.8523, 3.5064, 0, 0.60532, 5.5025, 2.0723, 0.69756, -0.35094, 0.066959, 0
3, Cont, 1863.2918, 0.98442, 0, 0.32802, 1.1828, 0, 0, -0.055852, 0.29648, 0
3, Thresh, 1743.9112, 2.8049, 0, 0, 2.0918, 1.2367, 0.52192, -0.044043, 0.010267, 0
3, Hybrid, 1749.9083, 2.8793, 0, 0.20995, 2.1679, 1.2539, 0.5214, -0.073505, 0.050128, 0
4, Cont, 3720.9678, 1.6808, 0, 1.234, 1.5722, 0, 0, 0.092657, 0.24618, 0
4, Thresh, 3151.1477, 5.8006, 0, 0, 4.2072, 1.4734, 0.4884, -0.061042, 0.15399, 0
4, Hybrid, 3162.0953, 5.6621, 0, 0.0028704, 3.9664, 1.4445, 0.48705, -0.017853, 0.11201, 0
5, Cont, 2174.3399, 1.0881, 0, 0.47247, 1.5746, 0, 0, 0.1001, 0.052657, 0
5, Thresh, 1985.5627, 2.9136, 0, 0, 3.0578, 1.6776, 0.60605, -0.11259, 0.018883, 0
5, Hybrid, 1991.7944, 2.9157, 0, 0.11149, 3.0399, 1.6675, 0.60547, -0.11375, 0.03604, 0
6, Cont, 1564.1759, 0.9167, 0, 2.4531, 1.3403, 0, 0, 0.14747, 0.24149, 0
6, Thresh, 1532.336, 4.5778, 0, 0, 1.7367, 0.95509, 0.24803, 0.1552, 0.17846, 0
6, Hybrid, 1538.7179, 4.6861, 0, 0.42345, 1.7713, 0.95485, 0.24969, 0.15539, 0.17795, 0
7, Cont, 1448.1233, 1.5299, 0, 0.50701, 1.3374, 0, 0, -0.074211, 0.042581, 0
7, Thresh, 1261.2295, 4.4754, 0, 0, 1.7656, 1.171, 0.64216, -0.12688, 0.36427, 0
7, Hybrid, 1281.158, 3.6064, 0, 0.26178, 2.0115, 1.2442, 0.67594, -0.13289, 0.12726, 0
8, Cont, 1244.0099, 2.12, 0, 0.20614, 2.1599, 0, 0, -0.060979, 0.055529, 0
8, Thresh, 591.6769, 4.685, 0, 0, 5.5057, 1.815, 0.84914, -0.36769, 0.0011175, 0
8, Hybrid, 639.3028, 5.776, 0, 0.71847, 5.4086, 1.5713, 0.84246, -0.14962, 0.012338, 0
