participant, model_name, BIC, v1, v2, eta, a, pi1, pi2, Ter, st, sa
1, Cont, 854.8902, 0.14033, 0, 0.8143, 0.4144, 0, 0, 2.4992, 1.1549, 0
1, Thresh, 862.7335, 0.80618, 0, 0, 3.0486, 1.0878, 0.071897, 0.37662, -0.10838, 0
1, Hybrid, 870.1904, 1.3747, 0, 4.1221, 1.4484e-05, 1.102, 0.026108, 0.13773, -0.097829, 0
2, Cont, 2175.4394, 1.2872, 0, 0.25484, 0.36216, 0, 0, 1.585, 2.0708, 0
2, Thresh, 2113.4157, 1.7161, 0, 0, 1.9463, 2.2818, 0.82311, 0.28582, 0.038064, 0
2, Hybrid, 2119.3301, 1.7284, 0, 1.7629, 0.00022903, 2.2539, 0.82135, 0.32538, 0.013526, 0
3, Cont, 1814.4548, 1.0043, 0, 0.13826, 0.02132, 0, 0, 0.1702, 1.1844, 0
3, Thresh, 1757.1305, 2.0823, 0, 0, 0.95138, 1.3161, 0.63938, 0.35961, -0.073252, 0
3, Hybrid, 1772.3879, 1.9442, 0, 0.49104, 0.066225, 1.3309, 0.64969, 0.070426, -0.047203, 0
4, Cont, 3638.8015, 1.6946, 0, 0.0046228, 1.1213, 0, 0, 0.97246, 1.8036, 0
4, Thresh, 3418.5268, 2.4238, 0, 0, 3.1062, 1.6272, 0.70858, 0.069457, 0.058717, 0
4, Hybrid, 3414.4776, 2.6484, 0, 5.1659, 0.00051545, 1.5845, 0.68213, 0.16412, 0.045299, 0
5, Cont, 2152.6159, 1.1892, 0, 0.80047, 0.53528, 0, 0, 0.764, 1.6175, 0
5, Thresh, 2057.0198, 1.9236, 0, 0, 1.5717, 1.6809, 0.71338, 0.42051, 0.10012, 0
5, Hybrid, 2061.2425, 1.9329, 0, 3.028, 0.012049, 1.7139, 0.70715, 0.29208, 0.10011, 0
6, Cont, 1381.3199, 0.75093, 0, 0.23183, 1.4029, 0, 0, 1.9328, 1.0911, 0
6, Thresh, 1383.0432, 2.4024, 0, 0, 0.00017261, 0.98107, 0.36539, 0.03057, 0.17713, 0
6, Hybrid, 1383.8348, 2.407, 0, 3.1039, 0.19414, 0.95072, 0.38506, 0.1841, 0.16923, 0
7, Cont, 1305.1597, 2.1581, 0, 0.46774, 0.90744, 0, 0, 2.2331, 1.3789, 0
7, Thresh, 1231.537, 3.4465, 0, 0, 2.9744, 1.2322, 0.74124, 0.37442, -0.072654, 0
7, Hybrid, 1286.8981, 2.6001, 0, 2.1305, 0.031468, 1.4802, 0.80771, 0.43252, -0.065494, 0
8, Cont, 1209.3513, 2.5008, 0, 1.5862, 0.39366, 0, 0, 0.32534, 2.3116, 0
8, Thresh, 1074.9683, 3.0479, 0, 0, 1.4862, 2.5414, 0.92813, 0.57664, 1.7513e-05, 0
8, Hybrid, 1081.8135, 3.0851, 0, 2.3678, 0.00092971, 2.5039, 0.92593, 0.76022, 0.00081014, 0
9, Cont, 2040.6215, 0.16763, 0, 0.0012322, 0.53622, 0, 0, 0.84442, 1.0605, 0
9, Thresh, 2038.913, 0.57632, 0, 0, 0.18013, 1.0219, 0.2328, 0.60845, -0.069187, 0
