participant, model_name, BIC, v1, v2, eta, a, pi1, pi2, Ter, st, sa
1, Cont, 854.8902, 0.14033, 0, 0.8143, 0.4144, 0, 0, 2.4992, 1.1549, 0
1, Thresh, 852.2509, 6.4335, 0, 0, 1.0528, 5.639e-08, 0.27479, -0.1377, 0.2004, 0
1, Hybrid, 858.1105, 5.4048, 0, 0.70139, 1.1029, 3.576e-08, 0.29876, -0.10365, 0.05151, 0
2, Cont, 2175.4394, 1.2872, 0, 0.25484, 0.36216, 0, 0, 1.585, 2.0708, 0
2, Thresh, 2107.4816, 1.7217, 0, 0, 2.269, 0.823, 0.30549, 0.036039, 0.068839, 0
2, Hybrid, 2113.1317, 1.7392, 0, 0.029331, 2.237, 0.8192, 0.28327, 0.016672, 0.1593, 0
3, Cont, 1814.4548, 1.0043, 0, 0.13826, 0.02132, 0, 0, 0.1702, 1.1844, 0
3, Thresh, 1757.1715, 2.0044, 0, 0, 1.3061, 0.64617, 0.056028, -0.044219, 0.19487, 0
3, Hybrid, 1767.0222, 1.9305, 0, 0.0053561, 1.3449, 0.65806, 0.15339, -0.044393, 0.15072, 0
4, Cont, 3638.8015, 1.6946, 0, 0.0046228, 1.1213, 0, 0, 0.97246, 1.8036, 0
4, Thresh, 3415.0489, 2.3823, 0, 0, 1.6136, 0.70858, 0.038191, 0.058986, 0.16097, 0
4, Hybrid, 3435.2183, 2.378, 0, 0.00024136, 1.6877, 0.70935, 0.13596, 0.05969, 0.098659, 0
5, Cont, 2152.6159, 1.1892, 0, 0.80047, 0.53528, 0, 0, 0.764, 1.6175, 0
5, Thresh, 2047.1485, 1.9213, 0, 0, 1.7119, 0.71243, 0.34181, 0.1001, 0.016032, 0
5, Hybrid, 2053.5784, 1.9158, 0, 0.016456, 1.7137, 0.72515, 0.33634, 0.10027, 0.033885, 0
6, Cont, 1381.3199, 0.75093, 0, 0.23183, 1.4029, 0, 0, 1.9328, 1.0911, 0
6, Thresh, 1371.2064, 2.5005, 0, 0, 0.95061, 0.38208, 0.18971, 0.17015, 0.23834, 0
6, Hybrid, 1379.4623, 2.1708, 0, 0.00037817, 0.9617, 0.41761, 0.39207, 0.17487, 0.21066, 0
7, Cont, 1305.1597, 2.1581, 0, 0.46774, 0.90744, 0, 0, 2.2331, 1.3789, 0
7, Thresh, 1223.8538, 3.1203, 0, 0, 1.3171, 0.77533, 0.35882, -0.090014, 0.29759, 0
7, Hybrid, 1237.2358, 2.9621, 0, 0.0001142, 1.293, 0.75909, 0.5214, -0.074029, 0.26751, 0
8, Cont, 1209.3513, 2.5008, 0, 1.5862, 0.39366, 0, 0, 0.32534, 2.3116, 0
8, Thresh, 1047.2518, 3.1848, 0, 0, 3.024, 0.92186, 0.91196, -0.47311, 0.68604, 0
8, Hybrid, 1071.4257, 3.0548, 0, 0.0014579, 2.5523, 0.92676, 0.55128, 1.5874e-05, 0.0097918, 0
9, Cont, 2040.6215, 0.16763, 0, 0.0012322, 0.53622, 0, 0, 0.84442, 1.0605, 0
9, Thresh, 2033.6474, 0.29801, 0, 0, 1.0251, 0.50957, 0.010165, -0.081246, 0.057366, 0
9, Hybrid, 2039.6901, 0.15449, 0, 0.68867, 1.0569, 0.50584, 0.99776, -0.068211, 0.014069, 0
10, Cont, 2042.2984, 1.4259, 0, 0.89481, 0.2142, 0, 0, 0.0024064, 3.0614, 0
10, Thresh, 1969.4211, 1.6228, 0, 0, 3.9276, 0.95551, 0.99996, -0.5, 0.052795, 0
10, Hybrid, 1990.7434, 1.5954, 0, 0.07006, 3.1859, 0.95409, 0.47309, 0.00098178, 0.076241, 0
11, Cont, 1759.4136, 0.93856, 0, 0.32024, 0.65103, 0, 0, 0.18285, 1.0904, 0
11, Thresh, 1669.0046, 2.3713, 0, 0, 0.99071, 0.54793, 0.18756, -0.092217, 0.38404, 0
11, Hybrid, 1733.517, 1.8298, 0, 0.01059, 1.1081, 0.5575, 0.066952, -0.07651, 0.14405, 0
12, Cont, 1262.3307, 1.9175, 0, 0.33639, 0.0548, 0, 0, 2.3805, 1.4469, 0
12, Thresh, 1124.3715, 3.0144, 0, 0, 1.4885, 0.84375, 0.53011, 0.15592, 0.3308, 0
