p,cont,thresh,hybrid
1,854.8901616,852.2509093,858.110467
2,2175.439382,2107.481592,2113.13172
3,1814.454752,1757.171522,1767.022212
4,3638.801536,3415.048938,3435.218261
5,2152.615889,2047.148534,2053.578412
6,1381.319861,1371.206425,1379.462254
7,1305.159738,1223.853802,1237.235782
8,1209.351311,1047.251755,1071.425749
9,2040.621478,2033.647418,2039.690059
10,2042.298449,1969.421124,1990.743372
11,1759.413562,1669.00461,1733.517023
12,1262.330665,1124.371516,1156.419438
13,1519.538114,1515.252695,1525.269499
15,1634.737641,1644.362796,1662.0049
16,2006.151644,1961.848623,1967.81156
17,1877.009666,1886.094714,1879.249573
18,2034.615574,1980.76475,1969.562705
19,1633.535353,1619.393574,1628.298465
20,1578.642228,1571.558537,1576.596744
