model_name, participant, is_model, is_high, quantile_idx, rt, theta
Hybrid, 1, true, true, 0.1, 0.12929, -3.1416
Hybrid, 1, true, true, 0.1, 0.12937, -3.0159
Hybrid, 1, true, true, 0.1, 0.12942, -2.8903
Hybrid, 1, true, true, 0.1, 0.12945, -2.7646
Hybrid, 1, true, true, 0.1, 0.12945, -2.6389
Hybrid, 1, true, true, 0.1, 0.12942, -2.5133
Hybrid, 1, true, true, 0.1, 0.12937, -2.3876
Hybrid, 1, true, true, 0.1, 0.12929, -2.2619
Hybrid, 1, true, true, 0.1, 0.12919, -2.1363
Hybrid, 1, true, true, 0.1, 0.12906, -2.0106
Hybrid, 1, true, true, 0.1, 0.12892, -1.885
Hybrid, 1, true, true, 0.1, 0.12876, -1.7593
Hybrid, 1, true, true, 0.1, 0.12858, -1.6336
Hybrid, 1, true, true, 0.1, 0.12839, -1.508
Hybrid, 1, true, true, 0.1, 0.12819, -1.3823
Hybrid, 1, true, true, 0.1, 0.12799, -1.2566
Hybrid, 1, true, true, 0.1, 0.12779, -1.131
Hybrid, 1, true, true, 0.1, 0.12758, -1.0053
Hybrid, 1, true, true, 0.1, 0.12738, -0.87965
Hybrid, 1, true, true, 0.1, 0.12719, -0.75398
Hybrid, 1, true, true, 0.1, 0.12701, -0.62832
Hybrid, 1, true, true, 0.1, 0.12684, -0.50265
Hybrid, 1, true, true, 0.1, 0.12668, -0.37699
Hybrid, 1, true, true, 0.1, 0.12654, -0.25133
Hybrid, 1, true, true, 0.1, 0.12643, -0.12566
Hybrid, 1, true, true, 0.1, 0.12633, 1.1102e-15
Hybrid, 1, true, true, 0.1, 0.12626, 0.12566
Hybrid, 1, true, true, 0.1, 0.12621, 0.25133
Hybrid, 1, true, true, 0.1, 0.12618, 0.37699
Hybrid, 1, true, true, 0.1, 0.12618, 0.50265
Hybrid, 1, true, true, 0.1, 0.12621, 0.62832
Hybrid, 1, true, true, 0.1, 0.12626, 0.75398
Hybrid, 1, true, true, 0.1, 0.12633, 0.87965
Hybrid, 1, true, true, 0.1, 0.12643, 1.0053
Hybrid, 1, true, true, 0.1, 0.12654, 1.131
Hybrid, 1, true, true, 0.1, 0.12668, 1.2566
Hybrid, 1, true, true, 0.1, 0.12684, 1.3823
Hybrid, 1, true, true, 0.1, 0.12701, 1.508
Hybrid, 1, true, true, 0.1, 0.12719, 1.6336
Hybrid, 1, true, true, 0.1, 0.12738, 1.7593
Hybrid, 1, true, true, 0.1, 0.12758, 1.885
Hybrid, 1, true, true, 0.1, 0.12779, 2.0106
Hybrid, 1, true, true, 0.1, 0.12799, 2.1363
Hybrid, 1, true, true, 0.1, 0.12819, 2.2619
Hybrid, 1, true, true, 0.1, 0.12839, 2.3876
Hybrid, 1, true, true, 0.1, 0.12858, 2.5133
Hybrid, 1, true, true, 0.1, 0.12876, 2.6389
Hybrid, 1, true, true, 0.1, 0.12892, 2.7646
Hybrid, 1, true, true, 0.1, 0.12906, 2.8903
Hybrid, 1, true, true, 0.1, 0.12919, 3.0159
Hybrid, 1, true, true, 0.5, 0.39819, -3.1416
Hybrid, 1, true, true, 0.5, 0.39848, -3.0159
Hybrid, 1, true, true, 0.5, 0.39868, -2.8903
Hybrid, 1, true, true, 0.5, 0.39878, -2.7646
Hybrid, 1, true, true, 0.5, 0.39878, -2.6389
Hybrid, 1, true, true, 0.5, 0.39868, -2.5133
Hybrid, 1, true, true, 0.5, 0.39848, -2.3876
Hybrid, 1, true, true, 0.5, 0.39819, -2.2619
Hybrid, 1, true, true, 0.5, 0.3978, -2.1363
Hybrid, 1, true, true, 0.5, 0.39733, -2.0106
Hybrid, 1, true, true, 0.5, 0.39678, -1.885
Hybrid, 1, true, true, 0.5, 0.39617, -1.7593
Hybrid, 1, true, true, 0.5, 0.39549, -1.6336
