model_name, participant, is_model, is_high, quantile_idx, rt, theta
Threshold, 1, true, true, 0.1, 0.33376, -3.1416
Threshold, 1, true, true, 0.1, 0.33376, -3.0159
Threshold, 1, true, true, 0.1, 0.33376, -2.8903
Threshold, 1, true, true, 0.1, 0.33377, -2.7646
Threshold, 1, true, true, 0.1, 0.33378, -2.6389
Threshold, 1, true, true, 0.1, 0.33379, -2.5133
Threshold, 1, true, true, 0.1, 0.3338, -2.3876
Threshold, 1, true, true, 0.1, 0.33381, -2.2619
Threshold, 1, true, true, 0.1, 0.33383, -2.1363
Threshold, 1, true, true, 0.1, 0.33385, -2.0106
Threshold, 1, true, true, 0.1, 0.33386, -1.885
Threshold, 1, true, true, 0.1, 0.33388, -1.7593
Threshold, 1, true, true, 0.1, 0.3339, -1.6336
Threshold, 1, true, true, 0.1, 0.33393, -1.508
Threshold, 1, true, true, 0.1, 0.33395, -1.3823
Threshold, 1, true, true, 0.1, 0.33397, -1.2566
Threshold, 1, true, true, 0.1, 0.33399, -1.131
Threshold, 1, true, true, 0.1, 0.33401, -1.0053
Threshold, 1, true, true, 0.1, 0.33402, -0.87965
Threshold, 1, true, true, 0.1, 0.33404, -0.75398
Threshold, 1, true, true, 0.1, 0.33405, -0.62832
Threshold, 1, true, true, 0.1, 0.33407, -0.50265
Threshold, 1, true, true, 0.1, 0.33408, -0.37699
Threshold, 1, true, true, 0.1, 0.33408, -0.25133
Threshold, 1, true, true, 0.1, 0.33409, -0.12566
Threshold, 1, true, true, 0.1, 0.33409, 1.1102e-15
Threshold, 1, true, true, 0.1, 0.33409, 0.12566
Threshold, 1, true, true, 0.1, 0.33409, 0.25133
Threshold, 1, true, true, 0.1, 0.33409, 0.37699
Threshold, 1, true, true, 0.1, 0.33408, 0.50265
Threshold, 1, true, true, 0.1, 0.33407, 0.62832
Threshold, 1, true, true, 0.1, 0.33406, 0.75398
Threshold, 1, true, true, 0.1, 0.33404, 0.87965
Threshold, 1, true, true, 0.1, 0.33403, 1.0053
Threshold, 1, true, true, 0.1, 0.33401, 1.131
Threshold, 1, true, true, 0.1, 0.33399, 1.2566
Threshold, 1, true, true, 0.1, 0.33397, 1.3823
Threshold, 1, true, true, 0.1, 0.33395, 1.508
Threshold, 1, true, true, 0.1, 0.33393, 1.6336
Threshold, 1, true, true, 0.1, 0.33391, 1.7593
Threshold, 1, true, true, 0.1, 0.33389, 1.885
Threshold, 1, true, true, 0.1, 0.33387, 2.0106
Threshold, 1, true, true, 0.1, 0.33385, 2.1363
Threshold, 1, true, true, 0.1, 0.33383, 2.2619
Threshold, 1, true, true, 0.1, 0.33382, 2.3876
Threshold, 1, true, true, 0.1, 0.3338, 2.5133
Threshold, 1, true, true, 0.1, 0.33379, 2.6389
Threshold, 1, true, true, 0.1, 0.33378, 2.7646
Threshold, 1, true, true, 0.1, 0.33377, 2.8903
Threshold, 1, true, true, 0.1, 0.33377, 3.0159
Threshold, 1, true, true, 0.5, 0.44352, -3.1416
Threshold, 1, true, true, 0.5, 0.44352, -3.0159
Threshold, 1, true, true, 0.5, 0.44352, -2.8903
Threshold, 1, true, true, 0.5, 0.44354, -2.7646
Threshold, 1, true, true, 0.5, 0.44355, -2.6389
Threshold, 1, true, true, 0.5, 0.44358, -2.5133
Threshold, 1, true, true, 0.5, 0.4436, -2.3876
Threshold, 1, true, true, 0.5, 0.44364, -2.2619
Threshold, 1, true, true, 0.5, 0.44367, -2.1363
Threshold, 1, true, true, 0.5, 0.44371, -2.0106
Threshold, 1, true, true, 0.5, 0.44376, -1.885
Threshold, 1, true, true, 0.5, 0.4438, -1.7593
Threshold, 1, true, true, 0.5, 0.44385, -1.6336
Threshold, 1, true, true, 0.5, 0.4439, -1.508
Threshold, 1, true, true, 0.5, 0.44394, -1.3823
Threshold, 1, true, true, 0.5, 0.44399, -1.2566
Threshold, 1, true, true, 0.5, 0.44404, -1.131
Threshold, 1, true, true, 0.5, 0.44408, -1.0053
Threshold, 1, true, true, 0.5, 0.44412, -0.87965
Threshold, 1, true, true, 0.5, 0.44416, -0.75398
Threshold, 1, true, true, 0.5, 0.44419, -0.62832
Threshold, 1, true, true, 0.5, 0.44422, -0.50265
Threshold, 1, true, true, 0.5, 0.44425, -0.37699
Threshold, 1, true, true, 0.5, 0.44426, -0.25133
Threshold, 1, true, true, 0.5, 0.44428, -0.12566
Threshold, 1, true, true, 0.5, 0.44428, 1.1102e-15
Threshold, 1, true, true, 0.5, 0.44428, 0.12566
Threshold, 1, true, true, 0.5, 0.44428, 0.25133
Threshold, 1, true, true, 0.5, 0.44427, 0.37699
Threshold, 1, true, true, 0.5, 0.44425, 0.50265
Threshold, 1, true, true, 0.5, 0.44423, 0.62832
Threshold, 1, true, true, 0.5, 0.4442, 0.75398
Threshold, 1, true, true, 0.5, 0.44417, 0.87965
Threshold, 1, true, true, 0.5, 0.44413, 1.0053
Threshold, 1, true, true, 0.5, 0.44409, 1.131
Threshold, 1, true, true, 0.5, 0.44405, 1.2566
Threshold, 1, true, true, 0.5, 0.444, 1.3823
Threshold, 1, true, true, 0.5, 0.44395, 1.508
Threshold, 1, true, true, 0.5, 0.44391, 1.6336
Threshold, 1, true, true, 0.5, 0.44386, 1.7593
Threshold, 1, true, true, 0.5, 0.44381, 1.885
Threshold, 1, true, true, 0.5, 0.44376, 2.0106
Threshold, 1, true, true, 0.5, 0.44372, 2.1363
Threshold, 1, true, true, 0.5, 0.44368, 2.2619
Threshold, 1, true, true, 0.5, 0.44364, 2.3876
Threshold, 1, true, true, 0.5, 0.44361, 2.5133
Threshold, 1, true, true, 0.5, 0.44358, 2.6389
Threshold, 1, true, true, 0.5, 0.44356, 2.7646
Threshold, 1, true, true, 0.5, 0.44354, 2.8903
Threshold, 1, true, true, 0.5, 0.44353, 3.0159
Threshold, 1, true, true, 0.9, 0.69565, -3.1416
Threshold, 1, true, true, 0.9, 0.69565, -3.0159
Threshold, 1, true, true, 0.9, 0.69567, -2.8903
Threshold, 1, true, true, 0.9, 0.69569, -2.7646
Threshold, 1, true, true, 0.9, 0.69574, -2.6389
