model_name, participant, is_model, is_high, quantile_idx, rt, theta
Hybrid, 1, true, true, 0.1, 0.3165, -3.1416
Hybrid, 1, true, true, 0.1, 0.31635, -3.0159
Hybrid, 1, true, true, 0.1, 0.3163, -2.8903
Hybrid, 1, true, true, 0.1, 0.31634, -2.7646
Hybrid, 1, true, true, 0.1, 0.31647, -2.6389
Hybrid, 1, true, true, 0.1, 0.3167, -2.5133
Hybrid, 1, true, true, 0.1, 0.31702, -2.3876
Hybrid, 1, true, true, 0.1, 0.31743, -2.2619
Hybrid, 1, true, true, 0.1, 0.31793, -2.1363
Hybrid, 1, true, true, 0.1, 0.31851, -2.0106
Hybrid, 1, true, true, 0.1, 0.31917, -1.885
Hybrid, 1, true, true, 0.1, 0.3199, -1.7593
Hybrid, 1, true, true, 0.1, 0.32069, -1.6336
Hybrid, 1, true, true, 0.1, 0.32154, -1.508
Hybrid, 1, true, true, 0.1, 0.32244, -1.3823
Hybrid, 1, true, true, 0.1, 0.32337, -1.2566
Hybrid, 1, true, true, 0.1, 0.32431, -1.131
Hybrid, 1, true, true, 0.1, 0.32526, -1.0053
Hybrid, 1, true, true, 0.1, 0.32619, -0.87965
Hybrid, 1, true, true, 0.1, 0.32708, -0.75398
Hybrid, 1, true, true, 0.1, 0.32792, -0.62832
Hybrid, 1, true, true, 0.1, 0.3287, -0.50265
Hybrid, 1, true, true, 0.1, 0.32937, -0.37699
Hybrid, 1, true, true, 0.1, 0.32994, -0.25133
Hybrid, 1, true, true, 0.1, 0.3304, -0.12566
Hybrid, 1, true, true, 0.1, 0.33074, 1.1102e-15
Hybrid, 1, true, true, 0.1, 0.33095, 0.12566
Hybrid, 1, true, true, 0.1, 0.33102, 0.25133
Hybrid, 1, true, true, 0.1, 0.33097, 0.37699
Hybrid, 1, true, true, 0.1, 0.33077, 0.50265
Hybrid, 1, true, true, 0.1, 0.33045, 0.62832
Hybrid, 1, true, true, 0.1, 0.33001, 0.75398
Hybrid, 1, true, true, 0.1, 0.32945, 0.87965
Hybrid, 1, true, true, 0.1, 0.32878, 1.0053
Hybrid, 1, true, true, 0.1, 0.32802, 1.131
Hybrid, 1, true, true, 0.1, 0.32719, 1.2566
Hybrid, 1, true, true, 0.1, 0.3263, 1.3823
Hybrid, 1, true, true, 0.1, 0.32537, 1.508
Hybrid, 1, true, true, 0.1, 0.32443, 1.6336
Hybrid, 1, true, true, 0.1, 0.32348, 1.7593
Hybrid, 1, true, true, 0.1, 0.32255, 1.885
Hybrid, 1, true, true, 0.1, 0.32165, 2.0106
Hybrid, 1, true, true, 0.1, 0.32079, 2.1363
Hybrid, 1, true, true, 0.1, 0.31999, 2.2619
Hybrid, 1, true, true, 0.1, 0.31925, 2.3876
Hybrid, 1, true, true, 0.1, 0.31859, 2.5133
Hybrid, 1, true, true, 0.1, 0.31799, 2.6389
Hybrid, 1, true, true, 0.1, 0.31748, 2.7646
Hybrid, 1, true, true, 0.1, 0.31706, 2.8903
Hybrid, 1, true, true, 0.1, 0.31673, 3.0159
