participant, model_name, BIC, v1, v2, eta, a1, a2, pi, Ter, st, sa
1, Generating, NA, 4.0579, 0, 0, 5.5005, 1.0354, 0.027033, -0.066806, 0.0044856, 0
1, Continuous, 949.4648, 3.3604e-06, 0, 0.91348, 1.2701, 0, 0, -0.094399, 0.054369, 0
1, Threshold, 955.3977, 3.324, 0, 0, 5.1066, 1.1323, 0.0072097, -0.066832, 0.033809, 0
2, Generating, NA, 3.1012, 0, 0, 4.4428, 2.048, 0.65356, -0.21784, 0.02531, 0
2, Continuous, 2457.814, 1.3103, 0, 0.81118, 2.4882, 0, 0, 0.022016, 0.11022, 0
2, Threshold, 2042.2218, 3.0895, 0, 0, 4.4392, 2.1806, 0.68135, -0.14969, 0.001908, 0
3, Generating, NA, 2.8182, 0, 0, 2.1119, 1.2445, 0.52021, -0.058078, 0.041367, 0
3, Continuous, 2023.8333, 0.91821, 0, 0.67543, 1.46, 0, 0, -0.038516, 0.046604, 0
3, Threshold, 1919.5738, 2.7674, 0, 0, 2.1853, 1.3338, 0.47986, -0.052387, 0.018302, 0
4, Generating, NA, 5.6302, 0, 0, 4.2362, 1.5004, 0.49245, -0.060651, 0.096698, 0
4, Continuous, 4393.7544, 2.5024, 0, 2.7639, 2.2959, 0, 0, -0.08509, 0.61938, 0
4, Threshold, 3712.8556, 5.1414, 0, 0, 4.3473, 1.6109, 0.46799, -0.15146, 0.10085, 0
5, Generating, NA, 2.8944, 0, 0, 3.0014, 1.6626, 0.60594, -0.099161, 0.0052681, 0
5, Continuous, 2262.8395, 1.4329, 0, 1.1114, 1.92, 0, 0, 0.072484, 0.22874, 0
5, Threshold, 2049.5485, 2.966, 0, 0, 3.0756, 1.7438, 0.60236, -0.070557, 0.083687, 0
6, Generating, NA, 4.7219, 0, 0, 1.9119, 0.96466, 0.21596, 0.17446, 0.11014, 0
6, Continuous, 1977.4379, 0.53668, 0, 0.87863, 1.2614, 0, 0, 0.045988, 0.16111, 0
6, Threshold, 1905.5688, 4.3358, 0, 0, 2.2544, 1.1257, 0.24806, 0.012505, 0.27786, 0
7, Generating, NA, 3.6815, 0, 0, 2.2303, 1.2946, 0.65704, -0.13033, 0.035929, 0
7, Continuous, 1580.1865, 1.8424, 0, 0.87806, 1.3191, 0, 0, -0.11178, 0.33028, 0
7, Threshold, 1331.4752, 3.7775, 0, 0, 2.4502, 1.3503, 0.67428, -0.13364, 0.02622, 0
8, Generating, NA, 4.6855, 0, 0, 5.5049, 1.8038, 0.84668, -0.36789, 0.00031159, 0
8, Continuous, 1264.2877, 2.5096, 0, 0.72667, 2.4049, 0, 0, 0.059318, 0.012791, 0
8, Threshold, 593.8857, 4.633, 0, 0, 5.2012, 1.7778, 0.86663, -0.24602, 6.5702e-06, 0
9, Generating, NA, 4.5923, 0, 0, 5.5007, 1.012, 0.010635, -0.06864, 0.039996, 0
9, Continuous, 2308.0441, 0.00037979, 0, 1.0896, 1.3695, 0, 0, -0.124, 0.050091, 0
9, Threshold, 2305.9318, 4.5125, 0, 0, 5.1288, 1.1428, 0.0303, -0.10559, 0.068944, 0
10, Generating, NA, 1.9088, 0, 0, 4.6818, 2.4436, 0.93044, -0.4562, 0.00033539, 0
10, Continuous, 1952.0679, 1.4802, 0, 0.31546, 3.198, 0, 0, 0.0033773, 0.11691, 0
10, Threshold, 1829.7392, 1.8262, 0, 0, 4.1144, 2.3543, 0.90864, -0.19176, 6.2756e-05, 0
11, Generating, NA, 4.3074, 0, 0, 2.4316, 1.0295, 0.35553, -0.081732, 0.080686, 0
11, Continuous, 2120.5654, 0.77966, 0, 1.0273, 1.3362, 0, 0, -0.091475, 0.059295, 0
11, Threshold, 1947.8183, 4.1149, 0, 0, 2.6997, 1.1485, 0.31598, -0.091478, 0.010523, 0
12, Generating, NA, 4.9095, 0, 0, 4.1021, 1.3892, 0.68875, -0.045252, 0.064895, 0
12, Continuous, 1763.2176, 1.6672, 0, 0.69034, 1.7688, 0, 0, 0.065675, 0.076271, 0
12, Threshold, 1128.6845, 4.8983, 0, 0, 4.5025, 1.5797, 0.70953, -0.16527, 0.161, 0
13, Generating, NA, 3.0682, 0, 0, 5.1515, 0.87801, 0.014318, -0.084893, 0.038132, 0
13, Continuous, 1771.422, 0.087299, 0, 1.1252, 1.1452, 0, 0, -0.1166, 0.042423, 0
