participant, model_name, BIC, v1, v2, eta, a1, a2, pi, Ter, st, sa
1, Generating, NA, 0.14439, 0, 0.73144, 1.133, 0, 0, -0.077332, 0.033856, 0
1, Continuous, 969.4067, 0.30112, 0, 0.64889, 1.2855, 0, 0, -0.10256, 0.011819, 0
1, Threshold, 976.1642, 0.84168, 0, 0, 1.1102, 1.2051, 0.31716, -0.10757, 0.09319, 0
2, Generating, NA, 1.2088, 0, 0.35903, 1.9727, 0, 0, 0.06804, 0.17793, 0
2, Continuous, 2283.5528, 1.1014, 0, 0.0056075, 2.2323, 0, 0, -0.20702, 0.24572, 0
2, Threshold, 2288.94, 1.1128, 0, 0, 2.2632, 0.77386, 0.99317, -0.094201, 0.012313, 0
3, Generating, NA, 0.95889, 0, 0.45727, 1.2949, 0, 0, -0.025596, 0.077819, 0
3, Continuous, 2059.6276, 1.0728, 0, 0.67606, 1.5386, 0, 0, -0.073927, 0.011109, 0
3, Threshold, 2027.5898, 1.4068, 0, 0, 1.4791, 1.4368, 0.72628, -0.109, 0.096527, 0
4, Generating, NA, 1.4908, 0, 1.0142, 1.5816, 0, 0, 0.12633, 0.080572, 0
4, Continuous, 3939.2523, 1.6309, 0, 0.86877, 2.0399, 0, 0, -0.013075, 0.099414, 0
4, Threshold, 3930.7629, 1.618, 0, 0, 1.7806, 1.7638, 0.83808, 0.0080001, 0.096514, 0
5, Generating, NA, 1.057, 0, 0.39123, 1.5662, 0, 0, 0.10587, 0.00047512, 0
5, Continuous, 2247.8244, 1.0904, 0, 0.43128, 1.712, 0, 0, 0.073308, 0.071031, 0
5, Threshold, 2252.7096, 1.1517, 0, 0, 1.6549, 1.6438, 0.89438, 0.1062, 0.0075536, 0
6, Generating, NA, 1.105, 0, 2.9777, 1.4317, 0, 0, 0.16053, 0.24567, 0
6, Continuous, 2664.9045, 0.73474, 0, 0.48096, 1.6222, 0, 0, -0.097861, 0.024551, 0
6, Threshold, 2568.0097, 3.6141, 0, 0, 3.2873, 1.5546, 0.23486, -0.15545, 2.7708e-06, 0
7, Generating, NA, 2.4982, 0, 1.5253, 1.4146, 0, 0, -0.091002, 0.3302, 0
7, Continuous, 2581.3593, 1.5569, 0, 0.75534, 1.4376, 0, 0, -0.10972, 0.076229, 0
7, Threshold, 2506.2036, 1.3205, 0, 0, 1.5017, 0.66065, 0.92095, -0.10354, 0.0092662, 0
8, Generating, NA, 2.1574, 0, 0.059456, 1.9537, 0, 0, -0.11027, 0.34788, 0
8, Continuous, 2008.044, 1.7498, 0, 0.00048029, 1.6746, 0, 0, -0.048122, 0.032685, 0
8, Threshold, 1904.0036, 1.8706, 0, 0, 1.8468, 0.46979, 0.96148, -0.060969, 0.0017502, 0
9, Generating, NA, 0.1303, 0, 0.41886, 1.0504, 0, 0, -0.06822, 0.031673, 0
9, Continuous, 2267.8453, 0.27395, 0, 0.75244, 1.2427, 0, 0, -0.091982, 0.039728, 0
9, Threshold, 2273.7364, 1.4245, 0, 0, 1.1461, 1.1709, 0.18978, -0.073529, 0.017078, 0
10, Generating, NA, 1.3633, 0, 0.024898, 3.5451, 0, 0, -0.34938, 0.016837, 0
10, Continuous, 1932.8975, 1.4158, 0, 0.041585, 3.627, 0, 0, -0.34982, 0.015834, 0
10, Threshold, 1988.7744, 1.3604, 0, 0, 3.4581, 2.1091, 0.99781, -0.27448, 3.559e-06, 0
11, Generating, NA, 0.94974, 0, 0.84628, 1.1748, 0, 0, -0.089696, 0.12709, 0
11, Continuous, 2152.9022, 0.84266, 0, 0.18277, 1.308, 0, 0, -0.19849, 0.067892, 0
