"","value","quantile","participant","subjString"
"1",0.1168,0.1,1,"Subject 1"
"2",0.4003,0.5,1,"Subject 1"
"3",1.0091,0.9,1,"Subject 1"
"4",0.7005,0.1,2,"Subject 2"
"5",1.1175,0.5,2,"Subject 2"
"6",2.59866,0.9,2,"Subject 2"
"7",0.2835,0.1,3,"Subject 3"
"8",0.5671,0.5,3,"Subject 3"
"9",1.2343,0.9,3,"Subject 3"
"10",0.467,0.1,4,"Subject 4"
"11",0.7172,0.5,4,"Subject 4"
"12",1.68794,0.9,4,"Subject 4"
"13",0.4337,0.1,5,"Subject 5"
"14",0.884,0.5,5,"Subject 5"
"15",1.82468,0.9,5,"Subject 5"
"16",0.417,0.1,6,"Subject 6"
"17",0.5838,0.5,6,"Subject 6"
"18",0.9174,0.9,6,"Subject 6"
"19",0.2335,0.1,7,"Subject 7"
"20",0.4337,0.5,7,"Subject 7"
"21",0.91239,0.9,7,"Subject 7"
"22",0.49539,0.1,8,"Subject 8"
"23",0.7506,0.5,8,"Subject 8"
"24",1.3677,0.9,8,"Subject 8"
"25",0.1001,0.1,9,"Subject 9"
"26",0.3586,0.5,9,"Subject 9"
"27",0.90237,0.9,9,"Subject 9"
"28",0.8506,0.1,10,"Subject 10"
"29",1.6012,0.5,10,"Subject 10"
"30",3.85624,0.9,10,"Subject 10"
"31",0.1835,0.1,11,"Subject 11"
"32",0.4337,0.5,11,"Subject 11"
"33",0.76729,0.9,11,"Subject 11"
"34",0.5004,0.1,12,"Subject 12"
"35",0.7506,0.5,12,"Subject 12"
"36",1.2176,0.9,12,"Subject 12"
"37",0.0667,0.1,13,"Subject 13"
"38",0.2168,0.5,13,"Subject 13"
"39",0.72221,0.9,13,"Subject 13"
"43",0.1668,0.1,15,"Subject 15"
"44",0.4003,0.5,15,"Subject 15"
"45",0.7839,0.9,15,"Subject 15"
"46",0.4503,0.1,16,"Subject 16"
"47",0.8506,0.5,16,"Subject 16"
"48",1.92478,0.9,16,"Subject 16"
"49",0.4337,0.1,17,"Subject 17"
"50",0.8006,0.5,17,"Subject 17"
"51",1.72802,0.9,17,"Subject 17"
"52",0.6338,0.1,18,"Subject 18"
"53",0.9841,0.5,18,"Subject 18"
"54",1.83804,0.9,18,"Subject 18"
"55",0.1001,0.1,19,"Subject 19"
"56",0.3503,0.5,19,"Subject 19"
"57",0.7172,0.9,19,"Subject 19"
"58",0.0334,0.1,20,"Subject 20"
"59",0.2335,0.5,20,"Subject 20"
"60",0.70885,0.9,20,"Subject 20"
