model_name, participant, is_model, quantile_idx, rt, theta
Thresh, 1, true, 0.1, 0.11122, -3.1416
Thresh, 1, true, 0.1, 0.11122, -3.0159
Thresh, 1, true, 0.1, 0.11122, -2.8903
Thresh, 1, true, 0.1, 0.11122, -2.7646
Thresh, 1, true, 0.1, 0.11122, -2.6389
Thresh, 1, true, 0.1, 0.11122, -2.5133
Thresh, 1, true, 0.1, 0.11122, -2.3876
Thresh, 1, true, 0.1, 0.11122, -2.2619
Thresh, 1, true, 0.1, 0.11122, -2.1363
Thresh, 1, true, 0.1, 0.11122, -2.0106
Thresh, 1, true, 0.1, 0.11122, -1.885
Thresh, 1, true, 0.1, 0.11122, -1.7593
Thresh, 1, true, 0.1, 0.11122, -1.6336
Thresh, 1, true, 0.1, 0.11122, -1.508
Thresh, 1, true, 0.1, 0.11122, -1.3823
Thresh, 1, true, 0.1, 0.11122, -1.2566
Thresh, 1, true, 0.1, 0.11122, -1.131
Thresh, 1, true, 0.1, 0.11124, -1.0053
Thresh, 1, true, 0.1, 0.1113, -0.87965
Thresh, 1, true, 0.1, 0.11153, -0.75398
Thresh, 1, true, 0.1, 0.11224, -0.62832
Thresh, 1, true, 0.1, 0.11399, -0.50265
Thresh, 1, true, 0.1, 0.11734, -0.37699
Thresh, 1, true, 0.1, 0.12196, -0.25133
Thresh, 1, true, 0.1, 0.12625, -0.12566
Thresh, 1, true, 0.1, 0.12805, 1.1102e-15
Thresh, 1, true, 0.1, 0.12625, 0.12566
Thresh, 1, true, 0.1, 0.12196, 0.25133
Thresh, 1, true, 0.1, 0.11734, 0.37699
Thresh, 1, true, 0.1, 0.11399, 0.50265
Thresh, 1, true, 0.1, 0.11224, 0.62832
Thresh, 1, true, 0.1, 0.11153, 0.75398
Thresh, 1, true, 0.1, 0.1113, 0.87965
Thresh, 1, true, 0.1, 0.11124, 1.0053
Thresh, 1, true, 0.1, 0.11122, 1.131
Thresh, 1, true, 0.1, 0.11122, 1.2566
Thresh, 1, true, 0.1, 0.11122, 1.3823
Thresh, 1, true, 0.1, 0.11122, 1.508
Thresh, 1, true, 0.1, 0.11122, 1.6336
Thresh, 1, true, 0.1, 0.11122, 1.7593
Thresh, 1, true, 0.1, 0.11122, 1.885
Thresh, 1, true, 0.1, 0.11122, 2.0106
Thresh, 1, true, 0.1, 0.11122, 2.1363
Thresh, 1, true, 0.1, 0.11122, 2.2619
Thresh, 1, true, 0.1, 0.11122, 2.3876
Thresh, 1, true, 0.1, 0.11122, 2.5133
Thresh, 1, true, 0.1, 0.11122, 2.6389
Thresh, 1, true, 0.1, 0.11122, 2.7646
Thresh, 1, true, 0.1, 0.11122, 2.8903
Thresh, 1, true, 0.1, 0.11122, 3.0159
Thresh, 1, true, 0.5, 0.35679, -3.1416
Thresh, 1, true, 0.5, 0.35679, -3.0159
Thresh, 1, true, 0.5, 0.35679, -2.8903
Thresh, 1, true, 0.5, 0.35679, -2.7646
Thresh, 1, true, 0.5, 0.35679, -2.6389
Thresh, 1, true, 0.5, 0.35679, -2.5133
Thresh, 1, true, 0.5, 0.35679, -2.3876
Thresh, 1, true, 0.5, 0.35679, -2.2619
Thresh, 1, true, 0.5, 0.35679, -2.1363
Thresh, 1, true, 0.5, 0.35679, -2.0106
Thresh, 1, true, 0.5, 0.35679, -1.885
Thresh, 1, true, 0.5, 0.35679, -1.7593
Thresh, 1, true, 0.5, 0.35679, -1.6336
Thresh, 1, true, 0.5, 0.35679, -1.508
Thresh, 1, true, 0.5, 0.35679, -1.3823
Thresh, 1, true, 0.5, 0.35679, -1.2566
Thresh, 1, true, 0.5, 0.35681, -1.131
Thresh, 1, true, 0.5, 0.3569, -1.0053
Thresh, 1, true, 0.5, 0.35728, -0.87965
Thresh, 1, true, 0.5, 0.35871, -0.75398
Thresh, 1, true, 0.5, 0.36309, -0.62832
Thresh, 1, true, 0.5, 0.37388, -0.50265
Thresh, 1, true, 0.5, 0.39561, -0.37699
Thresh, 1, true, 0.5, 0.42854, -0.25133
Thresh, 1, true, 0.5, 0.46277, -0.12566
Thresh, 1, true, 0.5, 0.4781, 1.1102e-15
Thresh, 1, true, 0.5, 0.46277, 0.12566
Thresh, 1, true, 0.5, 0.42854, 0.25133
Thresh, 1, true, 0.5, 0.39561, 0.37699
Thresh, 1, true, 0.5, 0.37388, 0.50265
Thresh, 1, true, 0.5, 0.36309, 0.62832
Thresh, 1, true, 0.5, 0.35871, 0.75398
Thresh, 1, true, 0.5, 0.35728, 0.87965
Thresh, 1, true, 0.5, 0.3569, 1.0053
Thresh, 1, true, 0.5, 0.35681, 1.131
Thresh, 1, true, 0.5, 0.35679, 1.2566
Thresh, 1, true, 0.5, 0.35679, 1.3823
Thresh, 1, true, 0.5, 0.35679, 1.508
Thresh, 1, true, 0.5, 0.35679, 1.6336
Thresh, 1, true, 0.5, 0.35679, 1.7593
Thresh, 1, true, 0.5, 0.35679, 1.885
Thresh, 1, true, 0.5, 0.35679, 2.0106
Thresh, 1, true, 0.5, 0.35679, 2.1363
Thresh, 1, true, 0.5, 0.35679, 2.2619
Thresh, 1, true, 0.5, 0.35679, 2.3876
Thresh, 1, true, 0.5, 0.35679, 2.5133
Thresh, 1, true, 0.5, 0.35679, 2.6389
Thresh, 1, true, 0.5, 0.35679, 2.7646
Thresh, 1, true, 0.5, 0.35679, 2.8903
Thresh, 1, true, 0.5, 0.35679, 3.0159
Thresh, 1, true, 0.9, 0.95494, -3.1416
Thresh, 1, true, 0.9, 0.95494, -3.0159
Thresh, 1, true, 0.9, 0.95494, -2.8903
Thresh, 1, true, 0.9, 0.95494, -2.7646
Thresh, 1, true, 0.9, 0.95494, -2.6389
Thresh, 1, true, 0.9, 0.95494, -2.5133
Thresh, 1, true, 0.9, 0.95494, -2.3876
Thresh, 1, true, 0.9, 0.95494, -2.2619
Thresh, 1, true, 0.9, 0.95494, -2.1363
Thresh, 1, true, 0.9, 0.95494, -2.0106
