model_name, participant, is_model, quantile_idx, rt, theta
Hybrid, 1, true, 0.1, 0.11328, -3.1416
Hybrid, 1, true, 0.1, 0.11328, -3.0159
Hybrid, 1, true, 0.1, 0.11328, -2.8903
Hybrid, 1, true, 0.1, 0.11328, -2.7646
Hybrid, 1, true, 0.1, 0.11328, -2.6389
Hybrid, 1, true, 0.1, 0.11328, -2.5133
Hybrid, 1, true, 0.1, 0.11328, -2.3876
Hybrid, 1, true, 0.1, 0.11328, -2.2619
Hybrid, 1, true, 0.1, 0.11328, -2.1363
Hybrid, 1, true, 0.1, 0.11328, -2.0106
Hybrid, 1, true, 0.1, 0.11328, -1.885
Hybrid, 1, true, 0.1, 0.11328, -1.7593
Hybrid, 1, true, 0.1, 0.11328, -1.6336
Hybrid, 1, true, 0.1, 0.11328, -1.508
Hybrid, 1, true, 0.1, 0.11328, -1.3823
Hybrid, 1, true, 0.1, 0.11328, -1.2566
Hybrid, 1, true, 0.1, 0.11328, -1.131
Hybrid, 1, true, 0.1, 0.11328, -1.0053
Hybrid, 1, true, 0.1, 0.11329, -0.87965
Hybrid, 1, true, 0.1, 0.11334, -0.75398
Hybrid, 1, true, 0.1, 0.11361, -0.62832
Hybrid, 1, true, 0.1, 0.11472, -0.50265
Hybrid, 1, true, 0.1, 0.11773, -0.37699
Hybrid, 1, true, 0.1, 0.12341, -0.25133
Hybrid, 1, true, 0.1, 0.13006, -0.12566
Hybrid, 1, true, 0.1, 0.13313, 1.1102e-15
Hybrid, 1, true, 0.1, 0.13006, 0.12566
Hybrid, 1, true, 0.1, 0.12341, 0.25133
Hybrid, 1, true, 0.1, 0.11773, 0.37699
Hybrid, 1, true, 0.1, 0.11472, 0.50265
Hybrid, 1, true, 0.1, 0.11361, 0.62832
Hybrid, 1, true, 0.1, 0.11334, 0.75398
Hybrid, 1, true, 0.1, 0.11329, 0.87965
Hybrid, 1, true, 0.1, 0.11328, 1.0053
Hybrid, 1, true, 0.1, 0.11328, 1.131
Hybrid, 1, true, 0.1, 0.11328, 1.2566
Hybrid, 1, true, 0.1, 0.11328, 1.3823
Hybrid, 1, true, 0.1, 0.11328, 1.508
Hybrid, 1, true, 0.1, 0.11328, 1.6336
Hybrid, 1, true, 0.1, 0.11328, 1.7593
Hybrid, 1, true, 0.1, 0.11328, 1.885
Hybrid, 1, true, 0.1, 0.11328, 2.0106
Hybrid, 1, true, 0.1, 0.11328, 2.1363
Hybrid, 1, true, 0.1, 0.11328, 2.2619
Hybrid, 1, true, 0.1, 0.11328, 2.3876
Hybrid, 1, true, 0.1, 0.11328, 2.5133
Hybrid, 1, true, 0.1, 0.11328, 2.6389
Hybrid, 1, true, 0.1, 0.11328, 2.7646
Hybrid, 1, true, 0.1, 0.11328, 2.8903
Hybrid, 1, true, 0.1, 0.11328, 3.0159
Hybrid, 1, true, 0.5, 0.35584, -3.1416
Hybrid, 1, true, 0.5, 0.35584, -3.0159
Hybrid, 1, true, 0.5, 0.35584, -2.8903
Hybrid, 1, true, 0.5, 0.35584, -2.7646
Hybrid, 1, true, 0.5, 0.35584, -2.6389
Hybrid, 1, true, 0.5, 0.35584, -2.5133
Hybrid, 1, true, 0.5, 0.35584, -2.3876
Hybrid, 1, true, 0.5, 0.35584, -2.2619
Hybrid, 1, true, 0.5, 0.35584, -2.1363
Hybrid, 1, true, 0.5, 0.35584, -2.0106
Hybrid, 1, true, 0.5, 0.35584, -1.885
Hybrid, 1, true, 0.5, 0.35584, -1.7593
Hybrid, 1, true, 0.5, 0.35584, -1.6336
Hybrid, 1, true, 0.5, 0.35584, -1.508
Hybrid, 1, true, 0.5, 0.35584, -1.3823
Hybrid, 1, true, 0.5, 0.35584, -1.2566
Hybrid, 1, true, 0.5, 0.35584, -1.131
Hybrid, 1, true, 0.5, 0.35585, -1.0053
Hybrid, 1, true, 0.5, 0.35589, -0.87965
Hybrid, 1, true, 0.5, 0.35619, -0.75398
Hybrid, 1, true, 0.5, 0.35783, -0.62832
Hybrid, 1, true, 0.5, 0.36442, -0.50265
Hybrid, 1, true, 0.5, 0.38377, -0.37699
Hybrid, 1, true, 0.5, 0.42398, -0.25133
Hybrid, 1, true, 0.5, 0.47711, -0.12566
Hybrid, 1, true, 0.5, 0.50463, 1.1102e-15
Hybrid, 1, true, 0.5, 0.47711, 0.12566
Hybrid, 1, true, 0.5, 0.42398, 0.25133
Hybrid, 1, true, 0.5, 0.38377, 0.37699
Hybrid, 1, true, 0.5, 0.36442, 0.50265
Hybrid, 1, true, 0.5, 0.35783, 0.62832
Hybrid, 1, true, 0.5, 0.35619, 0.75398
Hybrid, 1, true, 0.5, 0.35589, 0.87965
Hybrid, 1, true, 0.5, 0.35585, 1.0053
Hybrid, 1, true, 0.5, 0.35584, 1.131
Hybrid, 1, true, 0.5, 0.35584, 1.2566
Hybrid, 1, true, 0.5, 0.35584, 1.3823
Hybrid, 1, true, 0.5, 0.35584, 1.508
Hybrid, 1, true, 0.5, 0.35584, 1.6336
Hybrid, 1, true, 0.5, 0.35584, 1.7593
Hybrid, 1, true, 0.5, 0.35584, 1.885
Hybrid, 1, true, 0.5, 0.35584, 2.0106
Hybrid, 1, true, 0.5, 0.35584, 2.1363
Hybrid, 1, true, 0.5, 0.35584, 2.2619
Hybrid, 1, true, 0.5, 0.35584, 2.3876
Hybrid, 1, true, 0.5, 0.35584, 2.5133
Hybrid, 1, true, 0.5, 0.35584, 2.6389
Hybrid, 1, true, 0.5, 0.35584, 2.7646
Hybrid, 1, true, 0.5, 0.35584, 2.8903
Hybrid, 1, true, 0.5, 0.35584, 3.0159
Hybrid, 1, true, 0.9, 0.94624, -3.1416
Hybrid, 1, true, 0.9, 0.94624, -3.0159
Hybrid, 1, true, 0.9, 0.94624, -2.8903
Hybrid, 1, true, 0.9, 0.94624, -2.7646
Hybrid, 1, true, 0.9, 0.94624, -2.6389
Hybrid, 1, true, 0.9, 0.94624, -2.5133
Hybrid, 1, true, 0.9, 0.94624, -2.3876
Hybrid, 1, true, 0.9, 0.94624, -2.2619
Hybrid, 1, true, 0.9, 0.94624, -2.1363
Hybrid, 1, true, 0.9, 0.94624, -2.0106
Hybrid, 1, true, 0.9, 0.94624, -1.885
Hybrid, 1, true, 0.9, 0.94624, -1.7593
Hybrid, 1, true, 0.9, 0.94624, -1.6336
Hybrid, 1, true, 0.9, 0.94624, -1.508
Hybrid, 1, true, 0.9, 0.94624, -1.3823
Hybrid, 1, true, 0.9, 0.94624, -1.2566
Hybrid, 1, true, 0.9, 0.94624, -1.131
Hybrid, 1, true, 0.9, 0.94628, -1.0053
Hybrid, 1, true, 0.9, 0.94661, -0.87965
Hybrid, 1, true, 0.9, 0.9489, -0.75398
Hybrid, 1, true, 0.9, 0.96107, -0.62832
Hybrid, 1, true, 0.9, 1.0093, -0.50265
Hybrid, 1, true, 0.9, 1.1259, -0.37699
Hybrid, 1, true, 0.9, 1.2588, -0.25133
Hybrid, 1, true, 0.9, 1.3402, -0.12566
Hybrid, 1, true, 0.9, 1.3657, 1.1102e-15
Hybrid, 1, true, 0.9, 1.3402, 0.12566
Hybrid, 1, true, 0.9, 1.2588, 0.25133
Hybrid, 1, true, 0.9, 1.1259, 0.37699
Hybrid, 1, true, 0.9, 1.0093, 0.50265
Hybrid, 1, true, 0.9, 0.96107, 0.62832
Hybrid, 1, true, 0.9, 0.9489, 0.75398
Hybrid, 1, true, 0.9, 0.94661, 0.87965
Hybrid, 1, true, 0.9, 0.94628, 1.0053
Hybrid, 1, true, 0.9, 0.94624, 1.131
Hybrid, 1, true, 0.9, 0.94624, 1.2566
Hybrid, 1, true, 0.9, 0.94624, 1.3823
Hybrid, 1, true, 0.9, 0.94624, 1.508
Hybrid, 1, true, 0.9, 0.94624, 1.6336
Hybrid, 1, true, 0.9, 0.94624, 1.7593
Hybrid, 1, true, 0.9, 0.94624, 1.885
Hybrid, 1, true, 0.9, 0.94624, 2.0106
Hybrid, 1, true, 0.9, 0.94624, 2.1363
Hybrid, 1, true, 0.9, 0.94624, 2.2619
Hybrid, 1, true, 0.9, 0.94624, 2.3876
Hybrid, 1, true, 0.9, 0.94624, 2.5133
Hybrid, 1, true, 0.9, 0.94624, 2.6389
Hybrid, 1, true, 0.9, 0.94624, 2.7646
Hybrid, 1, true, 0.9, 0.94624, 2.8903
Hybrid, 1, true, 0.9, 0.94624, 3.0159
Hybrid, 2, true, 0.1, 0.48684, -3.1416
Hybrid, 2, true, 0.1, 0.48684, -3.0159
Hybrid, 2, true, 0.1, 0.48684, -2.8903
Hybrid, 2, true, 0.1, 0.48684, -2.7646
Hybrid, 2, true, 0.1, 0.48684, -2.6389
Hybrid, 2, true, 0.1, 0.48684, -2.5133
Hybrid, 2, true, 0.1, 0.48684, -2.3876
Hybrid, 2, true, 0.1, 0.48684, -2.2619
Hybrid, 2, true, 0.1, 0.48685, -2.1363
Hybrid, 2, true, 0.1, 0.48685, -2.0106
Hybrid, 2, true, 0.1, 0.48686, -1.885
Hybrid, 2, true, 0.1, 0.48688, -1.7593
Hybrid, 2, true, 0.1, 0.48695, -1.6336
Hybrid, 2, true, 0.1, 0.48716, -1.508
Hybrid, 2, true, 0.1, 0.48782, -1.3823
Hybrid, 2, true, 0.1, 0.48993, -1.2566
Hybrid, 2, true, 0.1, 0.49642, -1.131
Hybrid, 2, true, 0.1, 0.51502, -1.0053
Hybrid, 2, true, 0.1, 0.56164, -0.87965
Hybrid, 2, true, 0.1, 0.64229, -0.75398
Hybrid, 2, true, 0.1, 0.7053, -0.62832
Hybrid, 2, true, 0.1, 0.72819, -0.50265
Hybrid, 2, true, 0.1, 0.73172, -0.37699
Hybrid, 2, true, 0.1, 0.72936, -0.25133
Hybrid, 2, true, 0.1, 0.72662, -0.12566
Hybrid, 2, true, 0.1, 0.72556, 1.1102e-15
Hybrid, 2, true, 0.1, 0.72662, 0.12566
Hybrid, 2, true, 0.1, 0.72936, 0.25133
Hybrid, 2, true, 0.1, 0.73172, 0.37699
Hybrid, 2, true, 0.1, 0.72819, 0.50265
Hybrid, 2, true, 0.1, 0.7053, 0.62832
Hybrid, 2, true, 0.1, 0.64229, 0.75398
Hybrid, 2, true, 0.1, 0.56164, 0.87965
Hybrid, 2, true, 0.1, 0.51502, 1.0053
Hybrid, 2, true, 0.1, 0.49642, 1.131
Hybrid, 2, true, 0.1, 0.48993, 1.2566
Hybrid, 2, true, 0.1, 0.48782, 1.3823
Hybrid, 2, true, 0.1, 0.48716, 1.508
Hybrid, 2, true, 0.1, 0.48695, 1.6336
Hybrid, 2, true, 0.1, 0.48688, 1.7593
Hybrid, 2, true, 0.1, 0.48686, 1.885
Hybrid, 2, true, 0.1, 0.48685, 2.0106
Hybrid, 2, true, 0.1, 0.48685, 2.1363
Hybrid, 2, true, 0.1, 0.48684, 2.2619
Hybrid, 2, true, 0.1, 0.48684, 2.3876
Hybrid, 2, true, 0.1, 0.48684, 2.5133
Hybrid, 2, true, 0.1, 0.48684, 2.6389
Hybrid, 2, true, 0.1, 0.48684, 2.7646
Hybrid, 2, true, 0.1, 0.48684, 2.8903
Hybrid, 2, true, 0.1, 0.48684, 3.0159
Hybrid, 2, true, 0.5, 1.3, -3.1416
Hybrid, 2, true, 0.5, 1.3, -3.0159
Hybrid, 2, true, 0.5, 1.3, -2.8903
Hybrid, 2, true, 0.5, 1.3, -2.7646
Hybrid, 2, true, 0.5, 1.3, -2.6389
Hybrid, 2, true, 0.5, 1.3, -2.5133
Hybrid, 2, true, 0.5, 1.3, -2.3876
Hybrid, 2, true, 0.5, 1.3, -2.2619
Hybrid, 2, true, 0.5, 1.3001, -2.1363
