model_name, participant, is_model, quantile_idx, rt, theta
Threshold, 1, true, 0.1, 0.11119, -3.1416
Threshold, 1, true, 0.1, 0.11119, -3.0159
Threshold, 1, true, 0.1, 0.11119, -2.8903
Threshold, 1, true, 0.1, 0.11119, -2.7646
Threshold, 1, true, 0.1, 0.11119, -2.6389
Threshold, 1, true, 0.1, 0.11119, -2.5133
Threshold, 1, true, 0.1, 0.11119, -2.3876
Threshold, 1, true, 0.1, 0.11119, -2.2619
Threshold, 1, true, 0.1, 0.11119, -2.1363
Threshold, 1, true, 0.1, 0.11119, -2.0106
Threshold, 1, true, 0.1, 0.11119, -1.885
Threshold, 1, true, 0.1, 0.11119, -1.7593
Threshold, 1, true, 0.1, 0.11119, -1.6336
Threshold, 1, true, 0.1, 0.11119, -1.508
Threshold, 1, true, 0.1, 0.11119, -1.3823
Threshold, 1, true, 0.1, 0.11119, -1.2566
Threshold, 1, true, 0.1, 0.11119, -1.131
Threshold, 1, true, 0.1, 0.11119, -1.0053
Threshold, 1, true, 0.1, 0.1112, -0.87965
Threshold, 1, true, 0.1, 0.11124, -0.75398
Threshold, 1, true, 0.1, 0.11148, -0.62832
Threshold, 1, true, 0.1, 0.11249, -0.50265
Threshold, 1, true, 0.1, 0.11549, -0.37699
Threshold, 1, true, 0.1, 0.12131, -0.25133
Threshold, 1, true, 0.1, 0.12798, -0.12566
Threshold, 1, true, 0.1, 0.13113, 1.1102e-15
Threshold, 1, true, 0.1, 0.12798, 0.12566
Threshold, 1, true, 0.1, 0.12131, 0.25133
Threshold, 1, true, 0.1, 0.11549, 0.37699
Threshold, 1, true, 0.1, 0.11249, 0.50265
Threshold, 1, true, 0.1, 0.11148, 0.62832
Threshold, 1, true, 0.1, 0.11124, 0.75398
Threshold, 1, true, 0.1, 0.1112, 0.87965
Threshold, 1, true, 0.1, 0.11119, 1.0053
Threshold, 1, true, 0.1, 0.11119, 1.131
Threshold, 1, true, 0.1, 0.11119, 1.2566
Threshold, 1, true, 0.1, 0.11119, 1.3823
Threshold, 1, true, 0.1, 0.11119, 1.508
Threshold, 1, true, 0.1, 0.11119, 1.6336
Threshold, 1, true, 0.1, 0.11119, 1.7593
Threshold, 1, true, 0.1, 0.11119, 1.885
Threshold, 1, true, 0.1, 0.11119, 2.0106
Threshold, 1, true, 0.1, 0.11119, 2.1363
Threshold, 1, true, 0.1, 0.11119, 2.2619
Threshold, 1, true, 0.1, 0.11119, 2.3876
Threshold, 1, true, 0.1, 0.11119, 2.5133
Threshold, 1, true, 0.1, 0.11119, 2.6389
Threshold, 1, true, 0.1, 0.11119, 2.7646
Threshold, 1, true, 0.1, 0.11119, 2.8903
Threshold, 1, true, 0.1, 0.11119, 3.0159
Threshold, 1, true, 0.5, 0.35689, -3.1416
Threshold, 1, true, 0.5, 0.35689, -3.0159
Threshold, 1, true, 0.5, 0.35689, -2.8903
Threshold, 1, true, 0.5, 0.35689, -2.7646
Threshold, 1, true, 0.5, 0.35689, -2.6389
Threshold, 1, true, 0.5, 0.35689, -2.5133
Threshold, 1, true, 0.5, 0.35689, -2.3876
Threshold, 1, true, 0.5, 0.35689, -2.2619
Threshold, 1, true, 0.5, 0.35689, -2.1363
Threshold, 1, true, 0.5, 0.35689, -2.0106
Threshold, 1, true, 0.5, 0.35689, -1.885
Threshold, 1, true, 0.5, 0.35689, -1.7593
Threshold, 1, true, 0.5, 0.35689, -1.6336
Threshold, 1, true, 0.5, 0.35689, -1.508
Threshold, 1, true, 0.5, 0.35689, -1.3823
Threshold, 1, true, 0.5, 0.35689, -1.2566
Threshold, 1, true, 0.5, 0.35689, -1.131
Threshold, 1, true, 0.5, 0.3569, -1.0053
Threshold, 1, true, 0.5, 0.35693, -0.87965
Threshold, 1, true, 0.5, 0.35719, -0.75398
Threshold, 1, true, 0.5, 0.35868, -0.62832
Threshold, 1, true, 0.5, 0.36493, -0.50265
Threshold, 1, true, 0.5, 0.3838, -0.37699
Threshold, 1, true, 0.5, 0.42389, -0.25133
Threshold, 1, true, 0.5, 0.47794, -0.12566
Threshold, 1, true, 0.5, 0.50629, 1.1102e-15
Threshold, 1, true, 0.5, 0.47794, 0.12566
Threshold, 1, true, 0.5, 0.42389, 0.25133
Threshold, 1, true, 0.5, 0.3838, 0.37699
Threshold, 1, true, 0.5, 0.36493, 0.50265
Threshold, 1, true, 0.5, 0.35868, 0.62832
Threshold, 1, true, 0.5, 0.35719, 0.75398
Threshold, 1, true, 0.5, 0.35693, 0.87965
Threshold, 1, true, 0.5, 0.3569, 1.0053
Threshold, 1, true, 0.5, 0.35689, 1.131
Threshold, 1, true, 0.5, 0.35689, 1.2566
Threshold, 1, true, 0.5, 0.35689, 1.3823
Threshold, 1, true, 0.5, 0.35689, 1.508
Threshold, 1, true, 0.5, 0.35689, 1.6336
Threshold, 1, true, 0.5, 0.35689, 1.7593
Threshold, 1, true, 0.5, 0.35689, 1.885
Threshold, 1, true, 0.5, 0.35689, 2.0106
Threshold, 1, true, 0.5, 0.35689, 2.1363
Threshold, 1, true, 0.5, 0.35689, 2.2619
Threshold, 1, true, 0.5, 0.35689, 2.3876
Threshold, 1, true, 0.5, 0.35689, 2.5133
Threshold, 1, true, 0.5, 0.35689, 2.6389
Threshold, 1, true, 0.5, 0.35689, 2.7646
Threshold, 1, true, 0.5, 0.35689, 2.8903
Threshold, 1, true, 0.5, 0.35689, 3.0159
Threshold, 1, true, 0.9, 0.95536, -3.1416
Threshold, 1, true, 0.9, 0.95536, -3.0159
Threshold, 1, true, 0.9, 0.95536, -2.8903
Threshold, 1, true, 0.9, 0.95536, -2.7646
Threshold, 1, true, 0.9, 0.95536, -2.6389
Threshold, 1, true, 0.9, 0.95536, -2.5133
Threshold, 1, true, 0.9, 0.95536, -2.3876
Threshold, 1, true, 0.9, 0.95536, -2.2619
Threshold, 1, true, 0.9, 0.95536, -2.1363
Threshold, 1, true, 0.9, 0.95536, -2.0106
Threshold, 1, true, 0.9, 0.95536, -1.885
Threshold, 1, true, 0.9, 0.95536, -1.7593
Threshold, 1, true, 0.9, 0.95536, -1.6336
Threshold, 1, true, 0.9, 0.95536, -1.508
Threshold, 1, true, 0.9, 0.95536, -1.3823
Threshold, 1, true, 0.9, 0.95536, -1.2566
Threshold, 1, true, 0.9, 0.95536, -1.131
Threshold, 1, true, 0.9, 0.95539, -1.0053
Threshold, 1, true, 0.9, 0.95565, -0.87965
Threshold, 1, true, 0.9, 0.95757, -0.75398
Threshold, 1, true, 0.9, 0.96842, -0.62832
Threshold, 1, true, 0.9, 1.0134, -0.50265
Threshold, 1, true, 0.9, 1.1268, -0.37699
Threshold, 1, true, 0.9, 1.2599, -0.25133
Threshold, 1, true, 0.9, 1.3422, -0.12566
Threshold, 1, true, 0.9, 1.3681, 1.1102e-15
Threshold, 1, true, 0.9, 1.3422, 0.12566
Threshold, 1, true, 0.9, 1.2599, 0.25133
Threshold, 1, true, 0.9, 1.1268, 0.37699
Threshold, 1, true, 0.9, 1.0134, 0.50265
Threshold, 1, true, 0.9, 0.96842, 0.62832
Threshold, 1, true, 0.9, 0.95757, 0.75398
Threshold, 1, true, 0.9, 0.95565, 0.87965
Threshold, 1, true, 0.9, 0.95539, 1.0053
Threshold, 1, true, 0.9, 0.95536, 1.131
Threshold, 1, true, 0.9, 0.95536, 1.2566
Threshold, 1, true, 0.9, 0.95536, 1.3823
Threshold, 1, true, 0.9, 0.95536, 1.508
Threshold, 1, true, 0.9, 0.95536, 1.6336
Threshold, 1, true, 0.9, 0.95536, 1.7593
Threshold, 1, true, 0.9, 0.95536, 1.885
Threshold, 1, true, 0.9, 0.95536, 2.0106
Threshold, 1, true, 0.9, 0.95536, 2.1363
Threshold, 1, true, 0.9, 0.95536, 2.2619
Threshold, 1, true, 0.9, 0.95536, 2.3876
Threshold, 1, true, 0.9, 0.95536, 2.5133
Threshold, 1, true, 0.9, 0.95536, 2.6389
Threshold, 1, true, 0.9, 0.95536, 2.7646
Threshold, 1, true, 0.9, 0.95536, 2.8903
Threshold, 1, true, 0.9, 0.95536, 3.0159
Threshold, 2, true, 0.1, 0.4783, -3.1416
Threshold, 2, true, 0.1, 0.4783, -3.0159
Threshold, 2, true, 0.1, 0.4783, -2.8903
Threshold, 2, true, 0.1, 0.4783, -2.7646
Threshold, 2, true, 0.1, 0.4783, -2.6389
Threshold, 2, true, 0.1, 0.4783, -2.5133
Threshold, 2, true, 0.1, 0.4783, -2.3876
Threshold, 2, true, 0.1, 0.4783, -2.2619
Threshold, 2, true, 0.1, 0.4783, -2.1363
Threshold, 2, true, 0.1, 0.4783, -2.0106
Threshold, 2, true, 0.1, 0.4783, -1.885
Threshold, 2, true, 0.1, 0.4783, -1.7593
Threshold, 2, true, 0.1, 0.4783, -1.6336
Threshold, 2, true, 0.1, 0.47831, -1.508
Threshold, 2, true, 0.1, 0.47836, -1.3823
Threshold, 2, true, 0.1, 0.4786, -1.2566
Threshold, 2, true, 0.1, 0.47979, -1.131
Threshold, 2, true, 0.1, 0.48502, -1.0053
Threshold, 2, true, 0.1, 0.50451, -0.87965
Threshold, 2, true, 0.1, 0.55753, -0.75398
Threshold, 2, true, 0.1, 0.63255, -0.62832
Threshold, 2, true, 0.1, 0.68042, -0.50265
Threshold, 2, true, 0.1, 0.70115, -0.37699
Threshold, 2, true, 0.1, 0.70974, -0.25133
Threshold, 2, true, 0.1, 0.71329, -0.12566
Threshold, 2, true, 0.1, 0.71425, 1.1102e-15
Threshold, 2, true, 0.1, 0.71329, 0.12566
Threshold, 2, true, 0.1, 0.70974, 0.25133
Threshold, 2, true, 0.1, 0.70115, 0.37699
Threshold, 2, true, 0.1, 0.68042, 0.50265
Threshold, 2, true, 0.1, 0.63255, 0.62832
Threshold, 2, true, 0.1, 0.55753, 0.75398
Threshold, 2, true, 0.1, 0.50451, 0.87965
Threshold, 2, true, 0.1, 0.48502, 1.0053
Threshold, 2, true, 0.1, 0.47979, 1.131
Threshold, 2, true, 0.1, 0.4786, 1.2566
Threshold, 2, true, 0.1, 0.47836, 1.3823
Threshold, 2, true, 0.1, 0.47831, 1.508
Threshold, 2, true, 0.1, 0.4783, 1.6336
Threshold, 2, true, 0.1, 0.4783, 1.7593
Threshold, 2, true, 0.1, 0.4783, 1.885
Threshold, 2, true, 0.1, 0.4783, 2.0106
Threshold, 2, true, 0.1, 0.4783, 2.1363
Threshold, 2, true, 0.1, 0.4783, 2.2619
Threshold, 2, true, 0.1, 0.4783, 2.3876
Threshold, 2, true, 0.1, 0.4783, 2.5133
Threshold, 2, true, 0.1, 0.4783, 2.6389
Threshold, 2, true, 0.1, 0.4783, 2.7646
Threshold, 2, true, 0.1, 0.4783, 2.8903
Threshold, 2, true, 0.1, 0.4783, 3.0159
Threshold, 2, true, 0.5, 1.3864, -3.1416
Threshold, 2, true, 0.5, 1.3864, -3.0159
Threshold, 2, true, 0.5, 1.3864, -2.8903
Threshold, 2, true, 0.5, 1.3864, -2.7646
Threshold, 2, true, 0.5, 1.3864, -2.6389
Threshold, 2, true, 0.5, 1.3864, -2.5133
Threshold, 2, true, 0.5, 1.3864, -2.3876
Threshold, 2, true, 0.5, 1.3864, -2.2619
Threshold, 2, true, 0.5, 1.3864, -2.1363
Threshold, 2, true, 0.5, 1.3864, -2.0106
Threshold, 2, true, 0.5, 1.3864, -1.885
Threshold, 2, true, 0.5, 1.3864, -1.7593
