model_name, participant, is_model, is_high, is_theta, value, prob
PVM, 1, false, false, true, -3.1404, 2.7815e-11
PVM, 1, false, false, true, -3.077, 0
PVM, 1, false, false, true, -3.0135, 0.23485
PVM, 1, false, false, true, -2.9501, 0.15474
PVM, 1, false, false, true, -2.8866, 0.22292
PVM, 1, false, false, true, -2.8232, 0.22665
PVM, 1, false, false, true, -2.7597, 0.41164
PVM, 1, false, false, true, -2.6963, 0.2284
PVM, 1, false, false, true, -2.6328, 0.034736
PVM, 1, false, false, true, -2.5694, 0.14952
PVM, 1, false, false, true, -2.5059, 0.19908
PVM, 1, false, false, true, -2.4425, 0.14543
PVM, 1, false, false, true, -2.379, 0.044228
PVM, 1, false, false, true, -2.3156, 0.022065
PVM, 1, false, false, true, -2.2521, 0.057215
PVM, 1, false, false, true, -2.1887, 0.094063
PVM, 1, false, false, true, -2.1253, 0.13521
PVM, 1, false, false, true, -2.0618, 0.15591
PVM, 1, false, false, true, -1.9984, 0.14199
PVM, 1, false, false, true, -1.9349, 0.12951
PVM, 1, false, false, true, -1.8715, 0.12233
PVM, 1, false, false, true, -1.808, 0.13186
PVM, 1, false, false, true, -1.7446, 0.14258
PVM, 1, false, false, true, -1.6811, 0.15676
PVM, 1, false, false, true, -1.6177, 0.15751
PVM, 1, false, false, true, -1.5542, 0.15201
PVM, 1, false, false, true, -1.4908, 0.13819
PVM, 1, false, false, true, -1.4273, 0.112
PVM, 1, false, false, true, -1.3639, 0.092902
PVM, 1, false, false, true, -1.3005, 0.10057
PVM, 1, false, false, true, -1.237, 0.12101
PVM, 1, false, false, true, -1.1736, 0.15123
PVM, 1, false, false, true, -1.1101, 0.16989
PVM, 1, false, false, true, -1.0467, 0.18673
PVM, 1, false, false, true, -0.98322, 0.20414
PVM, 1, false, false, true, -0.91977, 0.21518
PVM, 1, false, false, true, -0.85633, 0.21904
PVM, 1, false, false, true, -0.79288, 0.21268
PVM, 1, false, false, true, -0.72943, 0.20196
PVM, 1, false, false, true, -0.66599, 0.20087
PVM, 1, false, false, true, -0.60254, 0.20037
PVM, 1, false, false, true, -0.53909, 0.20095
PVM, 1, false, false, true, -0.47565, 0.18649
PVM, 1, false, false, true, -0.4122, 0.1765
PVM, 1, false, false, true, -0.34876, 0.18965
PVM, 1, false, false, true, -0.28531, 0.19933
PVM, 1, false, false, true, -0.22186, 0.21253
PVM, 1, false, false, true, -0.15842, 0.22472
PVM, 1, false, false, true, -0.09497, 0.23095
PVM, 1, false, false, true, -0.031523, 0.22543
PVM, 1, false, false, true, 0.031923, 0.2159
PVM, 1, false, false, true, 0.09537, 0.1988
PVM, 1, false, false, true, 0.15882, 0.18568
PVM, 1, false, false, true, 0.22226, 0.16447
PVM, 1, false, false, true, 0.28571, 0.15045
PVM, 1, false, false, true, 0.34916, 0.14709
PVM, 1, false, false, true, 0.4126, 0.14291
PVM, 1, false, false, true, 0.47605, 0.1383
PVM, 1, false, false, true, 0.53949, 0.13776
PVM, 1, false, false, true, 0.60294, 0.14447
PVM, 1, false, false, true, 0.66639, 0.14842
PVM, 1, false, false, true, 0.72983, 0.16094
PVM, 1, false, false, true, 0.79328, 0.16272
PVM, 1, false, false, true, 0.85673, 0.17112
PVM, 1, false, false, true, 0.92017, 0.18106
PVM, 1, false, false, true, 0.98362, 0.19826
PVM, 1, false, false, true, 1.0471, 0.20872
PVM, 1, false, false, true, 1.1105, 0.20285
PVM, 1, false, false, true, 1.174, 0.17609
PVM, 1, false, false, true, 1.2374, 0.14228
PVM, 1, false, false, true, 1.3009, 0.10839
PVM, 1, false, false, true, 1.3643, 0.10367
PVM, 1, false, false, true, 1.4277, 0.098956
PVM, 1, false, false, true, 1.4912, 0.10013
PVM, 1, false, false, true, 1.5546, 0.097041
PVM, 1, false, false, true, 1.6181, 0.095135
PVM, 1, false, false, true, 1.6815, 0.11183
PVM, 1, false, false, true, 1.745, 0.11279
PVM, 1, false, false, true, 1.8084, 0.095256
PVM, 1, false, false, true, 1.8719, 0.096208
PVM, 1, false, false, true, 1.9353, 0.10729
PVM, 1, false, false, true, 1.9988, 0.12706
PVM, 1, false, false, true, 2.0622, 0.13325
PVM, 1, false, false, true, 2.1257, 0.16261
PVM, 1, false, false, true, 2.1891, 0.16636
PVM, 1, false, false, true, 2.2525, 0.13641
PVM, 1, false, false, true, 2.316, 0.13668
PVM, 1, false, false, true, 2.3794, 0.12852
PVM, 1, false, false, true, 2.4429, 0.12632
PVM, 1, false, false, true, 2.5063, 0.09407
PVM, 1, false, false, true, 2.5698, 0.038406
PVM, 1, false, false, true, 2.6332, 0.0083209
PVM, 1, false, false, true, 2.6967, 0.11976
PVM, 1, false, false, true, 2.7601, 0.19199
PVM, 1, false, false, true, 2.8236, 0.27067
PVM, 1, false, false, true, 2.887, 0.11534
