participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta1_targ, eta2_targ, eta1_int, eta2_int, a_targ, a_guess, beta1, beta2, gamma1, gamma2, chi1, chi2, phi1, phi2, psi1, psi2, tau1, tau2,  lambda_b1, lambda_f1, lambda_b2, lambda_f2, zeta1, zeta2, iota1, iota2, uspsilon1, upsilon2,  ter, st
1, Spatiotemporal-Orthographic-Weight, 2351.9241, 4.0906, 0, 4.0793, 0, 0.41903, 0, 0.21216, 0, 1.446, 0.87156, 0.56795, 0.6208, 0.30585, 0.47576, 0.26914, 0.60041, 0.1974, 0.18962, 0, 0, 0.63322, 0.5, 2.287, NaN, NaN, NaN, 0.42622, NaN, 5.3718, NaN, 0, NaN, 0.28425, 0
2, Spatiotemporal-Orthographic-Weight, 5138.5795, 3.6344, 0, 2.3645, 0, 1.5215, 0, 0.0016561, 0, 4.3825, 1.6706, 0.3564, 0.35242, 0.4398, 0.16507, 0.57614, 0.26656, 0.27879, 0.04627, 0, 0, 0.48047, 0.5, 0.66547, NaN, NaN, NaN, 0.18701, NaN, 9.1369, NaN, 0, NaN, 0.10416, 0
3, Spatiotemporal-Orthographic-Weight, 2679.9213, 3.5384, 0, 3.5382, 0, 1.5083, 0, 0.63537, 0, 1.6862, 0.79692, 0.5168, 0.56639, 0.18655, 0.50474, 0.60501, 0.23045, 0.31977, 0.12242, 0, 0, 0.49446, 0.5, 3.315, NaN, NaN, NaN, 0.17015, NaN, 8.9599, NaN, 0, NaN, 0.26278, 0
4, Spatiotemporal-Orthographic-Weight, 4961.8325, 2.0709, 0, 2.0696, 0, 1.2636, 0, 0.63302, 0, 3.392, 0.6759, 0.0082382, 0.44066, 0.080463, 0.8858, 0.80829, 0.16226, 0.55314, 0.59727, 0, 0, 0.45036, 0.5, 1.2213, NaN, NaN, NaN, 0.72562, NaN, 9.54, NaN, 0, NaN, 1.2658e-05, 0
5, Spatiotemporal-Orthographic-Weight, 5623.3733, 4.0578, 0, 1.7948, 0, 1.4424, 0, 0.33962, 0, 5.0872, 2.0715, 0.25342, 0.20608, 0.45035, 0.52707, 0.52293, 0.1822, 0.57494, 0.7674, 0, 0, 0.75428, 0.5, 0.13726, NaN, NaN, NaN, 1.1879, NaN, 8.1259, NaN, 0, NaN, 0.0068055, 0
6, Spatiotemporal-Orthographic-Weight, 2280.5097, 3.2873, 0, 1.3318, 0, 1.488, 0, 0.00077488, 0, 3.1917, 1.2619, 0.059895, 0.17017, 0.31256, 0.1856, 0.81795, 0.61567, 0.62454, 0.69158, 0, 0, 0.52733, 0.5, 3.1487, NaN, NaN, NaN, 0.28281, NaN, 8.8443, NaN, 0, NaN, 2.5112e-05, 0
7, Spatiotemporal-Orthographic-Weight, 4077.7362, 2.4987, 0, 2.4983, 0, 1.1205, 0, 0.46214, 0, 2.7041, 1.6525, 0.42801, 0.45804, 0.16192, 0.25305, 0.53379, 0.34788, 0.090703, 0.65659, 0, 0, 0.50045, 0.5, 2.1438, NaN, NaN, NaN, 0.35054, NaN, 9.5009, NaN, 0, NaN, 0.077554, 0
8, Spatiotemporal-Orthographic-Weight, 1031.2001, 6.8078, 0, 0.78384, 0, 1.5004, 0, 0.0023956, 0, 1.1674, 0.55373, 0.56267, 0.71312, 0.27935, 0.27279, 0.27018, 0.23202, 0.44107, 0.75308, 0, 0, 0.5269, 0.5, 0.55129, NaN, NaN, NaN, 0.79113, NaN, 6.1297, NaN, 0, NaN, 0.2781, 0
9, Spatiotemporal-Orthographic-Weight, 2687.8267, 3.7801, 0, 3.78, 0, 1.4134, 0, 0.16321, 0, 1.6851, 0.97805, 0.46941, 0.55976, 0.25289, 0.21142, 0.11558, 0.12271, 0.037541, 0.68655, 0, 0, 0.48948, 0.5, 3.0864, NaN, NaN, NaN, 0.18574, NaN, 7.3498, NaN, 0, NaN, 0.27599, 0
10, Spatiotemporal-Orthographic-Weight, 2332.2128, 3.7275, 0, 0.68299, 0, 1.5038, 0, 0.1261, 0, 1.8087, 0.91649, 0.55094, 0.62792, 0.40056, 0.063864, 0.53361, 0.66166, 0.40094, 0.044282, 0, 0, 0.75515, 0.5, 2.7397, NaN, NaN, NaN, 0.017248, NaN, 7.8537, NaN, 0, NaN, 0.25939, 0
