participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta1_targ, eta2_targ, eta1_int, eta2_int, a_targ, a_guess, beta1, beta2, gamma1, gamma2, chi1, chi2, phi1, phi2, psi1, psi2, tau1, tau2,  lambda_b1, lambda_f1, lambda_b2, lambda_f2, zeta1, zeta2, iota1, iota2, uspsilon1, upsilon2,  ter, st
1, Orthographic, 2362.0183, 1.2244, 0, 4.3634, 0, 1.5185, 0, 0.00070646, 0, 0.96374, 0.68235, 0.51103, 0.20293, 1.0308e-05, 0.10885, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 6.5948, NaN, 0, NaN, 0.33259, 0
2, Orthographic, 5109.4784, 3.0685, 0, 2.0796, 0, 1.501, 0, 0.48487, 0, 3.7451, 1.4729, 0.179, 0.13177, 0.13693, 0.22094, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 1.6487, NaN, 0, NaN, 0.10094, 0
3, Orthographic, 2671.7646, 3.1731, 0, 4.4122, 0, 1.5049, 0, 0.38475, 0, 1.6051, 0.7931, 0.35969, 0.61698, 0.099545, 0.090968, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 1.4985, NaN, 0, NaN, 0.26069, 0
4, Orthographic, 4590.3421, 1.9843, 0, 0.48923, 0, 1.4647, 0, 1, 0, 3.2499, 1.08, 0.062137, 0.073233, 0.020182, 0.20074, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 8.5033, NaN, 0, NaN, 0.087957, 0
5, Orthographic, 5904.9358, 1.4498, 0, 2.3135, 0, 1.5104, 0, 0.79818, 0, 2.7595, 0.87237, 0.015867, 0.00011732, 0.13965, 0.13113, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 12.3495, NaN, 0, NaN, 0.23495, 0
6, Orthographic, 2263.2316, 3.0978, 0, 3.9649, 0, 1.5043, 0, 0.99892, 0, 3.1487, 1.3086, 0.029082, 0.099455, 0.022964, 0.045665, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 2.5201, NaN, 0, NaN, 1.5475e-06, 0
7, Orthographic, 4075.744, 1.6913, 0, 2.6651, 0, 1.2635, 0, 0.7656, 0, 2.2525, 1.4574, 0.19998, 0.25648, 0.11569, 0.10254, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 2.4053, NaN, 0, NaN, 0.15044, 0
8, Orthographic, 1052.3902, 5.0552, 0, 0.49715, 0, 1.1708, 0, 0.67158, 0, 1.0543, 0.55889, 0.49451, 0.55045, 0.079942, 0.10071, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 1.4966, NaN, 0, NaN, 0.27351, 0
9, Orthographic, 2657.1521, 2.8164, 0, 3.2144, 0, 1.1927, 0, 0.59284, 0, 1.4035, 0.89234, 0.57628, 0.7502, 0.065618, 8.662e-06, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 2.1283, NaN, 0, NaN, 0.31669, 0
10, Orthographic, 2320.0826, 4.4048, 0, 0.51924, 0, 1.501, 0, 0.1182, 0, 2.0012, 0.97562, 0.6012, 0.72681, 0.11668, 0.043583, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 3.5046, NaN, 0, NaN, 0.24656, 0
