participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta1_targ, eta2_targ, eta1_int, eta2_int, a_targ, a_guess, beta1, beta2, gamma1, gamma2, chi1, chi2, phi1, phi2, psi1, psi2, tau1, tau2,  lambda_b1, lambda_f1, lambda_b2, lambda_f2, zeta1, zeta2, iota1, iota2, uspsilon1, upsilon2,  ter, st
1, Spatiotemporal, 2329.1402, 4.2577, 0, 4.656, 0, 0.00015104, 0, 0.45936, 0, 1.516, 0.87622, 0.51761, 0.43252, 0.18047, 0.63167, 0, 0, 0.26285, 0.53409, 0, 0, 0.4889, NaN, 1.74, NaN, NaN, NaN, 0.51489, NaN, 0, NaN, 0, NaN, 0.28365, 0
2, Spatiotemporal, 5226.3313, 3.567, 0, 2.4572, 0, 1.5836, 0, 0.86808, 0, 3.9146, 0.987, 0.24128, 0.067957, 0.15251, 0.25575, 0, 0, 0.12316, 0.48845, 0, 0, 0.4881, NaN, 1.74, NaN, NaN, NaN, 1.0319, NaN, 0, NaN, 0, NaN, 0.1968, 0
3, Spatiotemporal, 2661.71, 3.4772, 0, 4.7429, 0, 1.5071, 0, 0.86686, 0, 1.7577, 0.86929, 0.36029, 0.43245, 0.10162, 0.27516, 0, 0, 0.44393, 0.45375, 0, 0, 0.49312, NaN, 1.74, NaN, NaN, NaN, 0.46783, NaN, 0, NaN, 0, NaN, 0.23221, 0
4, Spatiotemporal, 5084.8944, 2.5001, 0, 3.639, 0, 1.5845, 0, 1, 0, 3.6793, 0.5005, 0.14185, 0.30876, 0.10009, 0.16822, 0, 0, 0.75235, 0.15358, 0, 0, 0.73296, NaN, 1.74, NaN, NaN, NaN, 1.2655, NaN, 0, NaN, 0, NaN, 0.211, 0
5, Spatiotemporal, 6337.7401, 2.5002, 0, 2.0001, 0, 1.4548, 0, 0.87334, 0, 3.6776, 0.52264, 0.15469, 0.29008, 0.10006, 0.36105, 0, 0, 0.31081, 0.19413, 0, 0, 0.55428, NaN, 1.74, NaN, NaN, NaN, 0.83212, NaN, 0, NaN, 0, NaN, 0.11742, 0
6, Spatiotemporal, 2755.5525, 3.9451, 0, 2.0066, 0, 1.4623, 0, 0.83597, 0, 3.5092, 0.82279, 0.19285, 0.19481, 0.21247, 0.45349, 0, 0, 0.56446, 0.58674, 0, 0, 0.45, NaN, 1.74, NaN, NaN, NaN, 0.97918, NaN, 0, NaN, 0, NaN, 0.00051544, 0
7, Spatiotemporal, 4180.6437, 2.5001, 0, 2, 0, 1.2601, 0, 0.9013, 0, 2.4661, 1.1144, 0.13562, 0.60974, 0.16056, 0.23294, 0, 0, 0.011295, 0.0066157, 0, 0, 0.52447, NaN, 1.74, NaN, NaN, NaN, 0.51399, NaN, 0, NaN, 0, NaN, 0.21119, 0
8, Spatiotemporal, 1031.2193, 7.9716, 0, 2, 0, 0.12933, 0, 0.95184, 0, 1.2791, 0.54888, 0.58266, 0.71761, 0.19028, 0.43627, 0, 0, 0.048331, 0.59883, 0, 0, 0.63625, NaN, 1.74, NaN, NaN, NaN, 0.70666, NaN, 0, NaN, 0, NaN, 0.27835, 0
9, Spatiotemporal, 2665.1443, 4.4011, 0, 4.79, 0, 0.40251, 0, 0.45738, 0, 1.9293, 1.0398, 0.60808, 0.65019, 0.14966, 0.3379, 0, 0, 0.4784, 0.47876, 0, 0, 0.65423, NaN, 1.74, NaN, NaN, NaN, 0.16748, NaN, 0, NaN, 0, NaN, 0.26008, 0
10, Spatiotemporal, 2299.7843, 3.135, 0, 4.3399, 0, 1.5064, 0, 0.90716, 0, 1.8278, 1.0193, 0.33695, 0.35244, 0.11764, 0.25458, 0, 0, 0.27351, 0.6679, 0, 0, 0.48944, NaN, 1.74, NaN, NaN, NaN, 0.47033, NaN, 0, NaN, 0, NaN, 0.22549, 0
