participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta1_targ, eta2_targ, eta1_int, eta2_int, a_targ, a_guess, beta1, beta2, gamma1, gamma2, chi1, chi2, phi1, phi2, psi1, psi2, tau1, tau2,  lambda_b1, lambda_f1, lambda_b2, lambda_f2, zeta1, zeta2, iota1, iota2, uspsilon1, upsilon2,  ter, st
1, Temporal-Orthographic-Weight, 2327.6346, 2.795, 0, 2.3122, 0, 0.99289, 0, 0.6976, 0, 1.1541, 0.75267, 0.66486, 0.70822, 0.02034, 0.0090392, 0.3052, 0.81007, 0, 0, 0, 0, 0.56404, NaN, 0.92956, NaN, NaN, NaN, 0, NaN, 14.9954, NaN, 0, NaN, 0.32792, 0
2, Temporal-Orthographic-Weight, 5226.8168, 2.7458, 0, 1.502, 0, 1.5137, 0, 0.15126, 0, 2.8074, 0.91665, 0.133, 0.089938, 0.45686, 0.38279, 0.24954, 0.1981, 0, 0, 0, 0, 0.53031, NaN, 1.0415, NaN, NaN, NaN, 0, NaN, 12.4611, NaN, 0, NaN, 0.3169, 0
3, Temporal-Orthographic-Weight, 2686.3228, 3.3572, 0, 3.3384, 0, 1.504, 0, 0.75509, 0, 1.6415, 0.7895, 0.5317, 0.5937, 0.1789, 0.062129, 0.80339, 1.0571e-05, 0, 0, 0, 0, 0.50312, NaN, 0.019722, NaN, NaN, NaN, 0, NaN, 14.0214, NaN, 0, NaN, 0.26553, 0
4, Temporal-Orthographic-Weight, 4427.653, 3.6432, 0, 2.3025, 0, 1.513, 0, 0.30035, 0, 5.8898, 1.5237, 0.25146, 0.24928, 0.094918, 0.1044, 0.52517, 0.26416, 0, 0, 0, 0, 0.52177, NaN, 4.3169, NaN, NaN, NaN, 0, NaN, 2.8098, NaN, 0, NaN, 0.0005638, 0
5, Temporal-Orthographic-Weight, 5736.8434, 4.166, 0, 1.8445, 0, 1.5121, 0, 0.89435, 0, 4.6118, 1.8753, 0.16123, 0.15377, 0.21519, 0.72599, 0.81768, 0.86068, 0, 0, 0, 0, 0.59325, NaN, 1.7321, NaN, NaN, NaN, 0, NaN, 2.3906, NaN, 0, NaN, 0.15497, 0
6, Temporal-Orthographic-Weight, 2255.2433, 3.0486, 0, 4.1515, 0, 1.4492, 0, 0.52056, 0, 3.0705, 1.5654, 0.023538, 0.1865, 0.10155, 0.073006, 0.41731, 0.80151, 0, 0, 0, 0, 0.5514, NaN, 1.8143, NaN, NaN, NaN, 0, NaN, 11.4445, NaN, 0, NaN, 1.0721e-08, 0
7, Temporal-Orthographic-Weight, 4131.6129, 2.494, 0, 2.693, 0, 1.162, 0, 0.93649, 0, 2.9866, 1.5284, 0.35605, 0.027175, 0.028069, 0.43335, 0.7572, 0.32012, 0, 0, 0, 0, 0.45, NaN, 2.0088, NaN, NaN, NaN, 0, NaN, 6.6678, NaN, 0, NaN, 0.017296, 0
8, Temporal-Orthographic-Weight, 1032.6446, 6.9666, 0, 1.4963, 0, 0.99207, 0, 0.99918, 0, 1.1755, 0.55103, 0.54788, 0.67302, 0.3322, 0.459, 0.12192, 0.097246, 0, 0, 0, 0, 0.5877, NaN, 0.71918, NaN, NaN, NaN, 0, NaN, 12.826, NaN, 0, NaN, 0.27664, 0
9, Temporal-Orthographic-Weight, 2687.1942, 2.9016, 0, 3.464, 0, 1.5031, 0, 0.092196, 0, 1.5505, 0.95778, 0.42919, 0.41831, 0.26421, 0.61909, 0.56886, 0.58664, 0, 0, 0, 0, 0.75886, NaN, 2.5857, NaN, NaN, NaN, 0, NaN, 1.7312, NaN, 0, NaN, 0.27609, 0
10, Temporal-Orthographic-Weight, 2317.1872, 3.136, 0, 3.3117, 0, 1.5063, 0, 0.74377, 0, 1.7498, 0.97362, 0.54422, 0.5602, 0.10861, 0.085099, 0.60091, 6.0942e-05, 0, 0, 0, 0, 0.49813, NaN, 2.4532, NaN, NaN, NaN, 0, NaN, 11.4718, NaN, 0, NaN, 0.24303, 0
