,ortho,spatiotemp,spatiotemp_w,temporal_w,temporal_d
1,2304.0643,2338.9147,2351.9241,2404.9356,2306.9787
2,5168.4464,5021.9554,5138.5795,5215.3534,5654.0873
3,2684.5194,2675.1562,2679.9213,2680.0587,2683.5071
4,4584.9799,4405.9247,4961.8325,4915.0951,4924.7858
5,5641.6491,5739.4397,5623.3733,6493.6672,5790.0557
6,2365.4155,2420.0666,2280.5097,2434.9346,2537.8653
7,4085.8872,4065.5929,4077.7362,4187.9524,4300.143
8,1052.3902,1024.1892,1031.2001,1038.4967,1049.2625
9,2709.1006,2697.3735,2687.8267,2786.3434,2699.087
10,2326.2206,2306.386,2332.2128,2309.9018,2320.2586
