"","participant","nLL","aic","kappa1","kappa2","beta","gamma","tau","lambda_b","lambda_f","zeta","rho","chi1","chi2","iota1","iota2","upsilon1","upsilon2","psi1","psi2","psi3"
"result.1",1,2150.38823676659,4336.77647353317,3.24479407750323,1.04386547685346,0.59819043573767,0.341684416744825,0.410205139022237,1.29533800013197,0.557533353614933,0.242564649318195,0.545073385469675,0.57870976204328,0.47502809768735,4.14078658213839,4.87425970280563,1.32433283005841,0.979273452979921,0.414480426716387,0.824940790723644,0.24639524225156
"result.2",2,1389.84218249599,2815.68436499197,19.8371950867599,14.6845232977096,0.202525778849287,0.20346746330442,0.235469551635513,0.780095553482781,0.528963258244724,0.506820497823428,0.524377827350215,0.483811833121525,0.466073783318428,2.64648758852902,4.62615880415071,1.39930304509319,0.504544081632048,0.491041565153737,0.911353042996457,0.322553672590908
"result.3",3,1980.70225071907,3997.40450143813,10.4763235189434,10.4103801263935,0.525719474266038,0.274889208098412,0.204222560324706,0.50135209892613,0.548337346130594,0.581171948329979,0.37032049584677,0.565472643217072,0.669313073104258,0.152750686975196,0.284581634490358,3.86900102140878,4.86739990916631,0.994877836941058,0.258979195404695,0.602843562299134
"result.4",4,962.263298530458,1960.52659706092,19.9831254647179,14.9546995051668,0.200401120309148,0.202697661040854,0.655566615486632,0.842337219574619,0.510216989562731,0.567561094287334,0.230005970579768,0.596381964302329,0.465892216159915,2.38997054192034,3.22269971580053,4.97640445544143,4.92044957599528,0.985256995787495,0.032340209703504,0.585074802289148
"result.5",5,1537.65280906682,3111.30561813365,19.8343451586448,14.9531806859527,0.333244435182633,0.200679236797872,0.237723371404577,1.37195380932502,0.699833032643387,0.230518332753409,0.247797912174164,0.0939507096958771,0.636885440393164,4.91470551226844,2.91171571216215,1.62498584148267,0.198811872404765,0.317083562553937,0.892923124217039,0.566505814166116
"result.6",6,1008.68676058547,2053.37352117094,12.3870634315506,14.683924537177,0.200434609252674,0.200135429423913,0.214404004669729,2.97275436999614,2.97569878228785,0.587913211177407,0.207466884186418,0.57262765656868,0.694785527839554,4.99257374600066,4.99067326070721,1.86787581009265,3.8046260038007,0.0167492977820539,0.998199744412017,0.0256169101277987
"result.7",7,1922.08868300605,3880.1773660121,6.80716394435392,6.690546901701,0.397993743256102,0.218257981816429,0.357252558119002,1.48363385386536,0.592096691418,0.288721099057968,0.47466134752988,0.0408569172457796,0.696333880099708,0.525064896831136,2.02231164405627,3.70459391468162,4.59905080696445,0.372293031541631,0.119942927516699,0.808586951112375
"result.8",8,2020.49005230271,4076.98010460542,7.02439489641752,8.15923216009313,0.597736217493713,0.245178174772227,0.689565910034511,0.513532075746316,0.813220476473406,0.269001701280422,0.594082102067769,0.599968922443807,0.682883491962508,0.622291214451024,1.97590169545974,2.11257395209689,4.25027215883565,0.76236244799572,0.0232746342564321,0.832462823285209
"result.9",9,1920.55159053861,3877.10318107722,10.8814702135131,1.0012798634267,0.58166418793212,0.294406459826582,0.683628970687278,0.745794031940089,0.714141102170103,0.457248417267902,0.490071801929544,0.592066487077562,0.661763538587459,1.46900299885785,4.9738405062817,0.930105013187348,2.44727084643509,0.846744333342509,0.977718808400368,0.0620478909174436
"result.10",10,1850.3440618561,3736.6881237122,14.0362850251356,13.5455480727368,0.599536352358451,0.201054603977287,0.38738216870149,0.503549746051314,0.689552544240497,0.560629459016598,0.577250111517951,0.0496951887616924,0.689334466722989,1.04754204634631,4.61125537883604,0.895764434461795,0.742501576128974,0.885830867840077,0.554293179181759,0.0119051206331408
