"","participant","nLL","aic","kappa1","kappa2","beta","gamma","tau","lambda_b","lambda_f","zeta","rho","chi1","chi2","iota1","iota2","upsilon1","upsilon2","psi1","psi2"
"result.1",1,2150.47448284712,4334.94896569424,3.49176352712559,1.17668535715747,0.597289091164638,0.357771664578224,0.542560578662622,0.958184149693039,0.514672484428522,0.235558287348272,0.591438052431616,0.599648227190966,0.322803921247797,4.46904187465254,4.90666610386771,3.03500973675218,2.76695501165871,0.946200248131216,0.0210660335138788
"result.2",2,1389.99380973427,2813.98761946854,19.9937964395205,14.9641771670279,0.200249503644989,0.204797098170587,0.30082911298111,0.759190061144317,0.516937513137236,0.597969472106544,0.360105588280443,0.394265588391582,0.617191305079829,2.934647559718,3.45393034773047,1.33949539888183,0.659885448766526,0.898492548361833,0.459734243408105
"result.3",3,1981.72759393391,3997.45518786783,10.313760178973,10.7603338341382,0.518266951943341,0.214788253651932,0.200500717618454,0.500344723568495,0.508081286859286,0.55923837358132,0.271740908907859,0.0309966124738449,0.684134989007293,0.0499911246606059,0.069314533001495,1.86491353088059,1.63783887467647,0.264871311606839,0.954456181328896
"result.4",4,962.830199354504,1959.66039870901,19.9985970202174,14.6849334390166,0.200198620728888,0.200964671080448,0.657884520722081,0.589645953129803,0.500472114915469,0.254748773481697,0.285751765873957,0.599358355445549,0.200773782152747,4.97833604544541,4.88935400652643,4.98746751784266,4.97540673483784,0.913307618831931,0.00983337868259852
"result.5",5,1538.43962629186,3110.87925258372,19.9587942584209,14.7726154157227,0.318893920348274,0.205578429936422,0.221275456142423,1.38866257875096,0.719114847141687,0.452409436620573,0.212352721084985,0.025466578467483,0.684194453166062,3.56764956028201,3.00032979367349,1.68689833785929,0.379378892168281,0.842349879862173,0.466288380834468
"result.6",6,1014.42402393694,2062.84804787389,12.0378521374416,14.4979665663687,0.200201169420395,0.200175564721182,0.20073984074562,2.96679829181675,2.98094050846269,0.589271729736472,0.201227150532007,0.593366563380642,0.674894049021154,4.96050691882309,4.99816437889297,3.58479885363158,4.95768875592683,0.983190237541668,0.0146304118346045
"result.7",7,1922.01154327537,3878.02308655075,7.35748005749405,6.83147250216127,0.404429373251643,0.204636432564368,0.473010389675494,1.31165706502681,0.713734301774633,0.258226470541835,0.51372245290169,0.00889094299599883,0.67955255919863,0.415436570765451,1.74028814923667,4.08155413620017,4.78746895459853,0.0966226297254682,0.699768437999294
"result.8",8,2022.20940083848,4078.41880167697,6.45215619939764,7.3551579618818,0.595117325640705,0.210580877400935,0.692589736047711,0.501121679994365,0.648283000000754,0.251609597722237,0.528265778906643,0.212744403606948,0.698410606957356,0.0867597114547253,0.778517079331203,1.91173612876795,3.01313784591309,0.188050756463781,0.905956609799657
"result.9",9,1920.33505426971,3874.67010853941,8.87136173760797,1.08070489478089,0.595225727713499,0.296157118205118,0.610095266111436,0.774277508468048,0.660137254839763,0.483994001173781,0.536229464115402,0.587035480859704,0.690846333234727,1.78712795007394,4.95088296228798,1.21864609348215,3.38201000556012,0.966133813975062,0.0479458226436352
"result.10",10,1850.30205318343,3734.60410636687,14.5217034501414,13.9987586168981,0.599202752734708,0.214326051394051,0.39348783886804,0.504071298827047,0.722259266526531,0.442005073989375,0.542236077189445,0.0864192090706884,0.699299985495924,1.28457269698349,4.97885871269545,0.903694732114673,0.150743008473721,0.548289835346064,0.0218644757557283
