"","participant","nLL","aic","kappa1","kappa2","beta","gamma","tau","lambda_b","lambda_f","zeta","rho","chi","iota","upsilon","psi"
"result.1",1,2151.47498952612,4328.94997905224,3.44264449524031,1.30185889312997,0.598856027782537,0.360311563527211,0.839991226510719,0.55443645559717,0.188280766088397,0.936185981119943,0.774252991005778,0.49760885702829,3.03805178058329,3.33248063197339,0.271703972484118
"result.2",2,1384.94289420045,2795.8857884009,19.88184072531,14.9904075393881,0.200244494988948,0.316843586688088,0.92090025713997,0.663095008799734,1.0198777131312,0.319587560207583,0.695153032412126,0.576610243641708,4.18516704942332,3.04397783851748,0.495357660931139
"result.3",3,1973.15903863272,3972.31807726545,10.1031333056693,12.6716431232844,0.512289289065935,0.473615954980763,0.749636073031062,0.675925735828492,3.75831705883542,1.1568209665026,0.492563540647535,0.811179055994198,4.57158581950373,1.90007482619299,0.565914602706015
"result.4",4,942.257007217224,1910.51401443445,19.9994557847516,14.9471376166775,0.200033218029798,0.396268960737203,0.965770429398706,4.20213148375243,0.162770158876512,0.144202636835286,0.112019537995945,0.976961573952817,4.98034714428283,4.92386326403223,0.248935375950266
"result.5",5,1532.7716402223,3091.5432804446,19.9847506556638,14.952813271097,0.323157892178275,0.479424741787114,0.534945011993164,2.28008044090079,1.92029834031223,2.90855532920275,0.571482258963722,0.706334851552785,4.06212905998948,3.37842130562123,0.358442787648808
"result.6",6,989.230608108157,2004.46121621631,12.317543983307,14.9286953970255,0.200009561144834,0.300166086010511,0.987696743749814,4.95636859854406,4.99412199206732,4.95039478855804,0.213791150919767,0.949177074883371,4.99819162431635,4.86448438062713,0.0296897419894748
"result.7",7,1925.27357473092,3876.54714946184,7.73611521842998,7.19366733336848,0.402005678098792,0.372574785817079,0.568801194423531,0.561888184398413,0.66177195454533,3.39068365956096,0.425777303721341,0.546362582247723,2.46839265181608,1.06437580077909,0.0304316336962814
"result.8",8,2019.18516590561,4064.37033181122,8.09577705274698,5.63498758241616,0.586323424907916,0.318715533374113,0.512821277906187,0.7658536802046,0.941328542519533,1.38870549484511,0.423562001436949,0.685744039997948,1.40680639818631,1.89921723989983,0.297175040536416
"result.9",9,1925.19672647235,3876.3934529447,8.23960104856944,1.25558663268699,0.588749705224114,0.305213396397731,0.677011075011448,0.756181486253314,1.1029230073365,2.51356880724805,0.849987481184993,0.764259692884354,2.3438250227328,1.65291716164624,0.503204021137208
"result.10",10,1854.09226410485,3734.1845282097,15.4921198260517,13.5091325389969,0.596013446032196,0.321730231431928,0.576420984118496,0.622883430876975,1.0901873096185,1.90918602087091,0.561324686306166,0.621491395545498,2.82767214880198,1.68697156586806,0.540881429293585
