,participant,nLL,aic,kappa1,kappa2,beta,gamma,tau,lambda_b,lambda_f,zeta,rho,chi,iota,upsilon,psi
result.1,1,1552.303088,3122.606175,2.877489337,4.952330843,0.599682869,0.336014988,0.504429114,0.549841158,0.103647706,0.158979808,0.236376036,0,0,0,0
result.2,2,1224.406274,2466.812548,19.9680598,14.98303112,0.201419284,0.300622763,0.50393457,0.510120061,0.263846753,0.660183626,0.305918123,0,0,0,0
result.3,3,1403.380725,2824.761449,8.551026839,14.14018476,0.458391648,0.300365707,0.52077041,0.511745635,0.978716961,0.133000449,0.220385155,0,0,0,0
result.4,4,723.9678362,1465.935672,19.9846547,14.99140321,0.200062521,0.300774851,0.512909935,0.502882757,0.105427637,4.997683352,0.100808609,0,0,0,0
result.5,5,1389.494467,2796.988933,19.99609011,14.98371916,0.31215682,0.307241267,0.502675731,0.50284289,0.476625877,2.700516536,0.208784519,0,0,0,0
result.6,6,510.9008673,1039.801735,13.59953857,6.034204781,0.200036019,0.300046776,0.98973414,4.981914038,4.715137527,4.99653048,0.697620045,0,0,0,0
result.7,7,1261.62967,2541.25934,8.861253796,13.91125331,0.394474859,0.317733378,0.51400832,0.506057017,0.400295302,2.246811068,0.358347345,0,0,0,0
result.8,8,807.7677932,1633.535586,7.278146278,9.212336827,0.411693565,0.354616292,0.500295828,0.500775436,0.46877832,0.370769246,0.358332933,0,0,0,0
result.9,9,1390.738952,2799.477904,10.1426224,1.015207532,0.59916854,0.301383719,0.531849686,0.507339651,0.248914163,1.034403935,0.493093764,0,0,0,0
result.10,10,1065.571131,2149.142261,16.57734785,14.63214547,0.579704241,0.306302642,0.503611124,0.504089589,0.59004605,1.904722939,0.376861977,0,0,0,0
,,,22840.32,12.78,10.89,0.40,0.31,0.56,0.96,0.84,1.92,0.34,0.00,0.00,0.00,0.00
