"","participant","nLL","aic","kappa1","kappa2","beta","gamma1","gamma2","gamma3","tau","lambda_b","lambda_f","zeta","rho","chi1","chi2","iota1","iota2","upsilon1","upsilon2","psi1","psi2"
"result.1",1,1542.88310116339,3123.76620232678,3.47138335706182,8.66079309297037,0.599525741738864,0.172734977597634,0.164129499096357,0.471818826111802,0.682992992161947,0.979244582842535,0.500201798019303,0.373550061949523,0.599278835485959,0.363278047349182,0.683144857232993,4.99877260729428,0.333346908707358,0.0179251341614872,3.32518959910852,0.269995820489618,0.406571504049122
"result.2",2,1207.71984675978,2453.43969351957,19.9745260367426,14.9887437266873,0.200043724737871,0.437802600120196,0.154933944172573,0.437949491664767,0.699965920696376,0.513176999780152,0.500385153806336,0.47512203327891,0.584596286155283,0.538746711493662,0.665567148909055,3.99564805457274,1.73913915908163,0.00903325771315489,4.57604600591914,0.031719507737118,0.324599702684891
"result.3",3,1385.13641391353,2808.27282782705,8.40191837153721,11.6093648649585,0.417447474873885,0.410513673893734,0.42121774603577,0.488626755240202,0.592222166642684,0.618492250128323,2.04202721239372,0.21708699144759,0.462737334426492,0.512833995776736,0.697474441569772,4.45058825986357,0.630612103727479,4.9646946713841,1.69935129000805,0.39565192675218,0.409102662434884
"result.4",4,690.291220733973,1418.58244146795,19.9999462450184,14.9905861891299,0.200000529254162,0.100045974700795,0.212931392528181,0.31848576973404,0.699488878391997,1.29723307432188,0.501643641537514,0.200230666134764,0.599720388094289,0.59955964683733,0.699955000597051,4.99800333506633,4.99989728923588,4.95309404603791,4.93325690761078,0.000199009474093491,0.119333247538966
"result.5",5,1371.04471474674,2780.08942949348,19.9928041718075,14.9911825334961,0.290291874212007,0.475464560237595,0.394233441416798,0.34394445712017,0.209684378209823,2.20451901980854,1.32676053704196,0.597889455163718,0.501182782623963,0.498030928885478,0.699079239468167,4.42309722527381,4.96364970483435,1.40352151240222,4.51552588151869,0.00832054777475385,0.730608924525269
"result.6",6,483.419620139974,1004.83924027995,12.8451200010705,14.9969228156697,0.200001129003041,0.100010717784618,0.196334974133058,0.100004835209943,0.200526043934859,0.500095871578552,0.768605389875702,0.598431493875504,0.200111154215977,0.599967616512542,0.699974036962756,4.99986561072811,4.99861838235727,4.93820775727548,4.99183948634969,2.84521764915194e-05,0.000733397847047929
"result.7",7,1249.99383475729,2537.98766951458,7.93887760757542,9.96788082392963,0.336041252825643,0.469517310256692,0.236051595677044,0.20206676539976,0.429092414896259,0.884148073832966,0.619392523053045,0.598576331056637,0.580015341590432,0.574178914438151,0.594964278388471,4.29206716079085,1.52341753993067,2.6438724999159,4.70599617459811,0.284130366310432,0.903445230621804
"result.8",8,801.780151527023,1641.56030305405,8.75408167168291,7.95729036942329,0.424849169764281,0.255116416182675,0.326964872789127,0.291967819727957,0.222083399223794,0.903597009334389,0.642362013071102,0.589395971224882,0.548275731292968,0.238194155747154,0.251225335057825,2.01502208162968,0.11750212200078,1.43488437210669,4.96895757852954,0.0695748385197061,0.476730914188495
"result.9",9,1386.75727623107,2811.51455246213,10.3897010443349,1.00208236430151,0.599559166829715,0.209698079358844,0.153999505802691,0.383966263849288,0.694815626128801,0.628982600329622,0.500069037673534,0.368487425898457,0.52367193531245,0.0158782303333282,0.69272476453712,3.05541569957958,0.412254500182742,0.0880402223738238,4.52243155326751,0.763426585821435,0.974498654898336
"result.10",10,1058.66641029627,2155.33282059255,15.3044157644382,14.9592099928882,0.554416087680715,0.328864491166092,0.138569116739631,0.105199041277754,0.207263083005257,1.23350930089394,1.68800230989116,0.543663185059824,0.547545581817231,0.228372952049004,0.699434911863556,3.61420366399938,0.10543584955409,4.58797998983962,2.21129522180287,0.00909977379512448,0.999725644463822
