,participant,nLL,aic,kappa1,kappa2,beta1,beta2,beta3,gamma1,gamma2,gamma3,tau,lambda_b,lambda_f,zeta,rho,chi1,chi2,iota1,iota2,upsilon1,upsilon2,psi1,psi2
result.1,1,1542.893494,3127.786989,3.004488625,10.03621617,0.599854895,0.597593423,0.599772727,0.15456449,0.153619685,0.490139043,0.690346949,0.881203231,0.53701902,0.219031304,0.583515339,0.302919293,0.682678802,4.698249405,0.32092905,0.014440796,3.456009166,0.034114798,0.203968769
result.2,2,1208.291955,2458.58391,19.93601545,14.98734959,0.200767452,0.200062265,0.200717,0.304339996,0.150449346,0.325213183,0.692890441,0.51373876,0.502277621,0.396606696,0.599778612,0.548187788,0.664496368,3.062479915,1.670033374,0.693009797,4.871346751,0.014037042,0.264176429
result.3,3,1384.721366,2811.442733,8.554880537,12.15460093,0.353358655,0.443521347,0.451386746,0.369571224,0.237989387,0.432566359,0.582577061,0.614939745,1.829827318,0.207237904,0.476155175,0.530084955,0.682312236,3.879461859,0.100137978,3.795775734,1.616960145,0.256203434,0.329656277
result.4,4,690.3417668,1422.683534,19.99919848,14.99897059,0.200061243,0.200009065,0.200030547,0.100202003,0.214146852,0.314948906,0.697182903,1.23958542,0.500805047,0.216205656,0.596500762,0.593384529,0.699979956,4.995359136,4.998292859,4.699422193,4.854695719,0.002627016,0.143505894
result.5,5,1367.917722,2777.835443,19.99192259,14.99503834,0.284190019,0.366001934,0.217245262,0.499653137,0.331423096,0.429666925,0.202159048,1.897763912,1.268870569,0.512497928,0.497787883,0.556224146,0.695332944,4.281714761,4.967522065,3.171979016,4.903202221,0.00286228,0.733624413
result.6,6,483.4258843,1008.851769,12.83232258,14.99387135,0.200000706,0.200007185,0.200000127,0.100016702,0.195456447,0.100100855,0.200419133,0.50001778,0.79332727,0.598477014,0.200372879,0.599745205,0.699852817,4.999759788,4.997929175,4.475155734,4.978653031,4.86E-05,0.00050018
result.7,7,1248.049187,2538.098374,8.012648792,11.00435889,0.438737872,0.257322889,0.30408648,0.471719957,0.250116292,0.246495926,0.230599028,1.075265162,0.502223111,0.597224019,0.417429936,0.585738169,0.694877502,3.910217036,1.319923669,4.241831422,4.33940271,0.12134035,0.88434839
result.8,8,801.0036252,1644.00725,8.088960892,9.484213813,0.408379766,0.550683931,0.381010502,0.30566675,0.339446229,0.371306355,0.250982864,0.897384324,0.553102006,0.530800244,0.427248167,0.26403963,0.267152556,3.115510834,0.021841708,0.050000485,4.444303029,0.300643626,0.657949424
result.9,9,1386.427764,2814.855528,9.998462535,1.003323724,0.404372363,0.598366715,0.598814472,0.247540954,0.233333016,0.307769659,0.691160943,0.590863205,0.500089811,0.285439976,0.546635673,0.556935636,0.69993413,0.348199665,0.070672909,1.840349128,4.035195455,0.638664079,0.989258112
result.10,10,1057.848148,2157.696297,14.98580554,14.96636848,0.535210945,0.598230836,0.48574256,0.328857739,0.136113982,0.105575549,0.247427252,1.101340763,1.434865694,0.541604389,0.57705298,0.197953882,0.695317812,4.446196311,0.548386356,0.090948757,0.454249112,0.016235739,0.829867447
,,,22761.84,12.54,11.86,0.36,0.40,0.36,0.29,0.22,0.31,0.45,0.93,0.84,0.41,0.49,0.47,0.65,3.77,1.90,2.31,3.80,0.14,0.50
