"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2150.1650244923,4334.33004898461,3.70132827152823,1.68402585744525,0.599947515533125,NA,NA,0.244373425744545,0.207540612347777,NA,0.0078977934488613,0.576446766875053,NA,0.402526252785779,0.163396848939227,NA,0.229775491245784,0.0255214087665081,NA,0.676800343216543,NA,NA,0.767947637010366,0.297359973037965,NA,NA,NA,NA,0.863307110903649,NA,NA,2.03063375091453,NA,NA,2.72883834491897,NA,NA
"result.2",2,1380.20865817235,2794.4173163447,19.9945081964019,14.9989156581189,0.200381950091499,NA,NA,0.273547013725765,0.0934285056138836,NA,0.0660509287450644,0.226880411660367,NA,0.431230380502529,0.0698504832906933,NA,0.230576723442703,0.629178284946829,NA,0.697184171428696,NA,NA,0.107642952636736,0.0568750078441609,NA,NA,NA,NA,0.159646415109334,NA,NA,4.42694125369926,NA,NA,0.294588626414839,NA,NA
"result.3",3,1973.92699087253,3981.85398174506,10.9098414190506,10.8681779923277,0.507778045456847,NA,NA,0.389052256221222,0.276755473701825,NA,0.000664944442391233,0.283930179559775,NA,0.172941018332083,0.00491877471358535,NA,0.315817857079263,0.0490163177214121,NA,0.500354744761748,NA,NA,0.00584662443533426,1.93597529920362,NA,NA,NA,NA,1.06483577265422,NA,NA,4.18025528965518,NA,NA,5.34328902047127,NA,NA
"result.4",4,939.386943167309,1912.77388633462,19.9991201202813,14.9886588321896,0.200006236894118,NA,NA,0.356459277023971,0.261504305648401,NA,0.000169836722793302,0.124361287733583,NA,0.370232104361174,0.697253279005066,NA,0.381539047955182,0.0745855756845317,NA,0.699718531419251,NA,NA,1.98345687134867,0.035675455692591,NA,NA,NA,NA,0.0623369523432297,NA,NA,5.99692697856341,NA,NA,5.83227012504144,NA,NA
"result.5",5,1536.97588890451,3107.95177780902,19.9981063954733,14.9991195830616,0.327926787597074,NA,NA,0.373015346762835,0.337184586138665,NA,0.0741094440611853,0.0590032926578124,NA,0.380938239297824,0.543908556869709,NA,0.235856811153932,0.0280731001410633,NA,0.500132518787328,NA,NA,1.99899626320189,0.121519993512592,NA,NA,NA,NA,3.99857367601222,NA,NA,5.73914025072008,NA,NA,2.38022396061569,NA,NA
"result.6",6,983.681135469527,2001.36227093905,12.1095644581793,14.968517605093,0.200007426515104,NA,NA,0.107889195746153,0.20565203541359,NA,0.030596877168864,0.00318869345680615,NA,0.69920295872153,0.699778805379937,NA,0.265674408675631,0.03883109132293,NA,0.541340367192002,NA,NA,0.0144785352413422,1.26341949712502,NA,NA,NA,NA,1.46959239279657,NA,NA,5.99364206729716,NA,NA,5.84254540570036,NA,NA
"result.7",7,1926.70338418473,3887.40676836945,8.21375002326478,9.75969605988142,0.450126079019487,NA,NA,0.357889632884828,0.306303283059865,NA,0.363462171502499,0.221983277676517,NA,0.356388252027883,0.179131755676071,NA,0.0197293984603361,0.0566429118495766,NA,0.502881284645191,NA,NA,1.01218887563231,1.6634825954222,NA,NA,NA,NA,3.20114249485697,NA,NA,4.53811470515486,NA,NA,0.00881812165241452,NA,NA
"result.8",8,2017.94661149319,4069.89322298639,9.05034996115084,6.06911499794962,0.59994685789308,NA,NA,0.353431523747856,0.218206634259876,NA,0.168031338595047,0.243596033387343,NA,0.365937836058326,0.102425731404847,NA,0.0894847702277933,0.560872437260699,NA,0.501319522829969,NA,NA,0.0512932199617021,0.974567558338033,NA,NA,NA,NA,1.32481165312869,NA,NA,3.68082715685517,NA,NA,0.532962068449706,NA,NA
"result.9",9,1922.66057891526,3879.32115783053,9.2590029662086,1.00233162993568,0.59974405843547,NA,NA,0.142703543006322,0.179262126066257,NA,0.564572845579764,0.15045825625789,NA,0.218268274096772,0.434135955482495,NA,0.0376086845788919,0.00828768538097468,NA,0.562584532506891,NA,NA,0.0530911348150354,0.76249580503389,NA,NA,NA,NA,1.90995501587167,NA,NA,0.0611186201182451,NA,NA,0.999236840888457,NA,NA
"result.10",10,1851.9085071257,3737.81701425141,14.8770283989318,14.8664591644197,0.599745201350724,NA,NA,0.160219833701286,0.283308089442134,NA,0.225156666969975,0.00146655756980181,NA,0.0148272229348191,0.0113120973677728,NA,0.0293931354102644,0.402780339938258,NA,0.518738586356991,NA,NA,0.2591644165166,1.53643622169468,NA,NA,NA,NA,1.36436224004174,NA,NA,0.206840970358214,NA,NA,2.43733047250851,NA,NA
