"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2151.13183757223,4322.26367514446,4.31007987352965,1.00002528525334,0.599999928606459,NA,NA,0.207466124907943,0.345675184288994,NA,0.137073554784263,NA,NA,0,NA,NA,0,NA,NA,0.594375102200907,NA,NA,0.786095643435679,1.747429404882,NA,NA,NA,NA,2.13502085351714,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1386.54989468596,2793.09978937192,19.9999811237368,14.9999975213465,0.200000188714108,NA,NA,0.133461789217618,0.191271804005424,NA,0.0101357349340532,NA,NA,0,NA,NA,0,NA,NA,0.687794310575822,NA,NA,4.11701819454782e-05,1.96046089911433,NA,NA,NA,NA,1.49514377140234,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1977.13997986009,3974.27995972018,10.3595245400868,11.9730829758604,0.518495361800045,NA,NA,0.126863736812602,0.265024394566508,NA,0.0258777033715331,NA,NA,0,NA,NA,0,NA,NA,0.500573429037262,NA,NA,0.0634628999666721,1.7495328128473,NA,NA,NA,NA,3.0641665106384,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,957.913054273648,1935.8261085473,19.9999999803989,14.9999980526266,0.200000003019838,NA,NA,0.0399828539662993,0.1112058237847,NA,5.76811239176152e-06,NA,NA,0,NA,NA,0,NA,NA,0.61526195598621,NA,NA,0.831556896671173,1.99999214400803,NA,NA,NA,NA,0.00160452861639271,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1545.91853269887,3111.83706539775,19.9989630763292,14.9999013638166,0.332215226136975,NA,NA,0.102680450706025,0.181151138058936,NA,0.0706115817613478,NA,NA,0,NA,NA,0,NA,NA,0.500000025824078,NA,NA,1.0619091468773,1.17093753836025,NA,NA,NA,NA,5.99870557478841,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,993.263574789629,2006.52714957926,12.2010372437828,14.9999999504913,0.200000000001723,NA,NA,0.010000000015495,0.0929793550095129,NA,0.0226004692198454,NA,NA,0,NA,NA,0,NA,NA,0.629382038235121,NA,NA,5.11647033803047e-09,1.99999999999465,NA,NA,NA,NA,5.99999982414031,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1928.12629098296,3876.25258196592,8.05209585381203,9.34658010138454,0.435741771846519,NA,NA,0.147904866954924,0.283506204771402,NA,0.159881788046184,NA,NA,0,NA,NA,0,NA,NA,0.50006247124504,NA,NA,0.701571234047497,0.748194437778642,NA,NA,NA,NA,5.47217021097528,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2020.23030356087,4060.46060712175,8.93860720500822,6.13088353611637,0.599999494387466,NA,NA,0.16397591939387,0.271360324960634,NA,0.265535031800838,NA,NA,0,NA,NA,0,NA,NA,0.570341451008716,NA,NA,6.84031423905438e-05,1.1107233628018,NA,NA,NA,NA,0.916903606445344,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1922.94228144774,3865.88456289549,8.73064706075954,1.00006547370798,0.599980809501529,NA,NA,0.154044960527614,0.235482300734456,NA,0.301504395097207,NA,NA,0,NA,NA,0,NA,NA,0.543096048840311,NA,NA,0.00018871179425665,0.303011633060575,NA,NA,NA,NA,1.7582243917782,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1852.32665339728,3724.65330679457,14.8004013455164,14.9994895599961,0.599980385898752,NA,NA,0.163810364260191,0.225429761966577,NA,0.0474477337016464,NA,NA,0,NA,NA,0,NA,NA,0.500187403367298,NA,NA,0.281326930431333,1.01934972567703,NA,NA,NA,NA,3.62859205146718,NA,NA,0,NA,NA,0,NA,NA
