"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2151.79581434052,4315.59162868104,4.01714845188299,1.00000000000024,0.599999999999996,NA,NA,0.138559216889697,0.214723589480348,0.123299000151657,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1387.03467509822,2786.06935019644,20,15,0.2,NA,NA,0.0966968563623703,0.131851282372879,0.0858856099263151,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1982.03235100503,3976.06470201005,10.8502101178912,11.7359474887073,0.524982328327175,NA,NA,0.0603416820852531,0.183946562411249,0.111988374859618,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,955.529841279499,1923.059682559,20,15,0.2,NA,NA,0.0108822336136862,0.0695738300064052,0.0391432278246501,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1548.81048718505,3109.62097437009,20,15,0.335606684488832,NA,NA,0.055774176062182,0.101693593647335,0.0567331992256231,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,995.600566602534,2003.20113320507,12.2356490300413,14.9999999999998,0.2,NA,NA,0.0100000000000001,0.0592745171756437,0.01,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1927.96444656661,3867.92889313322,7.02810562405921,4.34834382158823,0.368227852859601,NA,NA,0.11854315530757,0.159833396043917,0.068695520532309,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2020.49040418543,4052.98080837086,7.92807241604723,6.43197788287712,0.6,NA,NA,0.149730771154747,0.233607355588601,0.125098205579831,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1923.17147573692,3858.34295147383,8.02104638321022,1.00000000000001,0.599999999999999,NA,NA,0.145663611228797,0.209499767674579,0.118222468525123,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1853.29687401609,3718.59374803217,14.2925529079862,15,0.6,NA,NA,0.112304387290443,0.160920443841841,0.121874346533983,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
