"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2150.93302457524,4329.86604915047,4.14267385490654,1.01055899789917,0.599429924026713,NA,NA,0.230394144117463,0.294544489749845,NA,0.0456158766624501,NA,NA,0.317577068608596,NA,NA,0.0264743432326661,NA,NA,0.584447231175209,NA,NA,0.726081059117614,0.829573201946914,NA,NA,NA,NA,5.12570576831998,NA,NA,1.92173190694302,NA,NA,1.67729627290231,NA,NA
"result.2",2,1381.539343924,2791.078687848,19.999117293706,14.9993841132988,0.200005075338341,NA,NA,0.303185675111468,0.237785982131008,NA,0.0242266496978451,NA,NA,0.312917152833075,NA,NA,0.00515519292093813,NA,NA,0.669117110271588,NA,NA,0.00148120352089895,1.56422354606912,NA,NA,NA,NA,0.631258379161223,NA,NA,4.75637144408837,NA,NA,0.817370809455597,NA,NA
"result.3",3,1974.87672245042,3977.75344490083,10.0525015414946,12.1654897292812,0.509618245384347,NA,NA,0.216791529341912,0.388235584188872,NA,0.0134549257404231,NA,NA,0.0878508257607554,NA,NA,0.230554168020368,NA,NA,0.50001879115591,NA,NA,0.00555973014112559,1.99926083129009,NA,NA,NA,NA,0.191600801144481,NA,NA,3.89438782468788,NA,NA,4.02018049636362,NA,NA
"result.4",4,941.478900339574,1910.95780067915,19.9998964852348,14.9929590146931,0.200002379719132,NA,NA,0.399955563655589,0.282564875348062,NA,0.0115935574333544,NA,NA,0.698230921331576,NA,NA,0.0911424734034198,NA,NA,0.699286947030909,NA,NA,1.81635756407243,0.161078251462963,NA,NA,NA,NA,0.00199395932310173,NA,NA,5.99903899329931,NA,NA,3.79331921253787,NA,NA
"result.5",5,1537.35484877407,3102.70969754813,19.9999771689161,14.9979730709959,0.330927464881651,NA,NA,0.393985008336809,0.284552978212317,NA,0.0605513658828923,NA,NA,0.513806325391683,NA,NA,0.0977612385479909,NA,NA,0.500197402944338,NA,NA,1.99248750645807,0.0190220935673686,NA,NA,NA,NA,4.81098167057513,NA,NA,4.85316870594397,NA,NA,2.50502487676355,NA,NA
"result.6",6,983.954948019761,1995.90989603952,12.1103482536928,14.9985053980988,0.200000624989426,NA,NA,0.0779778875104922,0.273400729720432,NA,0.00526563938183447,NA,NA,0.699991597753611,NA,NA,0.152458806381888,NA,NA,0.51556472957091,NA,NA,0.000352440793378057,1.74266785848886,NA,NA,NA,NA,0.0818540781225881,NA,NA,5.99998388763628,NA,NA,5.72420878027761,NA,NA
"result.7",7,1926.8219274913,3881.64385498261,7.75993777784686,7.72934782376157,0.419082197308644,NA,NA,0.303595406432674,0.355909643239021,NA,0.115460855098836,NA,NA,0.331637186619703,NA,NA,0.000298059387362916,NA,NA,0.500588157753718,NA,NA,0.872007961536193,1.15533519155486,NA,NA,NA,NA,5.89091366417706,NA,NA,3.8192582003586,NA,NA,0.0143660744709091,NA,NA
"result.8",8,2018.44239476183,4064.88478952366,8.8226413465897,6.39851706265757,0.598936577699173,NA,NA,0.231379428292101,0.251534043026666,NA,0.101621702879531,NA,NA,0.537469335748613,NA,NA,0.000934756314381957,NA,NA,0.520361724968869,NA,NA,0.00669681228874103,0.494783398821221,NA,NA,NA,NA,1.89609699748247,NA,NA,1.74618090650812,NA,NA,0.0728210762859043,NA,NA
"result.9",9,1922.95346324214,3873.90692648427,8.60883991642535,1.00114873678887,0.599982320241565,NA,NA,0.216794450102038,0.33417591898603,NA,0.0945554226850802,NA,NA,0.0813807616614548,NA,NA,0.000333846363897682,NA,NA,0.65296569284983,NA,NA,0.00502907201573872,1.73975651618093,NA,NA,NA,NA,5.95660330795838,NA,NA,0.0810481377576751,NA,NA,1.79533762121693,NA,NA
"result.10",10,1852.20915720279,3732.41831440558,14.8323312150086,14.9429806318358,0.599990278146225,NA,NA,0.197268622536212,0.278024519578274,NA,0.0328232491233397,NA,NA,0.00504905968885128,NA,NA,0.160567633504199,NA,NA,0.50171001296781,NA,NA,0.344301438828993,1.28118440173493,NA,NA,NA,NA,5.11584994488604,NA,NA,0.129652397033815,NA,NA,2.93767330186729,NA,NA
