"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.47836671357,4344.95673342713,3.61046311316151,1.94364541327512,0.599867115579535,NA,NA,0.225972706585352,0.372758144177499,NA,0.0303965206681544,0.185835458338474,NA,0.404666212014854,0.0332887818338349,NA,0.0832519508051782,0.00916953609054597,NA,0.689084058283715,0.502939035180403,NA,0.0724922436592555,0.028486068372746,1.21717553586316,1.669489976685,NA,NA,0.165919357318937,3.13685076019014,NA,2.76535659025839,1.68842631953045,NA,0.839843455997228,2.37417596515049,NA
"result.2",2,1379.78872165678,2805.57744331357,19.9965193316172,14.999402866798,0.200283837352187,NA,NA,0.359535525510338,0.111693308953898,NA,0.104062237806695,0.0169361467781543,NA,0.388860928738117,0.403755117159709,NA,0.0204016804517811,0.0344803593016553,NA,0.658945453317306,0.583419827780338,NA,0.0113156096837638,0.541730681814736,0.0102021669896061,0.682244341209093,NA,NA,1.75220762116622,0.0284374190620431,NA,4.97125520283356,0.101044254562068,NA,0.529392996802926,2.04067786850556,NA
"result.3",3,1974.0052596934,3994.01051938681,10.8428408419446,11.2108979809502,0.500063653670856,NA,NA,0.37713472834365,0.336074270045321,NA,0.0178245584585654,0.079652010013756,NA,0.349753365906419,0.0112449938833679,NA,0.232217651632253,0.313179279451605,NA,0.503032764791345,0.501994524924508,NA,0.0019765674712975,1.9953068668038,0.0162745404732554,1.92526129818937,NA,NA,0.644983862120302,3.33567989813054,NA,3.14798846561462,0.299642440862954,NA,5.58989399950951,2.33305925963491,NA
"result.4",4,939.385967082697,1924.77193416539,19.9958992578647,14.9954482106338,0.200038543977548,NA,NA,0.274994746494107,0.262946980966857,NA,0.0099462869057751,0.00106847479976467,NA,0.457095702602597,0.694522750015762,NA,0.319154228856366,0.020622242544547,NA,0.698334711704021,0.54133095781406,NA,1.9018356174606,0.00157451691857891,1.97026106854901,1.98451444168408,NA,NA,0.427923725372559,0.229885997591177,NA,4.80994442431256,5.99962840775205,NA,5.69811232318548,1.95906220214986,NA
"result.5",5,1537.10423009413,3120.20846018826,19.9924523966445,14.9865849157481,0.326477079633805,NA,NA,0.352570587461837,0.349122466120782,NA,0.0571031097393387,0.0376929132280853,NA,0.486487707570836,0.606779301892584,NA,0.273866604303124,0.0338286110134816,NA,0.503164935985626,0.516071443127649,NA,1.98909333661506,0.156120481790995,1.98038093877879,0.374380682448873,NA,NA,3.3369608840208,2.53406923660724,NA,4.60152015684706,5.9095380949536,NA,2.35154729111843,3.68950882540743,NA
"result.6",6,983.724842829072,2013.44968565814,12.1287538075963,14.9740766570467,0.200014345038781,NA,NA,0.107562844869511,0.209741353242559,NA,0.00839950456782659,0.0193184844516451,NA,0.692846798578846,0.696054859088582,NA,0.277066263925119,0.0589798070085837,NA,0.696389563381988,0.515736291000276,NA,1.96689126465446,0.380179147516762,0.000926114345687038,1.83439959027096,NA,NA,2.09457019817554,0.0825194765431009,NA,5.98612304131557,5.93972465425951,NA,5.96241355229397,4.88058884563985,NA
"result.7",7,1926.56113549958,3899.12227099917,7.90752002828031,10.1456637561321,0.440251536752421,NA,NA,0.318743332340382,0.258695902026894,NA,0.298836109021831,0.300765494247001,NA,0.275183872230364,0.181038268608634,NA,0.0675143827113207,0.00646916652897342,NA,0.506621790193219,0.524064069254549,NA,1.46126071739497,0.0237286416174493,0.679276222749402,1.30892776760733,NA,NA,3.64183828566866,2.00990478944689,NA,5.15639145740848,4.03101219702512,NA,0.794691153552349,4.20166773368058,NA
"result.8",8,2017.58442258477,4081.16884516953,8.25335827551843,6.77049356702596,0.598295256403665,NA,NA,0.381876339550791,0.207863615284077,NA,0.0449408445814914,0.112487888899425,NA,0.266771592963487,0.664440097476136,NA,0.0200189804078719,0.185097203435781,NA,0.502827855954026,0.527718995142291,NA,0.520709584672777,1.50407180003822,0.0485904871578876,0.245971642770637,NA,NA,0.0720378582026613,2.05402605332563,NA,4.50210928394695,0.73599482849719,NA,0.189292010679001,1.69264239320532,NA
"result.9",9,1922.4491686339,3890.8983372678,9.18659882034629,1.00803869485411,0.595641876292298,NA,NA,0.273884028992597,0.189794258703478,NA,0.279763923899465,0.419154283892853,NA,0.0698137891321866,0.0580106640700251,NA,0.026368420713149,0.134072208063884,NA,0.531463141180575,0.553732686539071,NA,1.12783873301912,1.9550062052955,0.000388818124548986,0.739178433438979,NA,NA,3.98903392362549,0.675050676200346,NA,0.053167059469799,0.888451867059303,NA,2.57282595639593,0.791668276983753,NA
"result.10",10,1851.94489803174,3749.88979606348,14.9999097228031,14.5429591294369,0.599892204596384,NA,NA,0.151289932552259,0.225209960524852,NA,0.309263531131606,0.0182230338909455,NA,0.0321389754127409,0.0504414974883895,NA,0.00718114316942191,0.517989384601486,NA,0.508898961528259,0.501019489018548,NA,0.310582510542453,1.62165673363381,0.244283496385264,1.64935465436429,NA,NA,1.150518674473,0.745171208519124,NA,0.383600041616667,0.0977207224094587,NA,5.16103468496741,1.66933066059586,NA
