"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","phi1","phi2","phi3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2154.12974730885,4316.2594946177,3.6931905400396,3.69319054003906,0.731287270769629,NA,NA,0.0462360642502272,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1388.33945573682,2784.67891147364,20,15,0.136582248629118,NA,NA,0.0566911839515353,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1995.34418142182,3998.68836284364,10.5572180286399,10.5572180286398,0.517190360185285,NA,NA,0.0594401890707252,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,960.94498269497,1929.88996538994,20,14.9999999999999,0.117312069098734,NA,NA,0.0272720761631465,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1553.85373400756,3115.70746801512,20,15,0.336845891802609,NA,NA,0.035446657496863,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,1003.2595896156,2014.5191792312,11.1949489499165,10.3846416349665,0.1,NA,NA,0.016115377042729,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1937.75323315448,3883.50646630897,6.76579286207501,4.02588107014499,0.352222781216709,NA,NA,0.0591547714501339,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2027.46971144996,4062.93942289992,7.95593278672867,7.95593278672731,0.640761101365128,NA,NA,0.079529011723602,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1926.65733026257,3861.31466052515,9.02460704013048,4.44985904294922,0.78454111295654,NA,NA,0.0294268553411973,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1854.6972913757,3717.39458275139,14.9999999999987,14.9999999999987,0.626972639930022,NA,NA,0.0621672508437808,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
