"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","phi1","phi2","phi3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.50362287064,4311.00724574128,4.68382544326776,4.68381958386676,0.782806905959543,NA,NA,0.0143990043405832,0.170290938895326,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.20502297879743,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1382.90351875581,2777.80703751162,19.9999999999986,14.9999999999985,0.13749482602539,NA,NA,0.0506951243759142,0.0698231456362939,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.0165691422301874,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1984.17084922509,3980.34169845019,10.9695138529434,10.9695137188932,0.521039211620322,NA,NA,0.0490966400447642,0.105414811580392,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.208813908482647,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,951.634105673024,1915.26821134605,20,14.9999999999999,0.117276149034858,NA,NA,0.0203808547138131,0.0414158023963054,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.25164322943738e-15,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1548.01880019082,3108.03760038164,19.9999999999958,14.9999999999868,0.334811672864899,NA,NA,0.0365799804393631,0.0658532053587328,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.446432676501462,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,979.046308342041,1970.09261668408,11.4148145925571,11.2055098146672,0.100000000000008,NA,NA,0.00603647353613822,0.03705480235329,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.00226537128343e-15,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1928.77449917237,3869.54899834474,7.9845296755602,7.98452952110026,0.427717189718642,NA,NA,0.0643568632804426,0.122256474522227,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.817940612641765,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2020.29459735469,4052.58919470938,9.42088151795005,6.77880005523398,0.634015493898547,NA,NA,0.0813865366199356,0.143628339957541,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.3410829512921,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1921.03750691333,3854.07501382666,8.9364866221696,8.93648660969215,0.773738586715626,NA,NA,0.0253384564565587,0.150001192295757,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.17428077240302,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1853.04698668619,3718.09397337238,15.512590699235,14.9999999999919,0.627293711240584,NA,NA,0.0615925793769897,0.0878677279570494,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.174670177830964,NA,NA,0,NA,NA,0,NA,NA
