"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","phi1","phi2","phi3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,813.373169916191,1652.74633983238,14.7837958157873,1.00000006207994,0.100000022409542,NA,NA,0.499999996684791,0.499999995681429,NA,2.59258005804371e-08,NA,NA,4.0371176621276e-06,NA,NA,0.00066019386955813,NA,NA,2.73144088177928e-05,NA,NA,0.5,NA,NA,0.0572103962547947,NA,NA,NA,NA,NA,0.000250238009083336,NA,NA,1.0645552993192e-05,NA,NA,8.54743475059119e-05,NA,NA
"result.2",2,1377.13132523791,2780.26265047582,19.9956928751547,14.9927920640475,0.130826630376609,NA,NA,0.333162072742963,0.255601900462451,NA,0.760720444874083,NA,NA,0.164551238785937,NA,NA,0.318407693179324,NA,NA,0.0121889760445238,NA,NA,0.5,NA,NA,0.444813103895956,NA,NA,NA,NA,NA,0.412003811354596,NA,NA,4.35557996633734,NA,NA,2.27250120287929,NA,NA
"result.3",3,785.824589467793,1597.64917893559,5.33893002024241,1.00000720162521,0.100000030664616,NA,NA,0.499999937649733,0.499999984156943,NA,1.49861389042699e-08,NA,NA,0.00100212337518842,NA,NA,9.64809429660309e-05,NA,NA,2.23174152314625e-05,NA,NA,0.5,NA,NA,0.00413256200496459,NA,NA,NA,NA,NA,1.545775400563e-05,NA,NA,0.000435938458105488,NA,NA,0.0039640435501833,NA,NA
"result.4",4,936.938152219685,1899.87630443937,19.99999228643,14.9999940595666,0.128204265909125,NA,NA,0.492044391276526,0.343289694865141,NA,0.242553823114702,NA,NA,0.000519447912079776,NA,NA,0.81228957588294,NA,NA,0.199304931817552,NA,NA,0.5,NA,NA,0.0122207039030405,NA,NA,NA,NA,NA,0.117174133599481,NA,NA,3.93656776230082,NA,NA,5.71334488457069,NA,NA
"result.5",5,1532.45789418378,3090.91578836756,19.997491867237,14.9997467114868,0.325600970008082,NA,NA,0.499480888260051,0.376145373210848,NA,0.193689259151332,NA,NA,0.0813094253120104,NA,NA,0.502897949671656,NA,NA,0.101324213872135,NA,NA,0.5,NA,NA,8.63610947845115,NA,NA,NA,NA,NA,3.51948866979468,NA,NA,4.60938860532846,NA,NA,0.697369478854128,NA,NA
"result.6",6,968.790622270367,1963.58124454073,11.4449147021374,11.4424257574244,0.108893970468975,NA,NA,0.318386917738528,0.271157447541184,NA,0.0246316479077184,NA,NA,0.000881142467307913,NA,NA,0.793350517982617,NA,NA,0.0146318960469216,NA,NA,0.5,NA,NA,0.0406942105614041,NA,NA,NA,NA,NA,0.206865142040847,NA,NA,7.11881883935695,NA,NA,1.13911325311241,NA,NA
"result.7",7,777.254558022308,1580.50911604462,4.96251545677186,1.00001832577792,0.100000457228861,NA,NA,0.499999787731392,0.499999541510427,NA,2.23282747896773e-07,NA,NA,9.21619042038876e-05,NA,NA,2.53584284768977e-06,NA,NA,0.00175907156942002,NA,NA,0.5,NA,NA,0.0198977014763338,NA,NA,NA,NA,NA,0.000705409220376074,NA,NA,0.000354553365616771,NA,NA,5.73619705271625e-05,NA,NA
"result.8",8,752.633433199763,1531.26686639953,8.25805265085677,1.00000046148194,0.100000021731653,NA,NA,0.499999995332627,0.499999981735797,NA,8.0228404451035e-09,NA,NA,0.00025511881398263,NA,NA,3.36069574633776e-06,NA,NA,7.6829022047729e-06,NA,NA,0.5,NA,NA,0.0103303481178979,NA,NA,NA,NA,NA,1.30359454533558e-05,NA,NA,0.00027901758903108,NA,NA,0.000586932171025353,NA,NA
"result.9",9,735.753995682928,1497.50799136586,6.65730404777047,1.00000020442889,0.100000009084335,NA,NA,0.499999994890615,0.499999954479914,NA,2.82806048001751e-08,NA,NA,0.000188987218315473,NA,NA,0.000553267069457545,NA,NA,2.40771899971038e-06,NA,NA,0.5,NA,NA,0.0102759132217516,NA,NA,NA,NA,NA,4.46111707574433e-06,NA,NA,8.42571081160699e-06,NA,NA,0.0011675660531366,NA,NA
"result.10",10,712.232552246796,1450.46510449359,13.9244805341814,1.00000294202314,0.100000208850164,NA,NA,0.49999997634301,0.499999956359079,NA,1.03463413425429e-06,NA,NA,0.00113748258010017,NA,NA,0.000368100628795236,NA,NA,1.29663437016308e-06,NA,NA,0.5,NA,NA,0.0233644355636771,NA,NA,NA,NA,NA,0.000154776149757401,NA,NA,0.000441967620434285,NA,NA,0.00479238481170811,NA,NA
