"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","phi1","phi2","phi3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,813.373108979799,1644.7462179596,7.34342500956456,1.0000000000053,0.1000000000017,NA,NA,0.499999999999748,0.499999999999678,NA,0,NA,NA,2.6883023787325e-05,NA,NA,1.71521104294459e-06,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.89480126308002e-08,NA,NA,6.93600810021789e-07,NA,NA,0,NA,NA
"result.2",2,733.269589414694,1484.53917882939,10.4018321947836,1.41304879632615,0.100000000146894,NA,NA,0.499999999968591,0.499999999451028,NA,0,NA,NA,0.000690292243165896,NA,NA,1.56708430870681e-05,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.42957043804764e-07,NA,NA,2.61892947448167e-05,NA,NA,0,NA,NA
"result.3",3,785.824079761393,1589.64815952279,4.83540951953908,1.00000000009262,0.100000000002456,NA,NA,0.499999999999217,0.499999999999312,NA,0,NA,NA,2.03678572528733e-05,NA,NA,7.86771933125458e-07,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,2.60313354753561e-07,NA,NA,9.33105288576325e-07,NA,NA,0,NA,NA
"result.4",4,937.788688847041,1893.57737769408,19.9999998917328,14.9994270604999,0.130546347749727,NA,NA,0.286431444402772,0.168261136654309,NA,0,NA,NA,0.000200108366784339,NA,NA,0.823769481539361,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,2.63294129970527e-05,NA,NA,4.42663235745059,NA,NA,0,NA,NA
"result.5",5,803.825856792482,1625.65171358496,7.5140472863738,1.00000581699574,0.100000429706726,NA,NA,0.499999646568384,0.499999834301812,NA,0,NA,NA,2.24191024134093e-05,NA,NA,0.000174702413852253,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.000456648938918053,NA,NA,0.00141985742225225,NA,NA,0,NA,NA
"result.6",6,968.773368949458,1955.54673789892,11.4780043205057,11.4769877970074,0.109800047765242,NA,NA,0.337613777399611,0.275583314235648,NA,0,NA,NA,0.000844346495727787,NA,NA,0.936734685465766,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.000444020958006267,NA,NA,6.23359520068335,NA,NA,0,NA,NA
"result.7",7,777.252819110049,1572.5056382201,9.28662647004239,1.00000000001957,0.100000000005258,NA,NA,0.499999999998715,0.499999999984992,NA,0,NA,NA,6.74335984819438e-07,NA,NA,2.56677839968241e-06,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,6.45444741567603e-07,NA,NA,2.83792529529423e-08,NA,NA,0,NA,NA
"result.8",8,752.633369287774,1523.26673857555,12.7667604270466,1.00000000001246,0.100000000001372,NA,NA,0.499999999997592,0.499999999993911,NA,0,NA,NA,3.71996905643725e-06,NA,NA,3.54409461645622e-08,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.42425485060888e-07,NA,NA,6.74055521682304e-06,NA,NA,0,NA,NA
"result.9",9,735.753913039346,1489.50782607869,12.1455499019858,1.00000000008173,0.100000000002498,NA,NA,0.499999999997523,0.499999999996177,NA,0,NA,NA,3.35285583113637e-06,NA,NA,1.0875002237047e-05,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,7.86376828844324e-08,NA,NA,1.65242668793862e-07,NA,NA,0,NA,NA
"result.10",10,712.231271323378,1442.46254264676,10.2598158331935,1.00000000002665,0.100000000003634,NA,NA,0.499999999999182,0.499999999988901,NA,0,NA,NA,8.93545902924397e-06,NA,NA,2.9526199025449e-07,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,6.25805261645609e-08,NA,NA,1.04832819957453e-06,NA,NA,0,NA,NA
