"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","phi1","phi2","phi3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,1602.96578989526,3217.93157979053,8.56874211889973,1,0.1,NA,NA,0.5,0.5,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.26407903655897e-16,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1382.07738124983,2776.15476249965,19.9999999999931,14.9999999999775,0.136744759327693,NA,NA,0.119217113857388,0.163229232460519,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.406762803253683,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1570.60114227624,3153.20228455248,15.2887235556263,1.00000000000054,0.100000000000002,NA,NA,0.499999999999995,0.499999999999991,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.48753819208091e-14,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,951.634105673024,1915.26821134605,20,15,0.117276146252731,NA,NA,0.0407617090341253,0.0828316041972208,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.1969253776981e-14,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1542.15422584283,3096.30845168566,19.9999999999994,14.9999999999847,0.325778251367977,NA,NA,0.132858220038577,0.223675186785837,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.05832011905035,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,979.046308342041,1970.09261668408,11.4148143531782,11.2055109253482,0.100000000000011,NA,NA,0.0120729467450043,0.0741096056804506,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,4.74871916391646e-14,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1779.20118433287,3570.40236866574,7.04953479224794,1.13537679288222,0.1,NA,NA,0.152635595022253,0.5,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.26559648190807e-16,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,1503.85603970164,3019.71207940328,5.08327445594849,1.00000000000002,0.100000000000001,NA,NA,0.5,0.499999999999999,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,6.20170642507203e-16,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1449.15593212715,2910.31186425429,15.3167431657882,1,0.100000000000002,NA,NA,0.5,0.499999999999999,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.07392045303911e-15,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1421.67379029175,2855.34758058351,13.8872375528688,1.00000000000006,0.100000000000003,NA,NA,0.499999999999997,0.499999999999994,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.20343676960772e-15,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
