"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","phi1","phi2","phi3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,813.376859604898,1660.7537192098,7.92548583530186,1.00000092887655,0.100000488693929,NA,NA,0.499999463017997,0.499999222359696,NA,1.54297876731268e-06,1.80750814264399e-06,NA,0.00683141685806323,0.00021951160647393,NA,0.000765832350940501,0.000387189956367003,NA,0,NA,NA,0.5,NA,NA,0.0425957697672897,NA,0.0638017930087356,NA,NA,NA,2.62284679802014e-05,0.00257821507061769,NA,0.00049507458704309,0.00133368549168561,NA,0,NA,NA
"result.2",2,758.415302634925,1550.83060526985,2.20003838790581,1.43536722706553,0.100784494784006,NA,NA,0.497974866535515,0.488997526853685,NA,0.0148465975381077,0.00573705857481511,NA,0.0239174388676218,0.00367795669859891,NA,0.011268353430075,0.041058196220547,NA,0,NA,NA,0.5,NA,NA,0.0893135209654239,NA,0.369444716992229,NA,NA,NA,0.0410862522494904,0.2381374813649,NA,0.282229550029702,0.00689134700223804,NA,0,NA,NA
"result.3",3,785.837459184615,1605.67491836923,16.2390526595738,1.00005322068219,0.100004592791666,NA,NA,0.499996227907115,0.499999172089857,NA,1.35829306060426e-06,2.50904419947601e-08,NA,0.00152858875769761,6.86611361851871e-05,NA,0.000153985073270908,9.38715099584166e-05,NA,0,NA,NA,0.5,NA,NA,0.011920109502366,NA,0.0464512039004158,NA,NA,NA,0.000129641676315579,0.00200844459718136,NA,0.00086211748549736,0.00130247929247657,NA,0,NA,NA
"result.4",4,828.569516732865,1691.13903346573,19.7833752452153,1.12029731934204,0.100810896501971,NA,NA,0.25032825382511,0.496447530225851,NA,0.905126947639651,0.00222522687233981,NA,0.0765218668963078,0.00101320040103088,NA,0.61732543543104,0.00525709521025419,NA,0,NA,NA,0.5,NA,NA,2.98262419062667,NA,0.466413287213072,NA,NA,NA,0.210781681101031,0.0222170008210486,NA,1.509737592139,0.102177316521647,NA,0,NA,NA
"result.5",5,857.235326099573,1748.47065219915,17.8173342079522,1.19222231116146,0.123283320882576,NA,NA,0.498700581405062,0.499118286927997,NA,0.0103450816612527,0.00443361577563845,NA,0.0558173467870802,0.0569362458521918,NA,0.0857023954894359,0.0902924993569914,NA,0,NA,NA,0.5,NA,NA,0.047395379422876,NA,0.0510718631975255,NA,NA,NA,0.215182326501235,0.133052105113791,NA,0.162183395708524,0.0531574105843902,NA,0,NA,NA
"result.6",6,802.129197638014,1638.25839527603,12.0776044441238,1.00590527938184,0.100504098080555,NA,NA,0.398512381776465,0.497351312373238,NA,0.404005046121008,0.0115148062573245,NA,0.213880597832756,0.00567470271358668,NA,0.424255673794863,0.00383726554522495,NA,0,NA,NA,0.5,NA,NA,1.12514981838628,NA,0.130041239776889,NA,NA,NA,4.51996997939062,0.125264360703958,NA,9.4278636826596,0.0211287066748476,NA,0,NA,NA
"result.7",7,777.285342069533,1588.57068413907,10.696005572703,1.0006744821882,0.100000584953398,NA,NA,0.499999496670209,0.499997245918445,NA,4.85992798063191e-06,2.4515887905988e-05,NA,0.00113495912262112,0.00261120029105789,NA,0.000209359165889626,0.00143943278434298,NA,0,NA,NA,0.5,NA,NA,0.0124987641025625,NA,0.066207343304279,NA,NA,NA,0.00293347462733083,0.00884892748374164,NA,0.00491326833416167,0.00357905924204642,NA,0,NA,NA
"result.8",8,752.636442244457,1539.27288448891,2.99706073262043,1.0000149316128,0.10000124898029,NA,NA,0.499999959403022,0.499999268838716,NA,5.44050424008029e-07,8.70720998195957e-07,NA,0.000250676428648701,0.00827283290583987,NA,2.16571172075252e-05,0.000176641445912105,NA,0,NA,NA,0.5,NA,NA,0.0396998439203438,NA,0.0202193867169217,NA,NA,NA,0.000277245487657652,0.00018953602116969,NA,0.00186078294278652,0.00476461320292075,NA,0,NA,NA
"result.9",9,735.759672595633,1505.51934519127,2.69914916274138,1.00004989472733,0.100001341920092,NA,NA,0.499999793520249,0.499999201418989,NA,3.36233091861777e-07,3.86536412103095e-06,NA,0.00174919836709736,5.77154993191601e-05,NA,2.29168564495138e-05,0.000201094843515838,NA,0,NA,NA,0.5,NA,NA,0.00933943400937137,NA,0.0313216202960998,NA,NA,NA,0.000261571884598669,0.000929460510621431,NA,0.00231948574698429,0.000147398930356678,NA,0,NA,NA
"result.10",10,712.237670612443,1458.47534122489,3.25981374982656,1.00000746413737,0.100001851057096,NA,NA,0.499999842223831,0.499999868035876,NA,5.17267336658316e-06,2.06373158962079e-06,NA,0.00236084417663224,2.79460018896423e-05,NA,0.000378440002478328,0.000686762652875789,NA,0,NA,NA,0.5,NA,NA,0.0263646201986027,NA,0.0454882399356207,NA,NA,NA,0.000576933999050115,0.0149504976965287,NA,0.00353219228995078,0.000827495831970375,NA,0,NA,NA
