"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","phi1","phi2","phi3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.72489850644,4315.44979701288,4.66857633109355,4.66857251900184,0.741378198557043,NA,NA,0.0766324968764354,0.21263740397912,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.624528150507838,NA,NA,0.328854101532291,0.902751265385466,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1380.38340328599,2776.76680657197,19.9999997315885,14.9999992293574,0.136226216280048,NA,NA,0.118554193170682,0.170640231004428,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.527253268605235,NA,NA,0.525397140153346,0.0874120719691293,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1978.22078365933,3972.44156731866,11.0050828232771,11.0050479922144,0.507028772599914,NA,NA,0.149514817356563,0.257984385115374,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000014656358,NA,NA,0.764644653602543,2.99999270271965,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,949.576218928444,1915.15243785689,19.999999999999,14.9999999999504,0.116556458733505,NA,NA,0.046277006877422,0.0830626142210521,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.589543495365671,NA,NA,3.2209095213178e-12,1.18642688468719,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1542.15134206294,3100.30268412588,19.9999999195628,14.9999991095164,0.325775146813052,NA,NA,0.133120988673869,0.223004157377691,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000095853263,NA,NA,2.04843861812834,2.11800818014746,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,978.865909669365,1973.73181933873,11.3981124193685,11.3981122878634,0.100000000538152,NA,NA,0.0134048013803971,0.0739960395628208,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000000086266,NA,NA,8.35741943595324e-10,1.44799640261725,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1927.79338612627,3871.58677225255,7.04185711415371,5.67417159724556,0.383943371418756,NA,NA,0.147790940547542,0.267607914773214,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500002342949998,NA,NA,1.44124147492665,0.675525368418442,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2018.27985009582,4052.55970019163,8.53452212952465,7.62140769940383,0.627536183804045,NA,NA,0.214568241902854,0.337763714331253,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000217413718,NA,NA,0.978363093904846,1.99335392559201,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1921.800792687,3859.601585374,8.6743211445369,8.67432087460722,0.790295843325284,NA,NA,1.85572042369136e-09,0.151322610737013,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000035156638,NA,NA,5.73840556537314e-08,1.90742944227532,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1850.170459593,3716.340919186,15.0000040046963,14.9999963782538,0.62068253290483,NA,NA,0.144410022097844,0.174893521464721,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000355353037,NA,NA,0.223865426756053,2.54946600735639,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
