"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","phi1","phi2","phi3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2150.23202600816,4310.46405201632,4.50485730822505,4.50485730822322,0.751867726127729,NA,NA,0.0240394806000303,0.0894204581107345,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1382.90759342132,2775.81518684264,20,15,0.137516449276374,NA,NA,0.0501993275267757,0.069164113566509,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1984.34257396901,3978.68514793802,10.7342546791924,10.734254679192,0.51712911878589,NA,NA,0.0438440234351237,0.0926606585727836,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,951.634105673023,1913.26821134605,20,15,0.117276146818053,NA,NA,0.0203808548713099,0.0414158014578357,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1548.81229712623,3107.62459425246,19.9999999999999,15,0.335565594726284,NA,NA,0.0281419473800184,0.0508506078502106,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,979.046308342041,1968.09261668408,11.4148143875267,11.205511353199,0.100000000000006,NA,NA,0.00603647278615924,0.0370548028672444,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1930.62220109084,3871.24440218168,6.81919543440892,6.4494996277774,0.399889880844264,NA,NA,0.0406938333564734,0.0764729357233247,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2020.59574838132,4051.19149676265,8.40529199098727,7.34871719455446,0.634757744423625,NA,NA,0.0645127224402922,0.115544562746934,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1921.800792524,3853.60158504799,8.6752893851981,8.67528938519009,0.790298633084129,NA,NA,6.72671578125733e-14,0.07565951430736,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1853.1337206196,3716.26744123921,15.1768196011621,14.9999999999998,0.626078297667451,NA,NA,0.0556103579492598,0.0790855896187064,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
