"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","phi1","phi2","phi3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2150.02891971415,4312.0578394283,4.37940824753512,4.37940574770673,0.74216835283628,NA,NA,0.0847942320809655,0.150674737929952,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,1.35212392929843,NA,NA,0,NA,NA
"result.2",2,1377.49114788712,2766.98229577425,19.9999999999847,14.9999999967797,0.137279001988512,NA,NA,0.153803737735531,0.121961527920765,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,1.37210151069802,NA,NA,0,NA,NA
"result.3",3,1983.09863432045,3978.1972686409,10.5475272923401,10.5475092824499,0.514760317876103,NA,NA,0.142338619145752,0.16496083445727,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,1.45991732476164,NA,NA,0,NA,NA
"result.4",4,937.786955837095,1887.57391167419,19.9999999998958,14.9999999966161,0.131602800471821,NA,NA,0.287777104687287,0.169222289577555,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,3.66355576909994,NA,NA,0,NA,NA
"result.5",5,1539.80448619688,3091.60897239376,19.9999999995014,14.9999999939994,0.336994011041494,NA,NA,0.311474627598936,0.177684123064352,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,3.12301908965827,NA,NA,0,NA,NA
"result.6",6,968.772299162522,1949.54459832504,11.4772699531058,11.4772699365911,0.110006691883577,NA,NA,0.332777383208537,0.274935036698548,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,5.82206542435332,NA,NA,0,NA,NA
"result.7",7,1928.62173452486,3869.24346904973,6.78891631201005,5.30227258834292,0.381723067853284,NA,NA,0.125764761722623,0.137186809869441,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,1.32171040140157,NA,NA,0,NA,NA
"result.8",8,2018.34674272663,4048.69348545326,8.74912775832319,7.18254642303316,0.633826122288149,NA,NA,0.241156937789193,0.224730787846752,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,1.60846839862778,NA,NA,0,NA,NA
"result.9",9,1921.76915682039,3855.53831364078,8.72882260468821,8.72882256705552,0.7905636813423,NA,NA,2.13879451904615e-09,0.109855086538272,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0.895239864286802,NA,NA,0,NA,NA
"result.10",10,1853.1337206196,3718.26744123921,15.176818051898,15,0.626078281409705,NA,NA,0.0556103591878318,0.0790855969850704,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,3.86394812217312e-14,NA,NA,0,NA,NA
