"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","phi1","phi2","phi3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2148.45368072036,4318.90736144071,4.50707971158089,4.48977113337508,0.748646611766214,NA,NA,0.344166658908554,0.219763112907946,NA,0,NA,NA,0.00135689035277242,0.948524852835545,NA,0.69700569672779,0.0173730749400489,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.54836324875482,NA,NA,3.3951032284157,NA,NA,0,NA,NA
"result.2",2,1376.30675266436,2774.61350532873,19.9995164398619,14.9997854199169,0.13511325086861,NA,NA,0.189435742336154,0.0743000903706649,NA,0,NA,NA,0.100476216483817,0.0785067839600482,NA,0.763110898810747,0.0594253463346605,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.008663028301653,NA,NA,1.86169098383623,NA,NA,0,NA,NA
"result.3",3,1981.09433130858,3984.18866261716,10.893856047858,10.7618983460899,0.523307985192015,NA,NA,0.278578741881073,0.141752515668625,NA,0,NA,NA,0.00216115096508711,0.984880349187551,NA,0.905003785955146,0.121653756819153,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.579575868648459,NA,NA,2.40556695344771,NA,NA,0,NA,NA
"result.4",4,932.823858102447,1887.64771620489,19.9987554537955,14.9937735327016,0.124496523116867,NA,NA,0.0965384829292767,0.379334280333007,NA,0,NA,NA,0.651435393374413,0.285203727630023,NA,0.206751810977426,0.606673846243301,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.00332129068878351,NA,NA,9.4406406278722,NA,NA,0,NA,NA
"result.5",5,1539.34516905752,3100.69033811504,19.9999040217137,14.9994636437275,0.329394486115908,NA,NA,0.295323673964086,0.225032120025865,NA,0,NA,NA,0.39482835411639,0.161692321998999,NA,0.519201257362139,0.533628027726911,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.905526868090199,NA,NA,4.875321164522,NA,NA,0,NA,NA
"result.6",6,968.267369949206,1958.53473989841,11.5126963938469,11.508843837019,0.111659323909612,NA,NA,0.498319787567948,0.22161846247036,NA,0,NA,NA,0.0508015611214367,0.368438194957416,NA,0.963326843921095,0.77353465432699,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.0284052888319984,NA,NA,7.17257209122181,NA,NA,0,NA,NA
"result.7",7,1927.08084616591,3876.16169233182,8.00323274354922,7.93653319871206,0.422265890711327,NA,NA,0.175079104659862,0.180340785916974,NA,0,NA,NA,0.474395222059263,0.148675066497664,NA,0.611982130846541,0.400120474803992,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,2.23015340699615,NA,NA,1.90499294790931,NA,NA,0,NA,NA
"result.8",8,2017.44214870356,4056.88429740712,10.1660422330718,6.46751160054861,0.632363102757713,NA,NA,0.401038213635158,0.324565879062581,NA,0,NA,NA,0.247299689858986,0.292219168621008,NA,0.843821387484656,0.663989373106353,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.87547638911074,NA,NA,2.38700464966022,NA,NA,0,NA,NA
"result.9",9,1919.39476345711,3860.78952691423,11.6613276304757,11.6172130836805,0.772401628461716,NA,NA,0.1635199763962,0.177901640945124,NA,0,NA,NA,0.997223200425798,0.188675534503294,NA,0.000312392534898242,0.92784557290672,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,4.99995260997616,NA,NA,0.852005672506399,NA,NA,0,NA,NA
"result.10",10,1852.99955520617,3727.99911041234,15.4791063257775,14.9532722272354,0.623261831842604,NA,NA,0.06902727339742,0.0873870217398702,NA,0,NA,NA,0.168619116017873,0.0846553390668646,NA,0.141680222860556,0.773837929204209,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.592271309401953,NA,NA,0.0924095070209694,NA,NA,0,NA,NA
