"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","phi1","phi2","phi3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.15018459191,4316.30036918381,4.56142492449434,4.56020326347785,0.791830468396019,NA,NA,9.96359957111569e-06,0.493326399384046,NA,0.452953135266423,NA,NA,0.522932619133514,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.86071026869315,NA,NA,NA,NA,NA,3.7444560044153,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1382.07701122014,2782.15402244028,19.9999633353233,14.999935806868,0.136798308454448,NA,NA,0.119155754115403,0.163227364012555,NA,0.962842383887619,NA,NA,0.00187753474024677,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.406330315648172,NA,NA,NA,NA,NA,1.69692823148635,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1981.866582994,3981.73316598801,11.1999212995939,11.1989492727078,0.525826282115584,NA,NA,0.1421442140149,0.306071333693756,NA,0.485335765325663,NA,NA,0.0756337532620421,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.45102187018198,NA,NA,NA,NA,NA,1.89724655651644,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,951.634240283711,1921.26848056742,19.9999968869334,14.9997448065446,0.117280680509015,NA,NA,0.0405785653005178,0.0824930925451997,NA,0.499233264862701,NA,NA,0.00299559044619852,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,8.58035123981328e-05,NA,NA,NA,NA,NA,7.37623072791678e-05,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1540.78101102946,3099.56202205893,19.999877227342,14.9999929717732,0.326381848135728,NA,NA,0.164572096707016,0.276745051070848,NA,0.939340431757218,NA,NA,0.220658020435818,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.68506168251397,NA,NA,NA,NA,NA,2.55827678792957,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,979.046326351401,1976.0926527028,11.4152914141459,11.1927877487346,0.100000585994072,NA,NA,0.0120651285184952,0.0740618849949537,NA,0.293920180797441,NA,NA,0.000109270848278359,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,7.9879877144939e-07,NA,NA,NA,NA,NA,0.0061247772367827,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1926.3190880703,3870.63817614059,8.20102011823942,8.17375997220065,0.425816199522029,NA,NA,0.18088675055333,0.321494301667573,NA,0.992791874567047,NA,NA,0.431326008401811,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.7919628076944,NA,NA,NA,NA,NA,2.16200585563866,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2018.83463359468,4055.66926718937,8.80899053137991,6.80319209277029,0.62390416374464,NA,NA,0.216250651472797,0.364041702884839,NA,0.439571447548667,NA,NA,0.0651828483734127,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.30366042143083,NA,NA,NA,NA,NA,2.38206466975454,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1921.04407567605,3860.08815135211,8.76286764818207,8.75393241035509,0.774245660545965,NA,NA,0.0383538584100456,0.252800319518803,NA,0.925899973426512,NA,NA,0.319699339843153,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.0135143112856895,NA,NA,NA,NA,NA,3.90039837822899,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1852.56654364286,3723.13308728571,15.9102174439066,14.999994299902,0.628041170519304,NA,NA,0.147889927261821,0.211477742823949,NA,0.46442722273082,NA,NA,0.0851977048348015,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.711080541863658,NA,NA,NA,NA,NA,2.6383130515981,NA,NA,0,NA,NA,0,NA,NA
