"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","phi1","phi2","phi3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.158490752,4320.316981504,4.57780144858571,4.56512988090708,0.791818395013057,NA,NA,0.00157259601092345,0.481112736471339,NA,0.511537312177822,NA,NA,0.512836312855088,NA,NA,0.00431393006914514,NA,NA,0,NA,NA,0.5,NA,NA,1.49754133247367,NA,NA,NA,NA,NA,3.92750322672934,NA,NA,0.301215174728234,NA,NA,0,NA,NA
"result.2",2,1376.77908421279,2775.55816842558,19.9998761773916,14.9995362763502,0.136530473259352,NA,NA,0.224720349533015,0.177387318529797,NA,0.508567374032582,NA,NA,0.242822362412709,NA,NA,0.693514784181586,NA,NA,0,NA,NA,0.5,NA,NA,0.96171081087327,NA,NA,NA,NA,NA,0.0628440379981809,NA,NA,2.408636622405,NA,NA,0,NA,NA
"result.3",3,1980.91850856446,3983.83701712892,10.8770066526852,10.846462053767,0.518268182260821,NA,NA,0.277554537325539,0.346661078956856,NA,0.50860547755189,NA,NA,0.0631100601410738,NA,NA,0.770480001387429,NA,NA,0,NA,NA,0.5,NA,NA,3.18828128821208,NA,NA,NA,NA,NA,2.10718566460849,NA,NA,1.99106671161296,NA,NA,0,NA,NA
"result.4",4,937.789579175266,1897.57915835053,19.9999841346355,14.9999479050849,0.132235411763101,NA,NA,0.399451196763333,0.233430208612667,NA,0.640877155936599,NA,NA,0.0658941467639504,NA,NA,0.733779726075735,NA,NA,0,NA,NA,0.5,NA,NA,0.00119448785943285,NA,NA,NA,NA,NA,0.000379472357431167,NA,NA,6.21541728591688,NA,NA,0,NA,NA
"result.5",5,1532.60430870451,3087.20861740902,19.9998801560808,14.9999239170889,0.318654232044559,NA,NA,0.499171593005133,0.396644995689742,NA,0.738450052278273,NA,NA,0.36194615085792,NA,NA,0.961697199149057,NA,NA,0,NA,NA,0.5,NA,NA,4.94146028662249,NA,NA,NA,NA,NA,1.55824838594133,NA,NA,3.39317881505685,NA,NA,0,NA,NA
"result.6",6,968.77462693774,1959.54925387548,11.5011965072529,11.499239407748,0.109973545232194,NA,NA,0.459702325053513,0.383260320112308,NA,0.831322444823418,NA,NA,0.0431970104318648,NA,NA,0.86395015159183,NA,NA,0,NA,NA,0.5,NA,NA,0.00051924754409231,NA,NA,NA,NA,NA,0.00449361025935147,NA,NA,9.24804105078172,NA,NA,0,NA,NA
"result.7",7,1924.98000862904,3871.96001725808,8.02224937852211,7.61770147830441,0.414016727487902,NA,NA,0.391543193976372,0.470044896176286,NA,0.895335455155754,NA,NA,0.261431934885247,NA,NA,0.110197687664226,NA,NA,0,NA,NA,0.5,NA,NA,1.7464996984601,NA,NA,NA,NA,NA,3.05020788776268,NA,NA,9.2906332727357,NA,NA,0,NA,NA
"result.8",8,2016.34409799841,4054.68819599682,9.54743645750106,6.44216212692994,0.621264137299466,NA,NA,0.478595547378311,0.442246328108013,NA,0.159831883071332,NA,NA,0.171705045494344,NA,NA,0.470443790232676,NA,NA,0,NA,NA,0.5,NA,NA,4.30605606172951,NA,NA,NA,NA,NA,1.6545614733311,NA,NA,2.8714177483488,NA,NA,0,NA,NA
"result.9",9,1921.00044010427,3864.00088020854,9.09333579435476,9.06015938537741,0.772940166595162,NA,NA,0.0623188232155618,0.248543130341718,NA,0.581523857968926,NA,NA,0.972717469870695,NA,NA,0.701184059643474,NA,NA,0,NA,NA,0.5,NA,NA,0.0220728607382625,NA,NA,NA,NA,NA,2.28306860151152,NA,NA,1.67308106552809,NA,NA,0,NA,NA
"result.10",10,1852.58463614883,3727.16927229766,15.7589802001767,14.978265481645,0.628795740184296,NA,NA,0.142261009622833,0.204144011692429,NA,0.533593197755102,NA,NA,0.132071165121314,NA,NA,0.019074417917626,NA,NA,0,NA,NA,0.5,NA,NA,0.759541709419146,NA,NA,NA,NA,NA,1.68568855144468,NA,NA,1.36505768994908,NA,NA,0,NA,NA
