"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","phi1","phi2","phi3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.83093051781,4317.66186103561,4.40577271230985,4.40473613199534,0.746019081934578,NA,NA,0.227771318241319,0.349985898153285,NA,0.366893863423198,NA,NA,0,NA,NA,0.319087812269827,NA,NA,0,NA,NA,0.5,NA,NA,1.45420869043872,NA,NA,NA,NA,NA,0,NA,NA,4.76890376497536,NA,NA,0,NA,NA
"result.2",2,1376.77687567711,2771.55375135421,19.9998883930881,14.9999990876656,0.136259787143694,NA,NA,0.205187602068298,0.167677595322208,NA,0.365806005530843,NA,NA,0,NA,NA,0.881519746035337,NA,NA,0,NA,NA,0.5,NA,NA,1.13386626287031,NA,NA,NA,NA,NA,0,NA,NA,1.73817914677784,NA,NA,0,NA,NA
"result.3",3,1980.98544585931,3979.97089171862,10.8596020366045,10.8341520834595,0.518956311099497,NA,NA,0.340774362235612,0.408502388047054,NA,0.417509684094495,NA,NA,0,NA,NA,0.221260373946279,NA,NA,0,NA,NA,0.5,NA,NA,1.86180228272067,NA,NA,NA,NA,NA,0,NA,NA,5.42594900497753,NA,NA,0,NA,NA
"result.4",4,937.787778901207,1893.57555780241,19.9999980546124,14.9999328614492,0.131417202058327,NA,NA,0.316371807094589,0.184804331705422,NA,0.12180435681292,NA,NA,0,NA,NA,0.917967829117136,NA,NA,0,NA,NA,0.5,NA,NA,0.00073751725206993,NA,NA,NA,NA,NA,0,NA,NA,4.15316848546363,NA,NA,0,NA,NA
"result.5",5,1533.00465271334,3084.00930542669,19.9999690034911,14.9999961560321,0.321533149415713,NA,NA,0.499947996031883,0.354013726980764,NA,0.203907900029322,NA,NA,0,NA,NA,0.380099480668986,NA,NA,0,NA,NA,0.5,NA,NA,4.9854684015736,NA,NA,NA,NA,NA,0,NA,NA,4.62637856792398,NA,NA,0,NA,NA
"result.6",6,968.773619615347,1955.54723923069,11.5009291868596,11.4999211661967,0.110276556162009,NA,NA,0.423426086646562,0.348953459222946,NA,0.401199488302144,NA,NA,0,NA,NA,0.751765986001226,NA,NA,0,NA,NA,0.5,NA,NA,2.57900824690052e-05,NA,NA,NA,NA,NA,0,NA,NA,8.50552423927023,NA,NA,0,NA,NA
"result.7",7,1926.69685900983,3871.39371801966,6.91308505908129,5.58903077434661,0.378460830404761,NA,NA,0.246873005229688,0.272975867282256,NA,0.127164337493947,NA,NA,0,NA,NA,0.171890060349169,NA,NA,0,NA,NA,0.5,NA,NA,2.81699160903665,NA,NA,NA,NA,NA,0,NA,NA,4.0032418102298,NA,NA,0,NA,NA
"result.8",8,2016.80289201314,4051.60578402628,8.87461126120891,6.71939510676691,0.62800009305342,NA,NA,0.470368883805349,0.428601565555617,NA,0.33464485835547,NA,NA,0,NA,NA,0.969357874864369,NA,NA,0,NA,NA,0.5,NA,NA,4.0382273636545,NA,NA,NA,NA,NA,0,NA,NA,2.12067718183075,NA,NA,0,NA,NA
"result.9",9,1921.77089238765,3861.5417847753,8.73772452902934,8.73734380251559,0.78969842255273,NA,NA,0.000518222857383318,0.178199402001592,NA,0.980965631567277,NA,NA,0,NA,NA,0.394037546589971,NA,NA,0,NA,NA,0.5,NA,NA,0.00168412664246063,NA,NA,NA,NA,NA,0,NA,NA,2.36599423445736,NA,NA,0,NA,NA
"result.10",10,1852.73863068841,3723.47726137683,15.6038403512675,14.9995526543773,0.625811862590326,NA,NA,0.143378150119149,0.202277548475697,NA,0.865475862507994,NA,NA,0,NA,NA,0.00354731274859507,NA,NA,0,NA,NA,0.5,NA,NA,0.579905437761958,NA,NA,NA,NA,NA,0,NA,NA,0.533809187605909,NA,NA,0,NA,NA
