"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","phi1","phi2","phi3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.50219122529,4321.00438245058,4.55037018552968,4.54823487139642,0.750656832331572,NA,NA,0.455732545315348,0.272571021917883,NA,0.314749717494747,0.918983806582594,NA,0,NA,NA,0.840843024316718,0.0636478154444485,NA,0,NA,NA,0.5,NA,NA,0.893970972838027,NA,NA,NA,NA,NA,0,NA,NA,4.48638711139449,NA,NA,0,NA,NA
"result.2",2,1375.39707870029,2772.79415740059,19.9997484174854,14.9966247577678,0.136208679200806,NA,NA,0.366587920969996,0.158822875167257,NA,0.687057439703494,0.237735608913491,NA,0,NA,NA,0.538684582614553,0.0831634014914724,NA,0,NA,NA,0.5,NA,NA,0.569517278755084,NA,NA,NA,NA,NA,0,NA,NA,3.69244981529294,NA,NA,0,NA,NA
"result.3",3,1979.54940000331,3981.09880000661,10.9635849383677,10.9359984764836,0.521517562203073,NA,NA,0.471124029306626,0.350115463531899,NA,0.79541914173167,0.90506868972443,NA,0,NA,NA,0.447008617707141,0.0216005994954956,NA,0,NA,NA,0.5,NA,NA,1.5813382509607,NA,NA,NA,NA,NA,0,NA,NA,4.68855509482949,NA,NA,0,NA,NA
"result.4",4,932.792701047456,1887.58540209491,19.9996383587055,14.995126842874,0.125233840595579,NA,NA,0.177815993767239,0.482261923322602,NA,0.796409252905596,0.110965634901818,NA,0,NA,NA,0.28331414893223,0.900021897003621,NA,0,NA,NA,0.5,NA,NA,0.0577402081542677,NA,NA,NA,NA,NA,0,NA,NA,7.56435045779006,NA,NA,0,NA,NA
"result.5",5,1531.90128170079,3085.80256340159,19.9999249738403,14.9999976625796,0.321675499313034,NA,NA,0.498598662437871,0.472368869822703,NA,0.384304216131568,0.469602279832763,NA,0,NA,NA,0.378632924502569,0.970132393958673,NA,0,NA,NA,0.5,NA,NA,4.6507559530437,NA,NA,NA,NA,NA,0,NA,NA,4.633461257464,NA,NA,0,NA,NA
"result.6",6,968.262129085094,1958.52425817019,11.5059469231221,11.5053616117482,0.112694963195806,NA,NA,0.496711642059607,0.272730479434978,NA,0.058492088889709,0.493769119953838,NA,0,NA,NA,0.944787600991978,0.826731789466723,NA,0,NA,NA,0.5,NA,NA,0.000256029821175041,NA,NA,NA,NA,NA,0,NA,NA,7.13266021503508,NA,NA,0,NA,NA
"result.7",7,1923.69145140404,3869.38290280808,6.9187970591662,6.14134790282875,0.388175180369985,NA,NA,0.279209056163865,0.126485777275654,NA,0.93611263590435,0.015285256279222,NA,0,NA,NA,0.64720795638444,0.902929779534565,NA,0,NA,NA,0.5,NA,NA,4.68891719053499,NA,NA,NA,NA,NA,0,NA,NA,1.07230361407296,NA,NA,0,NA,NA
"result.8",8,2015.49924083001,4052.99848166001,8.23449733220262,8.22619665955333,0.632158187758037,NA,NA,0.462508341437622,0.287061792615304,NA,0.882787549635395,0.0815172409638762,NA,0,NA,NA,0.286020763598854,0.791305922577747,NA,0,NA,NA,0.5,NA,NA,3.84160648446694,NA,NA,NA,NA,NA,0,NA,NA,1.88693241704179,NA,NA,0,NA,NA
"result.9",9,1921.53715303319,3865.07430606638,8.68429845590838,8.68117506561323,0.783408403024091,NA,NA,0.498286126279501,0.150241973086061,NA,0.068768201701346,0.0757466767689227,NA,0,NA,NA,0.665881557390094,0.0479866404176193,NA,0,NA,NA,0.5,NA,NA,0.036222856349612,NA,NA,NA,NA,NA,0,NA,NA,7.20342028863757,NA,NA,0,NA,NA
"result.10",10,1852.70177978851,3727.40355957702,15.363573801818,14.9960647722441,0.628466865525066,NA,NA,0.118298462121747,0.124372029759921,NA,0.619271172258955,0.0876639295890331,NA,0,NA,NA,0.289016983351331,0.127747837806764,NA,0,NA,NA,0.5,NA,NA,0.968912551823714,NA,NA,NA,NA,NA,0,NA,NA,0.0560732939810143,NA,NA,0,NA,NA
