"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","phi1","phi2","phi3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2148.21604481277,4324.43208962555,4.54231311773195,4.52726118297778,0.751347557323325,NA,NA,0.465012829929872,0.392848176410312,NA,0.109215115429834,0.12897954112897,NA,0.0012451987558794,0.442759084468733,NA,0.525297339794042,0.00545762203896473,NA,0,NA,NA,0.5,NA,NA,3.61425254904193,NA,NA,NA,NA,NA,2.62307362795822,NA,NA,4.4082830020953,NA,NA,0,NA,NA
"result.2",2,1375.4373908368,2778.87478167359,19.9999010623751,14.99785722098,0.134659099265612,NA,NA,0.316309619238085,0.160276710206273,NA,0.848399322971571,0.299086056546095,NA,0.81763040763326,0.0591284411734094,NA,0.678142448247298,0.0856147489501746,NA,0,NA,NA,0.5,NA,NA,0.734809192118026,NA,NA,NA,NA,NA,0.447059438779416,NA,NA,3.67274697651353,NA,NA,0,NA,NA
"result.3",3,1978.53549858442,3985.07099716884,11.0352739301044,10.8864650774424,0.521656134003346,NA,NA,0.499873567981748,0.298776922887191,NA,0.404626021639577,0.21951426161633,NA,0.000801453886774943,0.31559252878651,NA,0.60608236118902,0.027972534640542,NA,0,NA,NA,0.5,NA,NA,3.36199039709754,NA,NA,NA,NA,NA,1.30389352104612,NA,NA,3.43977980594337,NA,NA,0,NA,NA
"result.4",4,932.81273207457,1893.62546414914,19.9985766983416,14.9997750345068,0.126134358681396,NA,NA,0.146162810036913,0.412258385861434,NA,0.768218675248002,0.0874311270786214,NA,0.220040206083704,0.1998347705411,NA,0.260752449475609,0.870821935419215,NA,0,NA,NA,0.5,NA,NA,0.092058241835552,NA,NA,NA,NA,NA,0.00917235954675137,NA,NA,8.1534408198148,NA,NA,0,NA,NA
"result.5",5,1531.40584242625,3090.8116848525,19.9995323545191,14.9981556313561,0.317193645500544,NA,NA,0.49814615524094,0.494315597139474,NA,0.930416162879569,0.63598603879971,NA,0.882502415623464,0.565073086645353,NA,0.491577274210222,0.933900080772092,NA,0,NA,NA,0.5,NA,NA,4.96916206669994,NA,NA,NA,NA,NA,0.622294306280504,NA,NA,5.58423941979227,NA,NA,0,NA,NA
"result.6",6,968.254588065388,1964.50917613078,11.5573721243992,11.5544485983167,0.113373950044693,NA,NA,0.496624607700592,0.261353094029653,NA,0.015074021643677,0.423092889887887,NA,0.121335834261158,0.0853987292223006,NA,0.778605335608539,0.635275928959912,NA,0,NA,NA,0.5,NA,NA,0.00654979033595403,NA,NA,NA,NA,NA,0.00804376485233721,NA,NA,8.16593693351578,NA,NA,0,NA,NA
"result.7",7,1922.58903268985,3873.1780653797,7.93585096539969,7.90607759800023,0.417346610231652,NA,NA,0.439245777437463,0.265995285298962,NA,0.929624125056546,0.0697845698483838,NA,0.29017569450634,0.246268312932403,NA,0.309471525678282,0.536407906143011,NA,0,NA,NA,0.5,NA,NA,4.94041657898385,NA,NA,NA,NA,NA,2.89219212723467,NA,NA,2.15099505296376,NA,NA,0,NA,NA
"result.8",8,2015.08252924723,4058.16505849446,8.87081729976015,7.58925947037359,0.62773688439715,NA,NA,0.498148713298307,0.387634433515968,NA,0.716702033721086,0.128590651803521,NA,0.0343285597438246,0.363304884778336,NA,0.346429092163925,0.947485784948397,NA,0,NA,NA,0.5,NA,NA,3.59293951775879,NA,NA,NA,NA,NA,1.87533794643953,NA,NA,2.36189730195329,NA,NA,0,NA,NA
"result.9",9,1918.48520130395,3864.97040260789,11.8580975698837,11.6882259166512,0.764236915945584,NA,NA,0.435069636261107,0.187410760482908,NA,0.854799250606447,0.00191915929317471,NA,0.997669156242393,0.161464957598888,NA,0.00664094322410532,0.716022474159575,NA,0,NA,NA,0.5,NA,NA,4.94450343433208,NA,NA,NA,NA,NA,4.9769428952459,NA,NA,0.912845977582037,NA,NA,0,NA,NA
"result.10",10,1852.38244156882,3732.76488313764,16.3002895973255,14.9740418659952,0.634451126254494,NA,NA,0.17635034075541,0.123864121330828,NA,0.782163105984974,0.267657545836856,NA,0.23467827447374,0.014604872976698,NA,0.112896868363457,0.614626368329849,NA,0,NA,NA,0.5,NA,NA,1.49843985466642,NA,NA,NA,NA,NA,2.24708721947178,NA,NA,0.0468746325198204,NA,NA,0,NA,NA
