"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","phi1","phi2","phi3","rho1","rho2","rho3","chi1","chi2","chi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.47804075267,4324.95608150533,4.64459941057218,4.63554447980212,0.752465681806833,NA,NA,0.471929605962584,0.200684775673973,NA,0.145244122127792,0.659446256260443,NA,0,NA,NA,0.859970708144829,0.561329878098266,NA,0,NA,NA,0.5,NA,NA,4.29260117001832,NA,1.20284633614662,NA,NA,NA,0,NA,NA,3.87503319628161,0.769141120836139,NA,0,NA,NA
"result.2",2,1375.3727766249,2776.74555324979,19.9993953005117,14.9989500905206,0.13875816755693,NA,NA,0.320746413644209,0.120209904508606,NA,0.107603244517808,0.145368985133246,NA,0,NA,NA,0.527790245992798,0.142353048927728,NA,0,NA,NA,0.5,NA,NA,2.66071370074024,NA,0.383007521990809,NA,NA,NA,0,NA,NA,2.55996333295479,1.29794387016802,NA,0,NA,NA
"result.3",3,1979.19795751238,3984.39591502477,10.4720343199682,10.4711532374334,0.516743039840287,NA,NA,0.487877327777859,0.226130105787888,NA,0.303419699327318,0.323398509543835,NA,0,NA,NA,0.595041942752817,0.237088507655031,NA,0,NA,NA,0.5,NA,NA,3.60988584868344,NA,1.85326842358336,NA,NA,NA,0,NA,NA,3.40457619504013,0.53200644440949,NA,0,NA,NA
"result.4",4,932.822769213842,1891.64553842768,19.9999400396978,14.9876935345848,0.127124014933887,NA,NA,0.152136890734686,0.489306072967752,NA,0.869596029378144,0.13015985092908,NA,0,NA,NA,0.468016485319193,0.905478323499891,NA,0,NA,NA,0.5,NA,NA,0.239852358814954,NA,0.247229960367779,NA,NA,NA,0,NA,NA,4.71528114659329,7.69079072846991,NA,0,NA,NA
"result.5",5,1531.94228074665,3089.88456149329,19.9977311965885,14.9995705789388,0.323006747175761,NA,NA,0.499352804394439,0.491525009552397,NA,0.671337755745532,0.709291846724227,NA,0,NA,NA,0.617921512513705,0.951583850391257,NA,0,NA,NA,0.5,NA,NA,4.4995033275336,NA,3.3174936307288,NA,NA,NA,0,NA,NA,3.63805482577384,5.07357606874631,NA,0,NA,NA
"result.6",6,968.251775934174,1962.50355186835,11.5014779420644,11.4990826034397,0.111527487594999,NA,NA,0.498111668009959,0.197160655007011,NA,0.0311598323751241,0.0201700537664655,NA,0,NA,NA,0.931941990464207,0.441489102334853,NA,0,NA,NA,0.5,NA,NA,0.233962771593782,NA,0.0118089886845009,NA,NA,NA,0,NA,NA,7.00776352752948,5.04970119101927,NA,0,NA,NA
"result.7",7,1923.40104552874,3872.80209105748,6.86088132721712,6.07491175459941,0.383139505088958,NA,NA,0.492389295474164,0.129238046589307,NA,0.550525147560984,0.0492688310332596,NA,0,NA,NA,0.241758099152022,0.905163222267603,NA,0,NA,NA,0.5,NA,NA,4.72137123046569,NA,0.0229958277878356,NA,NA,NA,0,NA,NA,3.83122969666284,1.16703717512492,NA,0,NA,NA
"result.8",8,2015.44538182625,4056.8907636525,8.48193190813464,8.16850370018418,0.634792151545197,NA,NA,0.494482139707543,0.355123105219835,NA,0.358697277660459,0.629113383942388,NA,0,NA,NA,0.228805262394594,0.886039118579066,NA,0,NA,NA,0.5,NA,NA,4.83667791097611,NA,0.889663507261997,NA,NA,NA,0,NA,NA,2.57614666193134,2.42536414012846,NA,0,NA,NA
"result.9",9,1921.52711057197,3869.05422114394,8.83200244172074,8.82851495502437,0.782974596109283,NA,NA,0.490184386326873,0.189784896973968,NA,0.00885769678279757,0.8279067482203,NA,0,NA,NA,0.666888637633084,0.532384841211746,NA,0,NA,NA,0.5,NA,NA,0.737954175443319,NA,0.00760811126224112,NA,NA,NA,0,NA,NA,6.34945572029063,2.50495253839135,NA,0,NA,NA
"result.10",10,1852.7148254074,3731.4296508148,15.7805797397538,14.9980879160386,0.627124396395837,NA,NA,0.14400390163064,0.167421310120156,NA,0.566998238092971,0.531388275024472,NA,0,NA,NA,0.0220644028524005,0.101693725665356,NA,0,NA,NA,0.5,NA,NA,0.709053173642225,NA,0.413759964956626,NA,NA,NA,0,NA,NA,0.012362551419977,0.404879050211149,NA,0,NA,NA
