"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3","NA","NA","NA"
"result.1",1,2154.12974730885,4316.2594946177,3.69319103470384,3.6931910347035,0.731287264701815,NA,NA,0.0462360717741741,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3.69319103470384,3.6931910347035,0.731287264701815
"result.2",2,1388.33945573682,2784.67891147364,20,15,0.136582250556174,NA,NA,0.0566911843732362,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,20,15,0.136582250556174
"result.3",3,1995.34418142182,3998.68836284364,10.5572180316302,10.5572180316301,0.517190368741193,NA,NA,0.0594401877090391,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,10.5572180316302,10.5572180316301,0.517190368741193
"result.4",4,960.94498269497,1929.88996538994,20,14.9999999999999,0.117312072066083,NA,NA,0.0272720753255357,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,20,14.9999999999999,0.117312072066083
"result.5",5,1553.85373400756,3115.70746801512,19.9999999999999,15,0.336845890081741,NA,NA,0.0354466566365795,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,19.9999999999999,15,0.336845890081741
"result.6",6,1003.2595896156,2014.5191792312,11.1949489830656,10.384642025441,0.100000000000001,NA,NA,0.0161153774483765,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,11.1949489830656,10.384642025441,0.100000000000001
"result.7",7,1937.75323315448,3883.50646630897,6.76579283088372,4.02588188027675,0.352222794975868,NA,NA,0.0591547686183146,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,6.76579283088372,4.02588188027675,0.352222794975868
"result.8",8,2027.46971144996,4062.93942289992,7.95593373875282,7.95593373875013,0.640761117162335,NA,NA,0.0795290107048909,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,7.95593373875282,7.95593373875013,0.640761117162335
"result.9",9,1926.65733026257,3861.31466052515,9.02460745077952,4.44985681628471,0.78454110303335,NA,NA,0.0294268600018737,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,9.02460745077952,4.44985681628471,0.78454110303335
"result.10",10,1854.6972913757,3717.39458275139,15,14.9999999999997,0.626972636664335,NA,NA,0.0621672517493971,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,15,14.9999999999997,0.626972636664335
