"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3","NA","NA","NA"
"result.1",1,2150.0289199652,4312.05783993041,4.38174268535835,4.38174121721981,0.742224778584859,NA,NA,0.0675048941790326,0.120210407208183,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,1.3486409613836,NA,NA,0,NA,NA,4.38174268535835,4.38174121721981,0.742224778584859
"result.2",2,1377.49114788276,2766.98229576552,19.9999999998768,14.999999999756,0.137279176494565,NA,NA,0.122364140714239,0.0970301411300309,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,1.37210846830274,NA,NA,0,NA,NA,19.9999999998768,14.999999999756,0.137279176494565
"result.3",3,1983.09863284463,3978.19726568926,10.5477817300333,10.5477778637681,0.514763373673413,NA,NA,0.111632887947634,0.129343557154529,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,1.46038415681547,NA,NA,0,NA,NA,10.5477817300333,10.5477778637681,0.514763373673413
"result.4",4,937.786955837175,1887.57391167435,19.9999999998131,14.9999999980412,0.131603323175813,NA,NA,0.156271157001865,0.091892176455722,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,3.66355429591609,NA,NA,0,NA,NA,19.9999999998131,14.9999999980412,0.131603323175813
"result.5",5,1539.80448619103,3091.60897238207,19.9999999999145,14.9999999998723,0.336993351857532,NA,NA,0.185083429754338,0.105582687475477,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,3.12298828241696,NA,NA,0,NA,NA,19.9999999999145,14.9999999998723,0.336993351857532
"result.6",6,968.772299138665,1949.54459827733,11.4773699399326,11.4773699358927,0.110009344310434,NA,NA,0.126103241761014,0.104187382027252,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,5.82209911061655,NA,NA,0,NA,NA,11.4773699399326,11.4773699358927,0.110009344310434
"result.7",7,1928.62173448147,3869.24346896294,6.7889592281989,5.30168049608968,0.381720164560496,NA,NA,0.100894748075338,0.110064334806272,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,1.32162025367218,NA,NA,0,NA,NA,6.7889592281989,5.30168049608968,0.381720164560496
"result.8",8,2018.34674272655,4048.6934854531,8.74912646302589,7.1824974616859,0.633825237438854,NA,NA,0.184449135039742,0.171885057054235,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,1.60847010849871,NA,NA,0,NA,NA,8.74912646302589,7.1824974616859,0.633825237438854
"result.9",9,1921.76915681723,3855.53831363446,8.7286587265917,8.72865872289681,0.790563358474588,NA,NA,9.22266126225279e-10,0.094635041305914,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0.89553989152991,NA,NA,0,NA,NA,8.7286587265917,8.72865872289681,0.790563358474588
"result.10",10,1853.1337206196,3718.26744123921,15.1768203723947,14.9999999999991,0.626078297485974,NA,NA,0.0556103596193971,0.0790855920353751,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,7.81965505073903e-15,NA,NA,0,NA,NA,15.1768203723947,14.9999999999991,0.626078297485974
