"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3","NA","NA","NA"
"result.1",1,2150.13772134223,4312.27544268446,4.52731786081929,4.52731783604176,0.75369138239631,NA,NA,0.0269002738997572,0.104300332837558,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.552241623525032,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,4.52731786081929,4.52731783604176,0.75369138239631
"result.2",2,1382.07738124978,2776.15476249956,19.9999999999998,14.9999999999999,0.136744753513177,NA,NA,0.0562434619175539,0.0770071983813109,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.406761763226362,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,19.9999999999998,14.9999999999999,0.136744753513177
"result.3",3,1981.95382053987,3975.90764107975,11.0103436299007,11.0103436287434,0.521898353568141,NA,NA,0.0602654729884549,0.128554837606117,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.27879261608342,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,11.0103436299007,11.0103436287434,0.521898353568141
"result.4",4,951.634105673024,1915.26821134605,20,14.9999999999999,0.117276145687332,NA,NA,0.0203808547077138,0.0414158026468231,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,9.08950318280439e-15,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,20,14.9999999999999,0.117276145687332
"result.5",5,1542.15422584282,3096.30845168564,20,14.9999999999999,0.325778267898816,NA,NA,0.0495057919373891,0.0833461276538117,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.05832017170981,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,20,14.9999999999999,0.325778267898816
"result.6",6,979.046308342041,1970.09261668408,11.4148145087742,11.2055110207564,0.100000000000007,NA,NA,0.00603647294332051,0.0370548026991425,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,3.96215923875521e-15,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,11.4148145087742,11.2055110207564,0.100000000000007
"result.7",7,1928.42864337949,3868.85728675899,6.94236444309129,6.39886546662629,0.392449282283984,NA,NA,0.0595539558108248,0.103517980811454,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.24449682235628,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,6.94236444309129,6.39886546662629,0.392449282283984
"result.8",8,2018.93338926838,4049.86677853676,8.43000782020714,6.96512156760624,0.623971788417823,NA,NA,0.0911620648695292,0.153886095745637,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.18698968394002,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,8.43000782020714,6.96512156760624,0.623971788417823
"result.9",9,1921.80079252445,3855.6015850489,8.67524882431088,8.67524882338612,0.790298675443184,NA,NA,2.7707556306587e-12,0.0756595914621419,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,5.42791923806404e-10,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,8.67524882431088,8.67524882338612,0.790298675443184
"result.10",10,1852.73131071962,3717.46262143925,15.3815440401369,14.9999999999999,0.62664374523085,NA,NA,0.0647280709799539,0.0921113711999473,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.548747957091487,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,15.3815440401369,14.9999999999999,0.62664374523085
