"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2150.17749434902,4312.35498869803,4.56904148752975,4.56904148509408,0.753800930655771,NA,NA,0.0282721659847675,0.0894965886606198,0.0192756097388477,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1382.63496644812,2777.26993289625,19.9999999999999,15,0.137707186134215,NA,NA,0.0525082027390975,0.0691545281867816,0.0476518136241733,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1982.057038532,3976.11407706399,11.0385268582054,11.0385268582044,0.522941864139147,NA,NA,0.0308037795223764,0.0925784202226704,0.0566860581137333,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,948.249595856739,1908.49919171348,20,14.9999999999998,0.118258749841896,NA,NA,0.0135426920276958,0.0413395595180703,0.0268184059200834,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1548.81048718505,3109.62097437009,20,15,0.33560668427602,NA,NA,0.0278870877524216,0.0508467964176143,0.0283666003374371,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,978.862411789805,1969.72482357961,11.4123032688881,11.4123032688819,0.100178402842652,NA,NA,0.00473602263495078,0.0369964792136535,0.00715961985419059,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1927.9644465666,3867.92889313319,7.02810455520206,4.34833761092259,0.368227603219716,NA,NA,0.059271621287706,0.0799167318717398,0.0343477924431484,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2020.29442818473,4052.58885636946,8.24107489636851,7.23916876233792,0.633284352220478,NA,NA,0.0706814861414733,0.115503020908794,0.0579153168054213,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1921.41266237251,3854.82532474501,8.78077908659072,8.7807790864838,0.776585106817095,NA,NA,0.0207898985056924,0.0786065316984879,1.06184906492782e-12,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1853.06283219476,3718.12566438951,15.2235423564464,14.9999999999998,0.626684888428592,NA,NA,0.0527504255694162,0.079084986172802,0.0581877600273033,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
