"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.16292192919,4322.32584385838,4.57034465852165,4.56680456921598,0.789497003918793,NA,NA,0.000860191469552274,0.299351318933684,NA,0.0107244304381311,NA,NA,0.466333180028666,NA,NA,0.995773845499688,NA,NA,0.5,NA,NA,1.46085791138383,NA,NA,NA,NA,NA,4.04054010106554,NA,NA,1.05567795398461,NA,NA,0.00983540727487563,NA,NA
"result.2",2,1377.67786817634,2779.35573635267,19.9995933682872,14.9991204060226,0.134150704110702,NA,NA,0.158043732945656,0.125062314869804,NA,0.853659643159769,NA,NA,0.412141790158859,NA,NA,0.434151843218188,NA,NA,0.5,NA,NA,4.64539371896535,NA,NA,NA,NA,NA,0.486064300969326,NA,NA,3.3030177551843,NA,NA,0.147740355331309,NA,NA
"result.3",3,1979.25466720616,3982.50933441231,10.8495405113264,10.8368726903593,0.517166850060539,NA,NA,0.212090252890707,0.327664460159637,NA,0.693288201000541,NA,NA,0.105122442124411,NA,NA,0.609879204683759,NA,NA,0.5,NA,NA,3.5999447750761,NA,NA,NA,NA,NA,3.46344772905212,NA,NA,3.18540951641604,NA,NA,3.46780349034816,NA,NA
"result.4",4,936.920393823575,1897.84078764715,19.9999971196768,14.9991632991342,0.130524448342322,NA,NA,0.219528631026283,0.146021619483878,NA,0.664957890665991,NA,NA,0.883825397151688,NA,NA,0.293126606569905,NA,NA,0.5,NA,NA,0.000233793694745167,NA,NA,NA,NA,NA,0.0008325037763029,NA,NA,7.04857872184953,NA,NA,5.63964073322532,NA,NA
"result.5",5,1531.83390470404,3087.66780940808,19.9999942047155,14.998872268933,0.325455616360953,NA,NA,0.395048359568416,0.265525116587617,NA,0.49600667162003,NA,NA,0.210047827132448,NA,NA,0.23917527063638,NA,NA,0.5,NA,NA,5.10449374141043,NA,NA,NA,NA,NA,3.85073715664595,NA,NA,6.91097244424745,NA,NA,4.74862784587048,NA,NA
"result.6",6,968.798723862569,1961.59744772514,11.4396462138345,11.4220601281408,0.110598883164252,NA,NA,0.126428230344481,0.107361369280433,NA,0.99993166543183,NA,NA,0.336858714690752,NA,NA,0.082566415584867,NA,NA,0.5,NA,NA,0.0646621862901903,NA,NA,NA,NA,NA,0.408891794706986,NA,NA,6.38560762162194,NA,NA,0.533171422681432,NA,NA
"result.7",7,1925.00227755431,3874.00455510862,8.0887681084657,7.43812786544494,0.412546575750443,NA,NA,0.195053902577375,0.220432040604245,NA,0.634276410393417,NA,NA,0.244314162337261,NA,NA,0.0524728182313202,NA,NA,0.5,NA,NA,4.81735478994059,NA,NA,NA,NA,NA,8.78359854445202,NA,NA,1.79027455090731,NA,NA,0.048221363493061,NA,NA
"result.8",8,2016.38076324941,4056.76152649882,9.49470224738423,6.36974953150935,0.631025964816402,NA,NA,0.369732959977762,0.324836182896443,NA,0.363037901698306,NA,NA,0.629555692135857,NA,NA,0.235155036050567,NA,NA,0.5,NA,NA,5.11285117594525,NA,NA,NA,NA,NA,0.916695744547188,NA,NA,6.67624258203432,NA,NA,0.0957804739351751,NA,NA
"result.9",9,1920.53133065476,3865.06266130952,8.82061904238161,8.74762239146549,0.768033180107824,NA,NA,0.280478765823767,0.496862631412773,NA,0.565815738181802,NA,NA,0.614577110394502,NA,NA,0.198951335660366,NA,NA,0.5,NA,NA,0.0154502980386877,NA,NA,NA,NA,NA,6.636246115774,NA,NA,6.77176250610501,NA,NA,0.0306830806722961,NA,NA
"result.10",10,1852.39531686737,3728.79063373474,16.1411698717514,14.994750401364,0.630870433369217,NA,NA,0.0845603413424763,0.122635474714814,NA,0.0530726326629519,NA,NA,0.699796067042946,NA,NA,0.912138287535652,NA,NA,0.5,NA,NA,1.57861249250055,NA,NA,NA,NA,NA,0.226580560859293,NA,NA,0.718792766635413,NA,NA,8.9643236505799,NA,NA
