"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2150.02893306623,4312.05786613245,4.38226262857591,4.38220832790891,0.742379524088279,NA,NA,0.0673081912020504,0.120170605101493,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,1.34675279140778,NA,NA,0,NA,NA
"result.2",2,1377.49114788227,2766.98229576454,19.9999999999706,14.9999999998109,0.137279107803052,NA,NA,0.122364179856908,0.0970300424371426,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,1.37210968615327,NA,NA,0,NA,NA
"result.3",3,1983.09863203362,3978.19726406724,10.5454206573562,10.5454185723832,0.514734616767994,NA,NA,0.111641854785644,0.129352795053987,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,1.46074689658547,NA,NA,0,NA,NA
"result.4",4,937.786955836926,1887.57391167385,19.9999999997844,14.9999999995667,0.131601613800956,NA,NA,0.156268053338649,0.0918916877424538,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,3.6635062131393,NA,NA,0,NA,NA
"result.5",5,1539.80448619471,3091.60897238942,19.999999999642,14.9999999990475,0.336993496048528,NA,NA,0.185078236438889,0.105581201175741,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,3.12294139508837,NA,NA,0,NA,NA
"result.6",6,968.772299137976,1949.54459827595,11.4773796421487,11.4773796419073,0.110008974912214,NA,NA,0.126102707528961,0.104187462251599,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,5.82211220612258,NA,NA,0,NA,NA
"result.7",7,1928.6217344866,3869.2434689732,6.78894563521948,5.3018877664388,0.381723994973841,NA,NA,0.100890302841111,0.110062390507434,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,1.32157228551358,NA,NA,0,NA,NA
"result.8",8,2018.34674272653,4048.69348545306,8.74912303076545,7.18250596858624,0.633825223446851,NA,NA,0.184449060016188,0.171884971217039,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,1.60846907195182,NA,NA,0,NA,NA
"result.9",9,1921.76915681872,3855.53831363745,8.72891811465932,8.72891810465969,0.790564493373647,NA,NA,1.47936501734719e-10,0.094626896089726,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0.895211032160301,NA,NA,0,NA,NA
"result.10",10,1853.1337206196,3718.26744123921,15.176820432834,14.9999999999993,0.626078313480994,NA,NA,0.0556103571184185,0.079085590767815,NA,1,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,7.47011370107661e-14,NA,NA,0,NA,NA
