"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2148.4446485348,4314.88929706961,4.66872193467356,4.63010154126551,0.751654906326788,NA,NA,0.267201361465549,0.217353197422899,NA,0.999491344699467,0.00632032685952674,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.55712201348846,NA,NA,3.92835541228152,NA,NA,0,NA,NA
"result.2",2,1376.26589231141,2770.53178462282,19.9995886828036,14.9979445184035,0.137965125927494,NA,NA,0.163440930578072,0.0791486067925924,NA,0.523920260342211,0.113569832134872,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.0760559062367053,NA,NA,3.48013208861291,NA,NA,0,NA,NA
"result.3",3,1981.06836373402,3980.13672746804,10.9184203919566,10.7899319734147,0.525901468012087,NA,NA,0.202896720044667,0.12494930321796,NA,0.91621843542367,0.0253454136844945,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.497457406576491,NA,NA,2.73254206671569,NA,NA,0,NA,NA
"result.4",4,932.720087531984,1883.44017506397,19.9999886801099,14.9998192348849,0.129078303706898,NA,NA,0.0660795882762549,0.145152513470409,NA,0.235456971446564,0.810320900871505,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.000261798343106222,NA,NA,8.45480211494225,NA,NA,0,NA,NA
"result.5",5,1539.31909555265,3096.63819110529,19.9997452104488,14.9995785318508,0.334241271995355,NA,NA,0.190296845493096,0.12920383083641,NA,0.602018099232236,0.761421894717138,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.961037595605099,NA,NA,4.57716133417167,NA,NA,0,NA,NA
"result.6",6,968.153270272836,1954.30654054567,11.5124653420067,11.5119158890619,0.113602346730298,NA,NA,0.200295696872081,0.0903955273762563,NA,0.720140350051545,0.451440551207034,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.00116976027073683,NA,NA,10.5264165309323,NA,NA,0,NA,NA
"result.7",7,1927.22800360131,3872.45600720261,7.64271513871184,7.34944000258175,0.414523766654022,NA,NA,0.141439954958888,0.157028593956412,NA,0.376633550441125,0.318534794231834,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.01111960562453,NA,NA,3.6217651723077,NA,NA,0,NA,NA
"result.8",8,2017.44657135102,4052.89314270204,10.0490994901744,6.55579082379653,0.635418177797243,NA,NA,0.284809272134413,0.249140511181663,NA,0.762886306461672,0.691465365580404,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.87873379870691,NA,NA,2.44246778161228,NA,NA,0,NA,NA
"result.9",9,1919.11250961912,3856.22501923823,11.6222321976872,11.619165674545,0.77844995472654,NA,NA,0.257503757964526,0.153481021270445,NA,0.0180213442676272,0.899858870962409,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,8.64845461076564,NA,NA,0.71612036930428,NA,NA,0,NA,NA
"result.10",10,1853.05588688965,3724.11177377931,15.6452860318198,14.9991393707416,0.630182117793355,NA,NA,0.0619901695891991,0.0893980252428004,NA,0.00408558322184317,0.0758460059984957,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.209417522634851,NA,NA,0.386177345287237,NA,NA,0,NA,NA
