"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.25934840516,4314.51869681032,4.914208885082,4.23926347386457,0.779337895055138,NA,NA,0.161055688374293,0.499990388428369,NA,0.422409444807997,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,2.89411718466002,NA,NA,6.45748059262138,NA,NA,0,NA,NA
"result.2",2,1377.49416466796,2770.98832933591,19.9999980337915,14.9997529367194,0.13749369314932,NA,NA,0.122258897717832,0.0970931883255241,NA,0.521699665624307,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.00604980127283207,NA,NA,2.61520005945258,NA,NA,0,NA,NA
"result.3",3,1983.01976366802,3982.03952733604,10.618869080492,10.6099939159327,0.51619619341299,NA,NA,0.125010253633919,0.1437350012206,NA,0.325258049490727,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.238663737086948,NA,NA,4.61181107516996,NA,NA,0,NA,NA
"result.4",4,937.787004040398,1891.5740080808,19.9999983226474,14.9999568931266,0.131593731061693,NA,NA,0.15642839004582,0.0919146817674601,NA,0.914539771812923,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,5.23265932223654e-06,NA,NA,4.00622319060972,NA,NA,0,NA,NA
"result.5",5,1539.42747575572,3094.85495151144,19.9999815524813,14.9999139965361,0.333936559127059,NA,NA,0.208433895333184,0.123000325306928,NA,0.800806433934058,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.4821216457891,NA,NA,3.73733748001568,NA,NA,0,NA,NA
"result.6",6,968.772385854643,1953.54477170929,11.4762094272368,11.4761119754162,0.110100157000153,NA,NA,0.126381632205981,0.104248682138449,NA,0.893844064763735,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,8.6341756303638e-05,NA,NA,6.51720411327611,NA,NA,0,NA,NA
"result.7",7,1927.23686254271,3870.47372508541,7.79535696174596,7.63723159935248,0.418510480362878,NA,NA,0.144369267357429,0.164321097934942,NA,0.575133869237486,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.73412147497076,NA,NA,2.27620962186929,NA,NA,0,NA,NA
"result.8",8,2017.45427786123,4050.90855572247,10.2701658612895,6.5133214398801,0.633042552335849,NA,NA,0.281759772599978,0.245354716917797,NA,0.734519476832599,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.99039433209796,NA,NA,2.35122619061057,NA,NA,0,NA,NA
"result.9",9,1920.51513501246,3857.03027002493,8.83403043889288,8.83392417949421,0.76757158569419,NA,NA,0.284601327349897,0.49999979124801,NA,0.484120896197873,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,3.41371016899221,NA,NA,6.4170017450774,NA,NA,0,NA,NA
"result.10",10,1853.04746653518,3722.09493307036,15.5542374462061,14.999891086297,0.626799326187206,NA,NA,0.0620063688409716,0.0884023914671018,NA,0.000650312508232044,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.18312085802836,NA,NA,0.188437704928219,NA,NA,0,NA,NA
