"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.83492103795,4315.6698420759,4.40070026315971,4.39974538441016,0.743279065242476,NA,NA,0.127661302298923,0.172508421657891,NA,0.9152129185386,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,10.3694970075374,NA,NA,NA,NA,NA,0,NA,NA,2.19150732829767,NA,NA,0,NA,NA
"result.2",2,1376.76377514785,2769.52755029571,19.9999210705224,14.9994796115399,0.13646521411868,NA,NA,0.131627362897729,0.106930356436233,NA,0.807268627818124,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.065979178653,NA,NA,NA,NA,NA,0,NA,NA,1.62197496274592,NA,NA,0,NA,NA
"result.3",3,1980.9856657174,3977.97133143479,10.7323721938524,10.7284583139346,0.517625407720568,NA,NA,0.13810041801562,0.16882701288493,NA,0.588994988186883,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.87597822822602,NA,NA,NA,NA,NA,0,NA,NA,2.23070294704437,NA,NA,0,NA,NA
"result.4",4,937.788722441519,1891.57744488304,19.9999934259719,14.9994161920227,0.131483976348777,NA,NA,0.158391852212367,0.0919538043826377,NA,0.997517115436494,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.00145976785764278,NA,NA,NA,NA,NA,0,NA,NA,3.68837782968337,NA,NA,0,NA,NA
"result.5",5,1532.60971349342,3081.21942698685,19.9998760610547,14.9999991350322,0.327723393648969,NA,NA,0.288015976699745,0.166841568060003,NA,0.632235436561892,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,5.44719291398708,NA,NA,NA,NA,NA,0,NA,NA,4.65890917181206,NA,NA,0,NA,NA
"result.6",6,968.772664704341,1953.54532940868,11.4757367526188,11.4754793654589,0.110133552726928,NA,NA,0.126057538929588,0.104082706503526,NA,0.830045309102111,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,6.64032117711843e-05,NA,NA,NA,NA,NA,0,NA,NA,7.0282501894168,NA,NA,0,NA,NA
"result.7",7,1926.70450988774,3869.40901977548,6.93075709227417,5.53365871086028,0.375326312258222,NA,NA,0.123133079793032,0.136207506595253,NA,0.178917023068686,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.30029351454876,NA,NA,NA,NA,NA,0,NA,NA,6.18164455561194,NA,NA,0,NA,NA
"result.8",8,2016.80335780744,4049.60671561488,8.8154788388644,6.68240021188454,0.624888536967987,NA,NA,0.25696876286292,0.23329516679513,NA,0.719925855130622,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,3.87792049219591,NA,NA,NA,NA,NA,0,NA,NA,2.26540210187813,NA,NA,0,NA,NA
"result.9",9,1921.77193177113,3859.54386354226,8.6986487946977,8.69345399780282,0.789542114678174,NA,NA,0.00134584305055274,0.0975794683146219,NA,0.168506328465002,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.000181249903455313,NA,NA,NA,NA,NA,0,NA,NA,5.93709869389454,NA,NA,0,NA,NA
"result.10",10,1852.73149426015,3721.46298852031,15.3340052096956,14.9999734673505,0.626362596050746,NA,NA,0.0646534496494204,0.0921222399089425,NA,0.000131731059907573,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.549013962651809,NA,NA,NA,NA,NA,0,NA,NA,0.501763143403553,NA,NA,0,NA,NA
