"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2148.13612275152,4322.27224550304,4.68039655901395,4.62330781686485,0.760954603715261,NA,NA,0.429738223981652,0.286311088153132,NA,0.656178856031776,0.000820284663657958,NA,0.180793198827547,NA,NA,0,NA,NA,0.5,NA,NA,3.68315099622123,NA,0.909547452392487,NA,NA,NA,0.00366185806160478,9.29245533393523,NA,6.84777686529099,NA,NA,0,NA,NA
"result.2",2,1375.49837880898,2776.99675761796,19.9995165608321,14.9996739237396,0.13632262979723,NA,NA,0.169285105438903,0.0888308289339405,NA,0.632298671483865,0.259479017511705,NA,0.134990362605538,NA,NA,0,NA,NA,0.5,NA,NA,1.46282071730451,NA,0.485370649529004,NA,NA,NA,2.99225060788582,0.368191023400685,NA,2.34623828886757,NA,NA,0,NA,NA
"result.3",3,1978.3883502019,3982.77670040379,11.2872941246756,11.2586188994916,0.53246163733624,NA,NA,0.27357655858947,0.163213228025408,NA,0.645217190808843,0.00242464872262842,NA,0.0635033866326846,NA,NA,0,NA,NA,0.5,NA,NA,4.69411958494484,NA,1.25040229920067,NA,NA,NA,0.398005240581873,7.16707581107038,NA,3.41041201822716,NA,NA,0,NA,NA
"result.4",4,932.763455362341,1891.52691072468,19.9999523678542,14.9951894478049,0.130601194452713,NA,NA,0.0709551684432996,0.142428283037508,NA,0.265949040083499,0.849607822382623,NA,0.0846032106003269,NA,NA,0,NA,NA,0.5,NA,NA,0.0440893028661699,NA,0.182472915621474,NA,NA,NA,0.0266838102943222,0.0583101464071906,NA,7.88460579770038,NA,NA,0,NA,NA
"result.5",5,1530.88084182747,3087.76168365495,19.9997478934696,14.994232856128,0.33110050289183,NA,NA,0.301686342727617,0.239832645891941,NA,0.181177820025616,0.379213614158685,NA,0.113874226763244,NA,NA,0,NA,NA,0.5,NA,NA,3.74296437207701,NA,3.30206605804174,NA,NA,NA,6.51010459765354,3.27516959238177,NA,11.8356706296492,NA,NA,0,NA,NA
"result.6",6,968.100124120445,1962.20024824089,11.4775290143054,11.4729588156333,0.114281186097265,NA,NA,0.260621618428562,0.0940918856827931,NA,0.703627560239955,0.440593834819122,NA,0.163114484263775,NA,NA,0,NA,NA,0.5,NA,NA,0.0776698696427047,NA,0.00197751667531453,NA,NA,NA,6.41575021076369,0.035741321065291,NA,11.1647012288958,NA,NA,0,NA,NA
"result.7",7,1922.31310570751,3870.62621141503,8.21107528163554,8.01454327249191,0.427040936686442,NA,NA,0.378340101588389,0.176503844221863,NA,0.209022958070676,0.22124329682551,NA,0.163178635719332,NA,NA,0,NA,NA,0.5,NA,NA,4.42807608740442,NA,0.453255254542455,NA,NA,NA,7.4153751073143,6.12798204870168,NA,4.93247060131633,NA,NA,0,NA,NA
"result.8",8,2014.93862651095,4055.87725302189,9.47933941257982,7.45411119463416,0.629043537220655,NA,NA,0.356765142600292,0.254730517634717,NA,0.327157805727114,0.631824521337289,NA,0.165033220487247,NA,NA,0,NA,NA,0.5,NA,NA,4.82922805319475,NA,0.578510566718145,NA,NA,NA,2.98629711945784,9.03344409289126,NA,2.60384901376838,NA,NA,0,NA,NA
"result.9",9,1917.70071912431,3861.40143824863,12.3394988088437,12.291814846408,0.768657676222988,NA,NA,0.456006298594211,0.164621985811352,NA,0.000242512537647199,0.24211479529857,NA,0.496000482670412,NA,NA,0,NA,NA,0.5,NA,NA,4.99237451364562,NA,0.013937894995575,NA,NA,NA,9.98446158013618,2.29017871897668,NA,3.39784843798128,NA,NA,0,NA,NA
"result.10",10,1852.45643101645,3730.9128620329,15.3336166299597,14.9748170818439,0.625387944291071,NA,NA,0.0878963224086594,0.0988805219595877,NA,0.0173132636968594,0.856092555198246,NA,0.168863512457679,NA,NA,0,NA,NA,0.5,NA,NA,0.967705971261352,NA,2.13168567830055,NA,NA,NA,2.70806601608002,4.95803355937824,NA,0.16674025271557,NA,NA,0,NA,NA
