"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.45839952928,4318.91679905856,4.48000442159254,4.47891389961133,0.753843838390789,NA,NA,0.302304086146634,0.129454778856598,NA,0.737235204197037,0.142183938939809,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.7651282959239,NA,0.837955976063873,NA,NA,NA,0,NA,NA,5.24006885557447,NA,NA,0,NA,NA
"result.2",2,1375.68740469664,2771.37480939327,19.9993324210987,14.9998043580817,0.137075470247462,NA,NA,0.155645013341393,0.0889319719997814,NA,0.839998448687682,0.383937790877783,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.33971788266646,NA,0.403888889158094,NA,NA,NA,0,NA,NA,1.97296323785501,NA,NA,0,NA,NA
"result.3",3,1978.94133867792,3977.88267735583,10.8529550820964,10.851108935568,0.526167292254989,NA,NA,0.309623877783977,0.126567952140266,NA,0.65906758488938,0.00770632549649166,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,4.63520581019111,NA,1.14318363135681,NA,NA,NA,0,NA,NA,3.53459811227526,NA,NA,0,NA,NA
"result.4",4,932.731740164591,1885.46348032918,19.9999525513497,14.9979265460446,0.127808659513968,NA,NA,0.0699608540563626,0.141784882653126,NA,0.308902960762316,0.980011987531576,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.00271754001573847,NA,0.0457437080331147,NA,NA,NA,0,NA,NA,6.78941526434414,NA,NA,0,NA,NA
"result.5",5,1531.6496502633,3083.2993005266,19.9999575073635,14.9999572767786,0.32741051342373,NA,NA,0.232120982930351,0.212115194107532,NA,0.416988110571632,0.729639056218476,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,4.52117449776149,NA,6.37234701117432,NA,NA,NA,0,NA,NA,5.64916587837569,NA,NA,0,NA,NA
"result.6",6,968.151191329069,1956.30238265814,11.5085953689095,11.5080739955935,0.11397908017906,NA,NA,0.204518582898263,0.0903604027182542,NA,0.965202143198932,0.60154320267707,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.00180460068771995,NA,5.61418105943278e-05,NA,NA,NA,0,NA,NA,7.95460896546597,NA,NA,0,NA,NA
"result.7",7,1923.43128844826,3866.86257689652,6.89225990825229,6.16255301030829,0.386347955208671,NA,NA,0.23618028833825,0.10247425983358,NA,0.192320094891244,0.215665168052837,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,3.95628427892881,NA,0.0464746846980274,NA,NA,NA,0,NA,NA,4.65566474815282,NA,NA,0,NA,NA
"result.8",8,2015.45348879032,4050.90697758064,8.55398489818544,7.82384959440076,0.637441704600549,NA,NA,0.354971087030407,0.199370406705762,NA,0.339616937066004,0.58315668405415,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,4.99741912718076,NA,1.01398263705507,NA,NA,NA,0,NA,NA,2.99336346934808,NA,NA,0,NA,NA
"result.9",9,1921.33135625201,3862.66271250403,8.9430058814554,8.92778525632577,0.786203304787223,NA,NA,0.490336693658002,0.0973182080530741,NA,0.950225631767727,0.0891869605278295,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.0738478630020673,NA,0.000314824996353137,NA,NA,NA,0,NA,NA,9.75262600282908,NA,NA,0,NA,NA
"result.10",10,1852.79256957791,3725.58513915581,15.2548337478877,14.9979650321278,0.631422725836276,NA,NA,0.0645387131236066,0.0890714879538738,NA,0.164540487503506,0.975522532053089,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.728528707986698,NA,9.18771231586326,NA,NA,NA,0,NA,NA,0.155734159791453,NA,NA,0,NA,NA
