,participant,nLL,aic,kappa1,kappa2,beta1,beta2,beta3,gamma1,gamma2,gamma3,chi1,chi2,chi3,phi1,phi2,phi3,psi1,psi2,psi3,tau1,tau2,tau3,lambda_b1,lambda_f1,lambda_b2,lambda_f2,lambda_b3,lambda_f3,zeta1,zeta2,zeta3,iota1,iota2,iota3,upsilon1,upsilon2,upsilon3
result.1,1,2149.814631,4317.629263,3.881460841,3.863054511,0.699998412,NA,NA,0.22519391,0.126133333,NA,0.530336952,0.076328514,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.901673446,NA,NA,NA,NA,NA,0,NA,NA,5.08534156,NA,NA,0,NA,NA
result.2,2,1366.287738,2750.575477,26.51828538,26.50641386,0.175898053,NA,NA,0.163035572,0.082476699,NA,0.250327168,0.077154213,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.174642762,NA,NA,NA,NA,NA,0,NA,NA,7.301063521,NA,NA,0,NA,NA
result.3,3,1979.234962,3976.469924,10.74014015,10.73250545,0.530756021,NA,NA,0.299587375,0.1477692,NA,0.246801664,0.013353455,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,1.812833114,NA,NA,NA,NA,NA,0,NA,NA,10.83885886,NA,NA,0,NA,NA
result.4,4,919.6058051,1857.21161,26.49903476,26.4984484,0.153447505,NA,NA,0.07154671,0.147430322,NA,0.258087597,0.836647008,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.001819371,NA,NA,NA,NA,NA,0,NA,NA,8.688257152,NA,NA,0,NA,NA
result.5,5,1522.888663,3063.777326,29.70051266,29.69596306,0.363571719,NA,NA,0.19684465,0.19463943,NA,0.224577322,0.462933698,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,3.122046061,NA,NA,NA,NA,NA,0,NA,NA,9.245712874,NA,NA,0,NA,NA
result.6,6,968.1514447,1954.302889,11.50790486,11.50742928,0.1144639,NA,NA,0.204323318,0.091402587,NA,0.725435187,0.458579333,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,2.76E-06,NA,NA,NA,NA,NA,0,NA,NA,10.59483107,NA,NA,0,NA,NA
result.7,7,1923.598645,3865.19729,6.89374517,5.318424566,0.367976261,NA,NA,0.123705783,0.11590163,NA,0.377865384,0.994777965,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,4.909883864,NA,NA,NA,NA,NA,0,NA,NA,1.428164165,NA,NA,0,NA,NA
result.8,8,2015.457889,4048.915777,8.333588975,8.198284458,0.638476391,NA,NA,0.195312488,0.204137199,NA,0.340795985,0.910504822,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,4.981795684,NA,NA,NA,NA,NA,0,NA,NA,2.040409699,NA,NA,0,NA,NA
result.9,9,1922.990082,3863.980164,7.760414297,2.125104486,0.699816666,NA,NA,0.067205324,0.102734257,NA,0.335383546,0.973091918,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,3.097572528,NA,NA,NA,NA,NA,0,NA,NA,0.392532164,NA,NA,0,NA,NA
result.10,10,1852.60854,3723.21708,17.3410027,17.31033092,0.639333318,NA,NA,0.067516492,0.09136495,NA,0.042684451,0.418186915,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0.776496817,NA,NA,NA,NA,NA,0,NA,NA,0.031933258,NA,NA,0,NA,NA
