"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3"
"result.1",1,2149.16177843925,4312.32355687851,4.58900913011373,4.13540324348699,0.796097571317648,0.729848904015345,NA,2.36443922283344e-11,0.21016223125762,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.43823530981797,NA,NA,0,NA,NA,0,NA,NA
"result.2",2,1381.95140526931,2777.90281053863,19.9999999998789,14.9999999999401,0.156059683551879,0.101199951597052,NA,0.0491965439183864,0.0713719136517033,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.00980298978890115,NA,NA,0,NA,NA,0,NA,NA
"result.3",3,1984.08863864987,3982.17727729973,11.0227890449356,11.022787481563,0.511784775391835,0.54423809461221,NA,0.050149512314194,0.102888881524113,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.192550277520714,NA,NA,0,NA,NA,0,NA,NA
"result.4",4,951.445932644829,1916.89186528966,20,14.9999999999983,0.109421876726865,0.134678915960085,NA,0.021096693345987,0.0400606599490544,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,2.37385163040635e-14,NA,NA,0,NA,NA,0,NA,NA
"result.5",5,1545.78112016391,3105.56224032782,19.9999999984813,14.9999999994033,0.293209259850209,0.41946342489537,NA,0.0427330067495139,0.0553002365055856,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.46666739611837,NA,NA,0,NA,NA,0,NA,NA
"result.6",6,979.036679494049,1972.0733589881,11.4268701667277,11.3397059749327,0.103297483875506,0.100000000000066,NA,0.00570490136179558,0.037039907954428,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.95219632698223e-13,NA,NA,0,NA,NA,0,NA,NA
"result.7",7,1925.83711635555,3865.6742327111,7.57792892798274,3.99795232441653,0.44035601187815,0.189307886559759,NA,0.0536102915236878,0.125571502860162,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.540243189473993,NA,NA,0,NA,NA,0,NA,NA
"result.8",8,2020.27065565465,4054.54131130929,9.3481898413013,6.94613712733865,0.628602825898817,0.651024790964109,NA,0.081776224598901,0.142128123803564,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.333436488298511,NA,NA,0,NA,NA,0,NA,NA
"result.9",9,1921.00831823213,3856.01663646427,9.05535123605408,9.05515416597193,0.765642970732741,0.788779033489811,NA,0.0365335821829409,0.15606869136542,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.35174912319987,NA,NA,0,NA,NA,0,NA,NA
"result.10",10,1851.61621837197,3717.23243674395,15.9768065617217,14.999999993398,0.587440197051384,0.718968435850666,NA,0.0697533185282828,0.076821441924864,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.225299992385738,NA,NA,0,NA,NA,0,NA,NA
